AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,ACCESS-CM2,22.180423833295137,15.64370442705444,28.717143222186444
MH,1981-01,NEX-GDDP-CMIP6,ACCESS-CM2,17.344482701337,10.665605682397878,24.0233647638206
ML,1981-01,NEX-GDDP-CMIP6,ACCESS-CM2,23.630589745844105,16.27385609684592,30.9873186867981
ArL,1981-02,NEX-GDDP-CMIP6,ACCESS-CM2,24.120789471182267,16.770055818801737,31.471520252238633
MH,1981-02,NEX-GDDP-CMIP6,ACCESS-CM2,19.07931824309239,11.422097923012188,26.736539894337607
ML,1981-02,NEX-GDDP-CMIP6,ACCESS-CM2,25.825246178102475,17.45824238099351,34.192253894123255
ArL,1981-03,NEX-GDDP-CMIP6,ACCESS-CM2,25.306783264316326,18.05754074521742,32.55602872847427
MH,1981-03,NEX-GDDP-CMIP6,ACCESS-CM2,20.35810031275932,13.256902237785983,27.45929732941512
ML,1981-03,NEX-GDDP-CMIP6,ACCESS-CM2,27.282486882568552,19.13680118981552,35.428172575321604
ArL,1981-04,NEX-GDDP-CMIP6,ACCESS-CM2,27.67163418959055,19.7608463371932,35.58242386150525
MH,1981-04,NEX-GDDP-CMIP6,ACCESS-CM2,21.274003549398586,13.627238513550726,28.920772248017276
ML,1981-04,NEX-GDDP-CMIP6,ACCESS-CM2,29.17217300225561,20.536951499476437,37.807389792532206
ArL,1981-05,NEX-GDDP-CMIP6,ACCESS-CM2,28.62847871026783,21.779799099955277,35.47715498732873
MH,1981-05,NEX-GDDP-CMIP6,ACCESS-CM2,21.958341470251785,15.024224390501734,28.892466429506555
ML,1981-05,NEX-GDDP-CMIP6,ACCESS-CM2,29.16054866280847,21.73312122018955,36.58797546787975
ArL,1981-06,NEX-GDDP-CMIP6,ACCESS-CM2,30.14003238732196,23.16178889835744,37.11827529291325
MH,1981-06,NEX-GDDP-CMIP6,ACCESS-CM2,22.879899636441504,15.72920742401812,30.030584854047454
ML,1981-06,NEX-GDDP-CMIP6,ACCESS-CM2,28.46769481851206,21.654441339731072,35.280946054730315
ArL,1981-07,NEX-GDDP-CMIP6,ACCESS-CM2,29.51787107509943,23.20889393392784,35.82685043048698
MH,1981-07,NEX-GDDP-CMIP6,ACCESS-CM2,22.659336110138074,16.66719447332037,28.651480599452242
ML,1981-07,NEX-GDDP-CMIP6,ACCESS-CM2,27.35664086575229,21.288201529793383,33.42508070104921
ArL,1981-08,NEX-GDDP-CMIP6,ACCESS-CM2,28.94772449816542,22.709995639751167,35.185451647664706
MH,1981-08,NEX-GDDP-CMIP6,ACCESS-CM2,22.332601954342103,16.529637759076156,28.13557039941436
ML,1981-08,NEX-GDDP-CMIP6,ACCESS-CM2,26.88685687046318,20.897140019196,32.87658110479967
ArL,1981-09,NEX-GDDP-CMIP6,ACCESS-CM2,27.91333164520873,21.347449891143,34.479214492286054
MH,1981-09,NEX-GDDP-CMIP6,ACCESS-CM2,20.959044672641248,14.235997986154059,27.68209585697794
ML,1981-09,NEX-GDDP-CMIP6,ACCESS-CM2,26.030893165025535,19.45568200300176,32.606098745163585
ArL,1981-10,NEX-GDDP-CMIP6,ACCESS-CM2,27.67006120492006,21.165385134264877,34.174735276057966
MH,1981-10,NEX-GDDP-CMIP6,ACCESS-CM2,20.749224739415794,14.001398366526608,27.497057544891216
ML,1981-10,NEX-GDDP-CMIP6,ACCESS-CM2,27.676533574061843,20.56660708642687,34.78645374417918
ArL,1981-11,NEX-GDDP-CMIP6,ACCESS-CM2,25.837261170890958,18.943904420420033,32.730617014856215
MH,1981-11,NEX-GDDP-CMIP6,ACCESS-CM2,19.003238664956285,11.939890547478266,26.066584822893233
ML,1981-11,NEX-GDDP-CMIP6,ACCESS-CM2,26.473256552384868,18.509222786612916,34.437288093427604
ArL,1981-12,NEX-GDDP-CMIP6,ACCESS-CM2,23.43453577983916,16.875827764583786,29.993240344734488
MH,1981-12,NEX-GDDP-CMIP6,ACCESS-CM2,17.652279265390074,10.613022845239074,24.69153648754734
ML,1981-12,NEX-GDDP-CMIP6,ACCESS-CM2,24.239253247123834,16.41155239018846,32.066952146832506
ArL,1982-01,NEX-GDDP-CMIP6,ACCESS-CM2,21.019508193961077,15.266372358832895,26.772645466919993
MH,1982-01,NEX-GDDP-CMIP6,ACCESS-CM2,16.365143936806298,10.264223455213614,22.46606150802577
ML,1982-01,NEX-GDDP-CMIP6,ACCESS-CM2,22.747977248554804,16.128951827969516,29.367003493939478
ArL,1982-02,NEX-GDDP-CMIP6,ACCESS-CM2,22.38601304965647,15.281913062481154,29.490113472735246
MH,1982-02,NEX-GDDP-CMIP6,ACCESS-CM2,17.882848257903543,10.588115557161869,25.17758304220785
ML,1982-02,NEX-GDDP-CMIP6,ACCESS-CM2,24.292240813250448,16.258272162939726,32.326206369448805
ArL,1982-03,NEX-GDDP-CMIP6,ACCESS-CM2,23.984430339351317,16.55822486855757,31.41063546315726
MH,1982-03,NEX-GDDP-CMIP6,ACCESS-CM2,18.983487144352413,11.426593631071594,26.540377689383313
ML,1982-03,NEX-GDDP-CMIP6,ACCESS-CM2,26.42957592024433,18.16413783762386,34.69501962933428
ArL,1982-04,NEX-GDDP-CMIP6,ACCESS-CM2,26.064905726360706,18.628181970627782,33.501628681853
MH,1982-04,NEX-GDDP-CMIP6,ACCESS-CM2,20.2602139696459,12.946380721066156,27.574045010641413
ML,1982-04,NEX-GDDP-CMIP6,ACCESS-CM2,27.728260262644692,19.411678321453866,36.04484697875534
ArL,1982-05,NEX-GDDP-CMIP6,ACCESS-CM2,27.487615752531937,20.322043020607346,34.653189562287366
MH,1982-05,NEX-GDDP-CMIP6,ACCESS-CM2,21.017620522192413,13.85532103863814,28.179916855598428
ML,1982-05,NEX-GDDP-CMIP6,ACCESS-CM2,28.35671590466498,20.84399426100116,35.86943325491352
ArL,1982-06,NEX-GDDP-CMIP6,ACCESS-CM2,27.84497733406212,20.04879732028949,35.64116165915834
MH,1982-06,NEX-GDDP-CMIP6,ACCESS-CM2,21.145210423620718,13.87226655433511,28.418150117512962
ML,1982-06,NEX-GDDP-CMIP6,ACCESS-CM2,27.481048891612293,19.823473853591267,35.13862127690008
ArL,1982-07,NEX-GDDP-CMIP6,ACCESS-CM2,27.38259914933858,20.903338057890497,33.86185665380014
MH,1982-07,NEX-GDDP-CMIP6,ACCESS-CM2,20.332767614107826,14.102973400974845,26.562556138784092
ML,1982-07,NEX-GDDP-CMIP6,ACCESS-CM2,25.76848580560345,19.62808633697044,31.908888305931583
ArL,1982-08,NEX-GDDP-CMIP6,ACCESS-CM2,25.617982433030686,19.960174911004582,31.27579302806759
MH,1982-08,NEX-GDDP-CMIP6,ACCESS-CM2,19.23577877386773,13.970521423455617,24.501039075993578
ML,1982-08,NEX-GDDP-CMIP6,ACCESS-CM2,23.295509528974474,18.241123602388573,28.34988898199959
ArL,1982-09,NEX-GDDP-CMIP6,ACCESS-CM2,26.96296729759577,20.574699273036263,33.35123705926303
MH,1982-09,NEX-GDDP-CMIP6,ACCESS-CM2,20.488885646872802,14.267578545019793,26.71019015254062
ML,1982-09,NEX-GDDP-CMIP6,ACCESS-CM2,26.03717558632987,19.9504529486267,32.12390117993578
