AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,23.73279893060787,16.93853667076508,30.527060591896696
MH,1981-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,18.358835529254037,10.744674742974382,25.972995579672286
ML,1981-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.789006725726495,16.313887981361876,33.264122665773115
ArL,1981-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,23.377946476505336,16.082014892994533,30.67388041519591
MH,1981-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,18.325112290797115,10.537805407288234,26.11241852939374
ML,1981-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.7847704088366,16.22286821007295,33.34666853710369
ArL,1981-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.56640178600182,16.910047776404955,32.222751755359305
MH,1981-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,19.128763731008522,11.178255578193284,27.079262482987577
ML,1981-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.702930164546174,16.98766018050359,34.41819807990267
ArL,1981-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.120895634272223,19.526860692217795,36.71492984114622
MH,1981-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.78594567054207,13.082587410744171,30.489313364248584
ML,1981-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,29.517866800334723,20.23175235634048,38.80397789163083
ArL,1981-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,29.144745850251322,20.80523610421379,37.48426022640748
MH,1981-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,22.3797930936315,14.134382462792225,30.62520345162327
ML,1981-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,30.17790730645661,21.414184356310518,38.94162877196377
ArL,1981-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,29.266179810958274,21.515847184103702,37.0165123423912
MH,1981-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,22.125664324102896,14.227570694618802,30.02375671337113
ML,1981-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.572534487315412,20.382324285625657,36.76273705180849
ArL,1981-07,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.825246837154047,22.271677169235957,33.378812037604064
MH,1981-07,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.14592569744451,16.045587397978217,26.246260350676184
ML,1981-07,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.433911048103393,20.229571555495024,30.638248935696694
ArL,1981-08,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.061165735571148,21.729747248698953,34.392577781482075
MH,1981-08,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.575163577856742,15.513799375804348,27.636528366944646
ML,1981-08,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.792438118644167,20.002357477337217,31.582519696209904
ArL,1981-09,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.6726072019715,20.551214973055032,34.79399851137025
MH,1981-09,NEX-GDDP-CMIP6,ACCESS-ESM1-5,20.898562561713167,13.925193973066909,27.871925734750207
ML,1981-09,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.91922271706225,20.1245026504149,33.7139448345622
ArL,1981-10,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.723119499549224,21.07187897995023,34.37436179095471
MH,1981-10,NEX-GDDP-CMIP6,ACCESS-ESM1-5,20.548652012695072,13.559268161191849,27.538034301526327
ML,1981-10,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.863642775185216,20.60729165477769,35.11999712345636
ArL,1981-11,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.925575192588667,19.690610393548052,32.16053599476343
MH,1981-11,NEX-GDDP-CMIP6,ACCESS-ESM1-5,19.136735160536215,12.890962791804624,25.382510464445318
ML,1981-11,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.568035786129272,19.789481703184943,33.34658813476564
ArL,1981-12,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.048442733443704,18.303609978359777,31.793276620575366
MH,1981-12,NEX-GDDP-CMIP6,ACCESS-ESM1-5,19.11271093095168,11.309930122270094,26.91548423219331
ML,1981-12,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.99600881349442,17.65987383422408,34.33213766249889
ArL,1982-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.978119416098643,15.756149280281372,28.200088762518646
MH,1982-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,17.462507454524125,11.031917730562435,23.89309375549005
ML,1982-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,23.655148553952785,16.535463253715097,30.7748334172697
ArL,1982-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.18254369461381,16.86040328884073,31.504684963519104
MH,1982-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,19.15114136734363,11.215154513367102,27.087125683011703
ML,1982-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.833860735339456,17.161029610031303,34.5066863679294
ArL,1982-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.78259712943577,17.468257985594896,32.09693826195055
MH,1982-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,19.805974023860863,12.551612961902709,27.060334201131695
ML,1982-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.52414187869512,18.562968517272843,34.485317808141524
ArL,1982-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.447432792017334,20.18530676940955,34.709559666913925
MH,1982-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.44527057078242,14.523058719888246,28.367487647119404
ML,1982-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,29.034579831131047,21.398622179275215,36.67053778615639
ArL,1982-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.23940112844255,21.14072081981702,35.33807835538257
MH,1982-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.6776136093946,14.677516169768976,28.67771634887599
ML,1982-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.92252314520895,21.186703524648774,36.65835042971606
ArL,1982-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.090497599954734,20.254074872197474,35.92691478241298
MH,1982-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.011822141008135,13.283094364684073,28.74055405965316
ML,1982-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.29238773454622,19.227225883935322,35.357547244510165
ArL,1982-07,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.463006335893365,21.82160598295125,35.10440516859515
MH,1982-07,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.452445583297017,15.342346710643309,27.562535485056063
ML,1982-07,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.644891486714783,20.343463027764646,32.946315790459245
ArL,1982-08,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.653870423942106,21.221528373922137,34.08621444745523
MH,1982-08,NEX-GDDP-CMIP6,ACCESS-ESM1-5,20.76259684597566,14.338780130961531,27.186415933936146
ML,1982-08,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.697715711349844,19.603797180309552,31.791637176000986
ArL,1982-09,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.254861118388234,20.492660849063242,34.017062448194736
MH,1982-09,NEX-GDDP-CMIP6,ACCESS-ESM1-5,20.533982582474714,13.899542654694299,27.168421253503066
ML,1982-09,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.381949960445322,19.76810016060853,32.9958023684316
ArL,1982-10,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.99173968967356,20.56674639044195,33.41673820022835
MH,1982-10,NEX-GDDP-CMIP6,ACCESS-ESM1-5,19.794752071259722,13.683252606305377,25.906255256861638
ML,1982-10,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.973512387327965,20.43551049465854,33.51150856881879
ArL,1982-11,NEX-GDDP-CMIP6,ACCESS-ESM1-5,25.535452743712465,19.087887640037362,31.983012573172804
MH,1982-11,NEX-GDDP-CMIP6,ACCESS-ESM1-5,18.765797454495015,12.278331654687419,25.253261873528967
ML,1982-11,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.290854280860547,19.341576078427483,33.24013020506388
ArL,1982-12,NEX-GDDP-CMIP6,ACCESS-ESM1-5,22.982049710185397,16.468395631322835,29.495706699408245
MH,1982-12,NEX-GDDP-CMIP6,ACCESS-ESM1-5,17.671646327347165,10.874018152526864,24.469283349040566
ML,1982-12,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.552083434389868,16.83887365214404,32.26528958751829
ArL,1983-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,23.187748134454747,16.4948309043377,29.88066428240355
MH,1983-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,18.408249019601126,10.686723102330864,26.12977654915201
ML,1983-01,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.919371073954835,16.539271000373816,33.29947183412563
ArL,1983-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.99189830214008,15.476790173017164,28.507003958974813
MH,1983-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,17.613639712068867,11.193086939263711,24.034191368679757
ML,1983-02,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.156113110048413,16.87455184412667,31.43766881191794
ArL,1983-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,24.920060682269664,17.0924331999015,32.7476862106627
MH,1983-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,19.625516779756737,11.889580422408947,27.3614456875413
ML,1983-03,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.73204100492492,17.919941549809703,35.544135649453324
ArL,1983-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,26.497571223238932,19.17572690650373,33.81941495226351
MH,1983-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,20.4379602589862,13.247889944700287,27.628028539318116
ML,1983-04,NEX-GDDP-CMIP6,ACCESS-ESM1-5,27.929674851589642,19.754169904933196,36.1051820720174
ArL,1983-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.335958281533856,22.234087190091323,34.43782715008572
MH,1983-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,21.79041673137841,15.733441297706337,27.84738994093004
ML,1983-05,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.593683525626055,22.339673636236558,34.84769004894228
ArL,1983-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,29.335467374019842,22.094708468386795,36.576224958930524
MH,1983-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,22.54478797137465,15.405233170171662,29.684352065928447
ML,1983-06,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.77037714644016,21.06215523384715,36.478599696580844
ArL,1983-07,NEX-GDDP-CMIP6,ACCESS-ESM1-5,28.816486767654478,22.206702419625852,35.42627145182756
