AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,21.118781780180054,13.60308549803996,28.63447440593606
MH,1981-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,16.313521944478573,7.998459716400032,24.628586958908734
ML,1981-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,22.609314259096536,13.552608341191984,31.666015558124403
ArL,1981-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.415812785900638,15.77738966646354,31.05423781160202
MH,1981-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,18.11349139052078,9.942998553213815,26.28398752680192
ML,1981-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,24.813097395524245,15.905395445395271,33.72079758459502
ArL,1981-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,24.868485491624142,16.895885117505358,32.84108432815319
MH,1981-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,19.265848038765668,10.826528509817507,27.705165459346876
ML,1981-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.14942930568477,17.2657549081361,35.033099753113035
ArL,1981-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.142417277931976,20.375793362910834,31.909041938976934
MH,1981-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,19.936926935940594,13.655342515869496,26.218512422597332
ML,1981-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.046208080573212,20.618984131572738,33.47343007680535
ArL,1981-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,30.1786403050946,23.736162329018306,36.621120458519414
MH,1981-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.250618204609314,16.80965292575852,29.69158699740503
ML,1981-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,30.872158013198245,24.44394401065447,37.30037140494461
ArL,1981-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,30.04233783854215,23.21449324806828,36.87018174588376
MH,1981-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.072078061368693,16.327430899141305,29.816718576039083
ML,1981-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,29.330126030241367,22.707557726150203,35.95269589476383
ArL,1981-07,NEX-GDDP-CMIP6,BCC-CSM2-MR,28.71514626395102,22.35547116720387,35.07482327997449
MH,1981-07,NEX-GDDP-CMIP6,BCC-CSM2-MR,21.891124995502178,15.901778474496163,27.880475286764383
ML,1981-07,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.654310642462594,20.360414412214975,32.948212343136554
ArL,1981-08,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.988660981751366,22.21429366067842,33.763024585717396
MH,1981-08,NEX-GDDP-CMIP6,BCC-CSM2-MR,21.245456260861012,15.71008479206973,26.78082176007998
ML,1981-08,NEX-GDDP-CMIP6,BCC-CSM2-MR,25.29199798338777,19.843981269295877,30.740012009079425
ArL,1981-09,NEX-GDDP-CMIP6,BCC-CSM2-MR,28.330556982494773,21.548201154022493,35.112911349280864
MH,1981-09,NEX-GDDP-CMIP6,BCC-CSM2-MR,21.669657045920953,15.002150871630343,28.337165361650936
ML,1981-09,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.024594096148274,20.334808706279418,33.71437937901612
ArL,1981-10,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.52732251130974,20.507014938970425,34.54762966509501
MH,1981-10,NEX-GDDP-CMIP6,BCC-CSM2-MR,20.356584008319455,13.33890683141322,27.374261044667904
ML,1981-10,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.698593864134423,19.900961546692415,35.49622714012711
ArL,1981-11,NEX-GDDP-CMIP6,BCC-CSM2-MR,25.659336867774336,17.791628664850602,33.52704702901057
MH,1981-11,NEX-GDDP-CMIP6,BCC-CSM2-MR,18.806302681062288,10.973555222942547,26.639048791480786
ML,1981-11,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.431858233834312,17.69140298201102,35.17231351686624
ArL,1981-12,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.133373294329378,15.84489835963596,30.421844817698865
MH,1981-12,NEX-GDDP-CMIP6,BCC-CSM2-MR,17.504117407497787,10.003676047747609,25.004547348993995
ML,1981-12,NEX-GDDP-CMIP6,BCC-CSM2-MR,24.14948214188906,15.631308863927556,32.66765239707219
ArL,1982-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,24.05978197419829,16.028676913176316,32.09088705256966
MH,1982-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,18.7679734958927,10.262160744740719,27.273788801889342
ML,1982-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,25.3125804870472,15.924765453798418,34.7003947980392
ArL,1982-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.884801463636247,16.659792655784372,31.109814008113137
MH,1982-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,19.298658767737425,11.651595385563624,26.94571812334376
ML,1982-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,25.80286630278005,17.38483990598895,34.22089530326226
ArL,1982-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,24.626841968755425,15.815986931710324,33.43769355327181
MH,1982-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,19.13920273534074,10.077532795275907,28.200877421298237
ML,1982-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.057331378900564,16.263553447180055,35.85111215060608
ArL,1982-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.915670809331047,19.407382784220513,34.42396112239247
MH,1982-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,20.61833022496658,13.028135427734929,28.208524269800616
ML,1982-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.445622205490466,19.144989013671896,35.74625241019765
ArL,1982-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,30.34368361602664,22.41873466834352,38.26863109334888
MH,1982-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.419899971134413,15.715055403584126,31.124737767106147
ML,1982-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,31.669116224312642,23.552097384645812,39.78613680720418
ArL,1982-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,29.11295632540741,21.24416555737557,36.98174379488637
MH,1982-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,22.050498330305686,14.247515250686345,29.853475779345054
ML,1982-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,28.804124790634727,20.65354177337047,36.954705815005276
ArL,1982-07,NEX-GDDP-CMIP6,BCC-CSM2-MR,28.484579917122684,21.510647265947718,35.45850933046759
MH,1982-07,NEX-GDDP-CMIP6,BCC-CSM2-MR,21.425098691416856,14.728869308103778,28.12133078666862
ML,1982-07,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.112609689404636,19.17620306133443,33.0490159340546
ArL,1982-08,NEX-GDDP-CMIP6,BCC-CSM2-MR,28.623676559422233,21.652067167315746,35.595289176346704
MH,1982-08,NEX-GDDP-CMIP6,BCC-CSM2-MR,22.043134292358662,15.351097442205305,28.735172804401255
ML,1982-08,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.370340739348435,19.603112824177398,33.13756412926866
ArL,1982-09,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.280053125395593,20.762172010637553,33.79793308641913
MH,1982-09,NEX-GDDP-CMIP6,BCC-CSM2-MR,20.48826798630487,13.928492930703507,27.048037485739208
ML,1982-09,NEX-GDDP-CMIP6,BCC-CSM2-MR,25.41619961768544,18.59526612843975,32.237128817974195
ArL,1982-10,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.167917180237584,19.674175855800357,34.66165871069878
MH,1982-10,NEX-GDDP-CMIP6,BCC-CSM2-MR,20.134499555705098,12.477939419060434,27.79106302439637
ML,1982-10,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.946633681526514,18.435332471737492,35.45792791395838
ArL,1982-11,NEX-GDDP-CMIP6,BCC-CSM2-MR,24.676861873277584,18.038723917099638,31.31499606680642
MH,1982-11,NEX-GDDP-CMIP6,BCC-CSM2-MR,18.18245258439821,11.177084310072242,25.187819056277128
ML,1982-11,NEX-GDDP-CMIP6,BCC-CSM2-MR,25.040333694223968,17.019919641354065,33.060751197876264
ArL,1982-12,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.290529554929858,16.69345264228793,29.88760558492155
MH,1982-12,NEX-GDDP-CMIP6,BCC-CSM2-MR,17.78845928215912,10.808612781525717,24.768303434650512
ML,1982-12,NEX-GDDP-CMIP6,BCC-CSM2-MR,24.09683169580187,16.05538558346937,32.138278860310926
ArL,1983-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,22.351569994069315,15.31774103100699,29.38540053158883
MH,1983-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,17.45660736737167,10.014567441483003,24.89864595382723
ML,1983-01,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.56921062149039,15.153250828722804,31.98517073526099
ArL,1983-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,22.302143625212793,14.513101391469725,30.091192544977275
MH,1983-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,17.748906028745516,9.882294807444442,25.615522095156532
ML,1983-02,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.800728231002356,14.3934265315054,33.20802883373902
ArL,1983-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,25.30454361846735,16.76393959474809,33.84514706531938
MH,1983-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,20.258304442367237,12.160957990019567,28.355643544368935
ML,1983-03,NEX-GDDP-CMIP6,BCC-CSM2-MR,26.920801686300177,17.34403434625242,36.497567639793274
ArL,1983-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,27.94261267370906,20.920600718920603,34.964626283195635
MH,1983-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,22.074775423366727,15.251085716377807,28.89846382399495
ML,1983-04,NEX-GDDP-CMIP6,BCC-CSM2-MR,29.37431518465523,21.872686067613238,36.875939513402265
ArL,1983-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,29.335276404939794,22.96380588472942,35.7067478186438
MH,1983-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,22.16347877835235,15.590651732439365,28.736313331705315
ML,1983-05,NEX-GDDP-CMIP6,BCC-CSM2-MR,29.767601812347372,23.077881211586664,36.457323920038895
ArL,1983-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,30.29868632973157,22.887048853819465,37.71032056998232
MH,1983-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,23.02349376280567,15.54655599829243,30.500426508578744
ML,1983-06,NEX-GDDP-CMIP6,BCC-CSM2-MR,29.5207437497147,22.22103124803834,36.82045657685243
