AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,CMCC-CM2-SR5,25.679021711929632,22.868117101169442,28.48992492606386
MH,1981-01,NEX-GDDP-CMIP6,CMCC-CM2-SR5,20.6751800247726,17.88541700951748,23.464946421682942
ML,1981-01,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.707235613001654,24.501049907230158,30.91341424333172
ArL,1981-02,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.14050354255475,27.181306758965203,33.09969477650793
MH,1981-02,NEX-GDDP-CMIP6,CMCC-CM2-SR5,25.846910771132524,22.95571208861879,28.738101541069106
ML,1981-02,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.640456067705976,29.26151989309176,36.0193927639501
ArL,1981-03,NEX-GDDP-CMIP6,CMCC-CM2-SR5,28.435502993186283,25.701049300687718,31.169963894356655
MH,1981-03,NEX-GDDP-CMIP6,CMCC-CM2-SR5,22.3150596881165,19.637922650680633,24.992198635484776
ML,1981-03,NEX-GDDP-CMIP6,CMCC-CM2-SR5,29.522445145935137,26.588695718390497,32.45620338322912
ArL,1981-04,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.36311660341544,29.832126148130637,34.89410010593193
MH,1981-04,NEX-GDDP-CMIP6,CMCC-CM2-SR5,26.160599311326354,23.677248266608206,28.6439477515912
ML,1981-04,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.1514055473601,29.463170709045755,34.83964121047385
ArL,1981-05,NEX-GDDP-CMIP6,CMCC-CM2-SR5,33.98865771355991,31.24886835259835,36.72844949909881
MH,1981-05,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.013828859869268,24.0956315546235,29.932025098529387
ML,1981-05,NEX-GDDP-CMIP6,CMCC-CM2-SR5,34.602061017679446,31.690291558120133,37.513829897650005
ArL,1981-06,NEX-GDDP-CMIP6,CMCC-CM2-SR5,34.448425274751926,31.420100742012625,37.476754541706136
MH,1981-06,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.3616917132944,24.16970099917084,30.553677681525297
ML,1981-06,NEX-GDDP-CMIP6,CMCC-CM2-SR5,33.668891914540474,30.594419433950446,36.74336809558188
ArL,1981-07,NEX-GDDP-CMIP6,CMCC-CM2-SR5,33.36854334316721,30.90959773104325,35.827493622277274
MH,1981-07,NEX-GDDP-CMIP6,CMCC-CM2-SR5,26.67054244428755,24.327225659953612,29.013854176808906
ML,1981-07,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.86498681034289,28.358086386904233,33.371886012186735
ArL,1981-08,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.07864005049229,29.494852749389178,34.66242566436717
MH,1981-08,NEX-GDDP-CMIP6,CMCC-CM2-SR5,25.374137246321315,22.995561001223972,27.75271595531416
ML,1981-08,NEX-GDDP-CMIP6,CMCC-CM2-SR5,29.404538287099413,26.711735517949098,32.097338907312896
ArL,1981-09,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.132041273176725,29.080998138462466,35.183086730540644
MH,1981-09,NEX-GDDP-CMIP6,CMCC-CM2-SR5,24.944593437730212,21.83609789959691,28.05308710727162
ML,1981-09,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.25401574323614,27.150247631532796,33.35777896856027
ArL,1981-10,NEX-GDDP-CMIP6,CMCC-CM2-SR5,31.562711297361066,29.073702851990006,34.051718606347066
MH,1981-10,NEX-GDDP-CMIP6,CMCC-CM2-SR5,24.27465560528622,21.421410248125223,27.127898482015507
ML,1981-10,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.471305090358804,29.738082847846012,35.20453198741529
ArL,1981-11,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.40832910890132,27.667480637039116,33.14917740076357
MH,1981-11,NEX-GDDP-CMIP6,CMCC-CM2-SR5,23.461416411832655,20.395433910517696,26.52739673863582
ML,1981-11,NEX-GDDP-CMIP6,CMCC-CM2-SR5,31.81355308605166,28.41723977890742,35.20986583144063
ArL,1981-12,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.8007860006969,25.134653904900233,30.466917695288924
MH,1981-12,NEX-GDDP-CMIP6,CMCC-CM2-SR5,23.103451686085062,20.61077323423692,25.596128996934613
ML,1981-12,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.5383338900358,27.493459483356375,33.58320492172523
ArL,1982-01,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.630132410809573,24.819230881734917,30.44103556855828
MH,1982-01,NEX-GDDP-CMIP6,CMCC-CM2-SR5,23.24407204767776,20.4543066429401,26.033834211317995
ML,1982-01,NEX-GDDP-CMIP6,CMCC-CM2-SR5,29.930887538556053,26.72470531923395,33.13706839361535
ArL,1982-02,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.547250884523997,24.58805682262012,30.50644590931906
MH,1982-02,NEX-GDDP-CMIP6,CMCC-CM2-SR5,23.429859367459517,20.538661842480572,26.321058422038014
ML,1982-02,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.214725995394712,26.83579112708441,33.59366623158872
ArL,1982-03,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.439456069191596,27.704999297176194,33.1739164130128
MH,1982-03,NEX-GDDP-CMIP6,CMCC-CM2-SR5,25.741227149601677,23.064093965103066,28.418359854550157
ML,1982-03,NEX-GDDP-CMIP6,CMCC-CM2-SR5,33.532120542338184,30.59836741880053,36.465876871447584
ArL,1982-04,NEX-GDDP-CMIP6,CMCC-CM2-SR5,33.58010659665126,31.049119721846957,36.111096136755684
MH,1982-04,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.744750842619215,25.261400095552872,30.228101399519126
ML,1982-04,NEX-GDDP-CMIP6,CMCC-CM2-SR5,35.25938122835016,32.57114597986529,37.94761465781796
ArL,1982-05,NEX-GDDP-CMIP6,CMCC-CM2-SR5,34.23600022064957,31.496209155110368,36.975790537996296
MH,1982-05,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.118015086117964,24.19981882265353,30.0362148056506
ML,1982-05,NEX-GDDP-CMIP6,CMCC-CM2-SR5,35.6065112652441,32.694741475765014,38.51827807207019
ArL,1982-06,NEX-GDDP-CMIP6,CMCC-CM2-SR5,34.81025979810307,31.781932454762526,37.838589219033146
MH,1982-06,NEX-GDDP-CMIP6,CMCC-CM2-SR5,27.80265872017928,24.61067065184955,30.994649872512454
ML,1982-06,NEX-GDDP-CMIP6,CMCC-CM2-SR5,34.101147920150176,31.026667066731566,37.17562354389469
ArL,1982-07,NEX-GDDP-CMIP6,CMCC-CM2-SR5,33.389259638957114,30.93030750779961,35.848206751803396
MH,1982-07,NEX-GDDP-CMIP6,CMCC-CM2-SR5,26.105390457653574,23.762077278213706,28.448706034844065
ML,1982-07,NEX-GDDP-CMIP6,CMCC-CM2-SR5,31.02043086540276,28.513532537400444,33.52733580963382
ArL,1982-08,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.60072746862401,30.016944791133472,35.18451700996718
MH,1982-08,NEX-GDDP-CMIP6,CMCC-CM2-SR5,25.65629869748896,23.27771980659779,28.034874157116263
ML,1982-08,NEX-GDDP-CMIP6,CMCC-CM2-SR5,30.402385805853136,27.709590129977713,33.09518394275164
ArL,1982-09,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.67724671529194,29.626202164433646,35.72828985217488
MH,1982-09,NEX-GDDP-CMIP6,CMCC-CM2-SR5,26.175034241532956,23.06654489621083,29.283531210048544
ML,1982-09,NEX-GDDP-CMIP6,CMCC-CM2-SR5,31.32748183925456,28.223720932285524,34.43125002675028
ArL,1982-10,NEX-GDDP-CMIP6,CMCC-CM2-SR5,31.77263982619937,29.283630686852682,34.2616476122936
MH,1982-10,NEX-GDDP-CMIP6,CMCC-CM2-SR5,24.39361157868171,21.54036704006317,27.246855025910296
ML,1982-10,NEX-GDDP-CMIP6,CMCC-CM2-SR5,32.78808000340266,30.054857471095488,35.52130569223946
ArL,1982-11,NEX-GDDP-CMIP6,CMCC-CM2-SR5,29.980154406367024,27.23930631619141,32.721003040879765
