AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,CMCC-ESM2,20.971117329990562,13.656411508947311,28.285822808383365
MH,1981-01,NEX-GDDP-CMIP6,CMCC-ESM2,16.29662933638996,8.78191082669418,23.81134854887472
ML,1981-01,NEX-GDDP-CMIP6,CMCC-ESM2,21.922380383577227,13.609770435586844,30.234994303979896
ArL,1981-02,NEX-GDDP-CMIP6,CMCC-ESM2,22.262132343424557,14.385715505438434,30.138548886471025
MH,1981-02,NEX-GDDP-CMIP6,CMCC-ESM2,17.413640535572195,9.191633596448739,25.635645316720062
ML,1981-02,NEX-GDDP-CMIP6,CMCC-ESM2,23.632964129339985,14.550538237343947,32.7153962586029
ArL,1981-03,NEX-GDDP-CMIP6,CMCC-ESM2,26.022441305797045,18.208431340619356,33.83645841892368
MH,1981-03,NEX-GDDP-CMIP6,CMCC-ESM2,20.604300134287296,12.818374280740976,28.39023034512531
ML,1981-03,NEX-GDDP-CMIP6,CMCC-ESM2,28.142868173514287,19.768124454294895,36.517613618124855
ArL,1981-04,NEX-GDDP-CMIP6,CMCC-ESM2,27.630367917944067,19.51459732315907,35.74613442694758
MH,1981-04,NEX-GDDP-CMIP6,CMCC-ESM2,21.68296999418457,13.398748139345518,29.96718935205571
ML,1981-04,NEX-GDDP-CMIP6,CMCC-ESM2,29.61387028607079,21.208101960008754,38.01963569635543
ArL,1981-05,NEX-GDDP-CMIP6,CMCC-ESM2,28.552925857188313,20.561940524658088,36.5439110921282
MH,1981-05,NEX-GDDP-CMIP6,CMCC-ESM2,21.60854450020164,13.314246718355802,29.9028414552369
ML,1981-05,NEX-GDDP-CMIP6,CMCC-ESM2,29.75844444793191,21.335639618120574,38.18125542138425
ArL,1981-06,NEX-GDDP-CMIP6,CMCC-ESM2,29.795423763810824,22.430529510602167,37.16031714521261
MH,1981-06,NEX-GDDP-CMIP6,CMCC-ESM2,22.928442875591628,15.687409355103659,30.169476602782243
ML,1981-06,NEX-GDDP-CMIP6,CMCC-ESM2,28.72269856443888,21.476160996564577,35.96923348403833
ArL,1981-07,NEX-GDDP-CMIP6,CMCC-ESM2,28.00133099450247,22.046656737292363,33.95600877580759
MH,1981-07,NEX-GDDP-CMIP6,CMCC-ESM2,20.810609165254725,15.158846472918734,26.46237076620076
ML,1981-07,NEX-GDDP-CMIP6,CMCC-ESM2,25.653766265936035,19.706865068523467,31.60066748118212
ArL,1981-08,NEX-GDDP-CMIP6,CMCC-ESM2,27.81255628923046,21.604425914128992,34.02068475156159
MH,1981-08,NEX-GDDP-CMIP6,CMCC-ESM2,21.056119203528777,15.335052794500688,26.777188754437027
ML,1981-08,NEX-GDDP-CMIP6,CMCC-ESM2,25.367742367083373,19.538767774650193,31.196724850840624
ArL,1981-09,NEX-GDDP-CMIP6,CMCC-ESM2,27.59701606529284,21.163961634112752,34.030070409725994
MH,1981-09,NEX-GDDP-CMIP6,CMCC-ESM2,20.75602403267135,14.439201673715967,27.072842753660225
ML,1981-09,NEX-GDDP-CMIP6,CMCC-ESM2,26.176318644711035,19.78256677219346,32.57006632635594
