AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,CNRM-CM6-1,22.21832973399986,16.026783921164252,28.409872699366726
MH,1981-01,NEX-GDDP-CMIP6,CNRM-CM6-1,17.442273737996057,10.839441157743838,24.04510454887366
ML,1981-01,NEX-GDDP-CMIP6,CNRM-CM6-1,23.69026144179576,16.48904980700588,30.891471707864454
ArL,1981-02,NEX-GDDP-CMIP6,CNRM-CM6-1,22.681657210149986,14.347619785050787,31.01569430994813
MH,1981-02,NEX-GDDP-CMIP6,CNRM-CM6-1,16.71984906936851,8.057642651611946,25.382056768681444
ML,1981-02,NEX-GDDP-CMIP6,CNRM-CM6-1,23.984396957497797,14.062522965090592,33.90627130211664
ArL,1981-03,NEX-GDDP-CMIP6,CNRM-CM6-1,25.092122322676754,18.32963672961075,31.854603934057614
MH,1981-03,NEX-GDDP-CMIP6,CNRM-CM6-1,19.555960414558886,12.577939561271844,26.53398147454855
ML,1981-03,NEX-GDDP-CMIP6,CNRM-CM6-1,26.781565777797468,19.30938779999519,34.253743702099236
ArL,1981-04,NEX-GDDP-CMIP6,CNRM-CM6-1,27.249954461319476,19.731699992012363,34.768206590627535
MH,1981-04,NEX-GDDP-CMIP6,CNRM-CM6-1,21.028702239452826,12.952649441711074,29.104756045903493
ML,1981-04,NEX-GDDP-CMIP6,CNRM-CM6-1,29.370749402934415,21.430786788193686,37.31070782234411
ArL,1981-05,NEX-GDDP-CMIP6,CNRM-CM6-1,29.87634246244968,21.4925292842967,38.2601560678314
MH,1981-05,NEX-GDDP-CMIP6,CNRM-CM6-1,23.208681843358985,14.753819706084087,31.66353512549268
ML,1981-05,NEX-GDDP-CMIP6,CNRM-CM6-1,31.00865094649524,22.533286643742322,39.48401339010572
ArL,1981-06,NEX-GDDP-CMIP6,CNRM-CM6-1,29.671811118676228,22.890270117347136,36.45334910121135
MH,1981-06,NEX-GDDP-CMIP6,CNRM-CM6-1,22.66166258145079,15.860732646106051,29.462592425846378
ML,1981-06,NEX-GDDP-CMIP6,CNRM-CM6-1,28.226632532157407,21.725424606735668,34.72784019007661
ArL,1981-07,NEX-GDDP-CMIP6,CNRM-CM6-1,28.948812120620897,22.829584898306216,35.06804610269189
MH,1981-07,NEX-GDDP-CMIP6,CNRM-CM6-1,21.943342473338358,16.033147272292425,27.85353282927436
ML,1981-07,NEX-GDDP-CMIP6,CNRM-CM6-1,25.75064847067034,19.994455618123425,31.50684706114611
ArL,1981-08,NEX-GDDP-CMIP6,CNRM-CM6-1,28.643720056686725,22.606855715805338,34.680584380218725
MH,1981-08,NEX-GDDP-CMIP6,CNRM-CM6-1,21.98775576062077,16.1944087861257,27.78110863027521
ML,1981-08,NEX-GDDP-CMIP6,CNRM-CM6-1,26.38664795100213,20.76685555167581,32.006438491185996
ArL,1981-09,NEX-GDDP-CMIP6,CNRM-CM6-1,27.408997973452397,21.086936960659514,33.73105739877605
MH,1981-09,NEX-GDDP-CMIP6,CNRM-CM6-1,20.565968452149786,14.043872162915308,27.0880584080153
ML,1981-09,NEX-GDDP-CMIP6,CNRM-CM6-1,26.08080235683982,19.83664694340933,32.32495455132341
ArL,1981-10,NEX-GDDP-CMIP6,CNRM-CM6-1,26.925267655121626,20.71216409237568,33.138372761963325
MH,1981-10,NEX-GDDP-CMIP6,CNRM-CM6-1,20.0461219640839,13.462148073041927,26.630099269853535
ML,1981-10,NEX-GDDP-CMIP6,CNRM-CM6-1,26.686839362423843,19.9470550470234,33.42662314281925
ArL,1981-11,NEX-GDDP-CMIP6,CNRM-CM6-1,25.822119867564485,19.220992720161014,32.423246327498354
MH,1981-11,NEX-GDDP-CMIP6,CNRM-CM6-1,19.113820262692958,12.08951299931424,26.138130254546564
ML,1981-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.581646942517658,19.01438790788785,34.14890772037216
ArL,1981-12,NEX-GDDP-CMIP6,CNRM-CM6-1,23.89096712694719,17.16969529542822,30.61223668786465
MH,1981-12,NEX-GDDP-CMIP6,CNRM-CM6-1,18.282961041479727,10.502336755182608,26.063587692455073
ML,1981-12,NEX-GDDP-CMIP6,CNRM-CM6-1,24.770247791142626,16.577225669933313,32.963272306499405
ArL,1982-01,NEX-GDDP-CMIP6,CNRM-CM6-1,23.288775579247595,16.330214175885228,30.2473316758651
MH,1982-01,NEX-GDDP-CMIP6,CNRM-CM6-1,18.50418272553279,10.977259259881539,26.031111226460396
ML,1982-01,NEX-GDDP-CMIP6,CNRM-CM6-1,24.679265849167138,16.694167923631266,32.66435775143811
ArL,1982-02,NEX-GDDP-CMIP6,CNRM-CM6-1,23.98446053596571,16.3737944073268,31.59512524629198
MH,1982-02,NEX-GDDP-CMIP6,CNRM-CM6-1,19.384223839184447,11.014307946985726,27.754134233092877
ML,1982-02,NEX-GDDP-CMIP6,CNRM-CM6-1,26.096036816548942,17.295790593862733,34.89628332902954
ArL,1982-03,NEX-GDDP-CMIP6,CNRM-CM6-1,23.867994562423405,15.750911800694663,31.9850814793312
MH,1982-03,NEX-GDDP-CMIP6,CNRM-CM6-1,18.938213949273276,10.65057995469874,27.225848382057414
ML,1982-03,NEX-GDDP-CMIP6,CNRM-CM6-1,25.716451966179154,16.086867138101226,35.34603411923196
ArL,1982-04,NEX-GDDP-CMIP6,CNRM-CM6-1,28.100222907139553,20.50603392418305,35.694409543590986
MH,1982-04,NEX-GDDP-CMIP6,CNRM-CM6-1,22.052319810526797,15.043117615589468,29.061520269161928
ML,1982-04,NEX-GDDP-CMIP6,CNRM-CM6-1,29.791385193094044,21.37794825663266,38.204815696120036
ArL,1982-05,NEX-GDDP-CMIP6,CNRM-CM6-1,29.789448900423398,22.27057375666634,37.30832313984349
MH,1982-05,NEX-GDDP-CMIP6,CNRM-CM6-1,23.15006586042276,15.35249382604014,30.947636348669622
ML,1982-05,NEX-GDDP-CMIP6,CNRM-CM6-1,30.594739433829165,23.20154061383625,37.98794144601873
ArL,1982-06,NEX-GDDP-CMIP6,CNRM-CM6-1,29.656171686151907,23.023061212536444,36.28927765109448
MH,1982-06,NEX-GDDP-CMIP6,CNRM-CM6-1,22.66891093206292,16.169980304049368,29.167847215460775
ML,1982-06,NEX-GDDP-CMIP6,CNRM-CM6-1,27.406458709917448,20.996431516503858,33.816485622453406
ArL,1982-07,NEX-GDDP-CMIP6,CNRM-CM6-1,28.57545260092698,22.435146051160743,34.71576148635494
MH,1982-07,NEX-GDDP-CMIP6,CNRM-CM6-1,21.934780510897518,16.079844847012293,27.789719911966532
ML,1982-07,NEX-GDDP-CMIP6,CNRM-CM6-1,26.511679792717683,20.82505214515616,32.19830604926615
ArL,1982-08,NEX-GDDP-CMIP6,CNRM-CM6-1,25.450657464700246,21.15819604558117,29.743115006230525
MH,1982-08,NEX-GDDP-CMIP6,CNRM-CM6-1,19.028408027179736,15.119372212986958,22.93743987268178
ML,1982-08,NEX-GDDP-CMIP6,CNRM-CM6-1,23.071872810937812,18.99055817787279,27.153185718611642
ArL,1982-09,NEX-GDDP-CMIP6,CNRM-CM6-1,27.2353164377912,20.414743063678944,34.05588841527753
MH,1982-09,NEX-GDDP-CMIP6,CNRM-CM6-1,19.79646166747454,12.883552973356355,26.709376372505563
ML,1982-09,NEX-GDDP-CMIP6,CNRM-CM6-1,24.17888932600783,17.015660444082727,31.342115911869715
ArL,1982-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.171242906614914,19.62062518112765,34.72186085330689
MH,1982-10,NEX-GDDP-CMIP6,CNRM-CM6-1,19.844093281826808,12.296072181819502,27.3921145058557
ML,1982-10,NEX-GDDP-CMIP6,CNRM-CM6-1,26.98960513776024,18.654492307876158,35.324709322854865
ArL,1982-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.112155327897256,18.260376381237062,33.963935599617166
MH,1982-11,NEX-GDDP-CMIP6,CNRM-CM6-1,19.32800820308534,11.545813563741435,27.110204529122804
ML,1982-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.953297155699335,18.453441892391254,35.45315586087304
ArL,1982-12,NEX-GDDP-CMIP6,CNRM-CM6-1,23.326361201526517,16.981739993201145,29.670978382624607
MH,1982-12,NEX-GDDP-CMIP6,CNRM-CM6-1,17.61762232629308,10.435162447772058,24.80007953421597
ML,1982-12,NEX-GDDP-CMIP6,CNRM-CM6-1,24.051666304349403,16.416247415925767,31.68708179549115
ArL,1983-01,NEX-GDDP-CMIP6,CNRM-CM6-1,21.328220752588138,14.536623580351437,28.119817809885117
MH,1983-01,NEX-GDDP-CMIP6,CNRM-CM6-1,15.818088766515068,8.012012199953775,23.624161893544397
ML,1983-01,NEX-GDDP-CMIP6,CNRM-CM6-1,21.50539380471322,13.135124912080865,29.87565994652805
ArL,1983-02,NEX-GDDP-CMIP6,CNRM-CM6-1,25.03028765445816,17.40948972241185,32.651086057106724
MH,1983-02,NEX-GDDP-CMIP6,CNRM-CM6-1,20.000193480287805,12.100162683247706,27.90022918858269
ML,1983-02,NEX-GDDP-CMIP6,CNRM-CM6-1,26.535550040446406,18.04943232846315,35.02167178280083
ArL,1983-03,NEX-GDDP-CMIP6,CNRM-CM6-1,25.424530028429423,18.15297602381879,32.69608639906322
MH,1983-03,NEX-GDDP-CMIP6,CNRM-CM6-1,19.48361291050817,12.244047144143405,26.72318042144324
ML,1983-03,NEX-GDDP-CMIP6,CNRM-CM6-1,26.639602930864534,18.697050022434563,34.582155531666615
ArL,1983-04,NEX-GDDP-CMIP6,CNRM-CM6-1,26.66049376200926,19.80340038687755,33.51758513545504
MH,1983-04,NEX-GDDP-CMIP6,CNRM-CM6-1,20.527653736165167,13.491736216869398,27.563570899932408
ML,1983-04,NEX-GDDP-CMIP6,CNRM-CM6-1,27.403898898139346,19.736967134998203,35.07082908301568
ArL,1983-05,NEX-GDDP-CMIP6,CNRM-CM6-1,28.746238737990094,20.89753055756849,36.594947929013664
MH,1983-05,NEX-GDDP-CMIP6,CNRM-CM6-1,21.964632572658815,13.754224223155267,30.17504433689001
ML,1983-05,NEX-GDDP-CMIP6,CNRM-CM6-1,29.674038511266517,21.651263958281053,37.696811526112555
ArL,1983-06,NEX-GDDP-CMIP6,CNRM-CM6-1,28.556325674138346,22.471245576686137,34.641404858578895
MH,1983-06,NEX-GDDP-CMIP6,CNRM-CM6-1,21.49002996096928,15.439514778610585,27.540540033638646
ML,1983-06,NEX-GDDP-CMIP6,CNRM-CM6-1,27.04548397802631,21.12637825318723,32.96459017099476
ArL,1983-07,NEX-GDDP-CMIP6,CNRM-CM6-1,27.805463212074514,21.676077854314826,33.93485159947158
MH,1983-07,NEX-GDDP-CMIP6,CNRM-CM6-1,21.048200160718775,15.349247106295326,26.74714760936656
ML,1983-07,NEX-GDDP-CMIP6,CNRM-CM6-1,25.5068429638993,19.74527774696548,31.26840484151014
ArL,1983-08,NEX-GDDP-CMIP6,CNRM-CM6-1,26.455076432566955,21.185824338599605,31.72432915544973
MH,1983-08,NEX-GDDP-CMIP6,CNRM-CM6-1,19.77786857462359,14.776429419877982,24.779296021731525
ML,1983-08,NEX-GDDP-CMIP6,CNRM-CM6-1,24.306196160661322,19.261424987659236,29.350962732620218
ArL,1983-09,NEX-GDDP-CMIP6,CNRM-CM6-1,26.743752394649665,19.520959290487674,33.96654829640089
MH,1983-09,NEX-GDDP-CMIP6,CNRM-CM6-1,19.929327562901126,12.81081886095139,27.04783900986196
ML,1983-09,NEX-GDDP-CMIP6,CNRM-CM6-1,25.84819678340716,18.83356279995951,32.862829803845784
ArL,1983-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.124974100829682,20.548710523456815,33.70123557675762
MH,1983-10,NEX-GDDP-CMIP6,CNRM-CM6-1,19.98062308907544,13.259887379470888,26.70136226301627
ML,1983-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.151059590821056,20.239569123005523,34.062550112137075
ArL,1983-11,NEX-GDDP-CMIP6,CNRM-CM6-1,25.710615854442235,19.259308107689495,32.161924620471666
MH,1983-11,NEX-GDDP-CMIP6,CNRM-CM6-1,19.146134028903738,12.34716526342584,25.945100578529306
ML,1983-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.53706327985902,19.261159678668875,33.81297241835112
ArL,1983-12,NEX-GDDP-CMIP6,CNRM-CM6-1,23.219083014179745,17.26376750180505,29.174399309445686
MH,1983-12,NEX-GDDP-CMIP6,CNRM-CM6-1,17.780235237198088,11.081172051606766,24.479290014125926
ML,1983-12,NEX-GDDP-CMIP6,CNRM-CM6-1,24.183552327236193,16.9324390174526,31.434667509537373
ArL,1984-01,NEX-GDDP-CMIP6,CNRM-CM6-1,22.81402053876383,15.610729121240203,30.017312311949965
MH,1984-01,NEX-GDDP-CMIP6,CNRM-CM6-1,17.673534481572606,9.931399351754077,25.415661690545868
ML,1984-01,NEX-GDDP-CMIP6,CNRM-CM6-1,23.77790882676255,15.227854947298464,32.32795983949139
ArL,1984-02,NEX-GDDP-CMIP6,CNRM-CM6-1,23.525218544201543,16.14390756673202,30.906524934925912
MH,1984-02,NEX-GDDP-CMIP6,CNRM-CM6-1,18.54546059004115,10.37797956732807,26.71294090996525
ML,1984-02,NEX-GDDP-CMIP6,CNRM-CM6-1,25.62204585831215,16.859410733877116,34.38467641291262
ArL,1984-03,NEX-GDDP-CMIP6,CNRM-CM6-1,24.99446526376142,17.30019847659514,32.68873360586682
MH,1984-03,NEX-GDDP-CMIP6,CNRM-CM6-1,19.79503269076705,11.799499427384102,27.790567492017672
ML,1984-03,NEX-GDDP-CMIP6,CNRM-CM6-1,26.86488484284408,17.938989774984048,35.79077882286058
ArL,1984-04,NEX-GDDP-CMIP6,CNRM-CM6-1,28.52182400146624,20.18940876607804,36.85423752143346
MH,1984-04,NEX-GDDP-CMIP6,CNRM-CM6-1,22.954353870359828,14.798529413223811,31.110180898876735
ML,1984-04,NEX-GDDP-CMIP6,CNRM-CM6-1,30.435936322988983,21.609788162086577,39.26207877271277
ArL,1984-05,NEX-GDDP-CMIP6,CNRM-CM6-1,29.224155965157724,20.79998384511493,37.648331650500296
MH,1984-05,NEX-GDDP-CMIP6,CNRM-CM6-1,22.736988984766604,14.588598009397359,30.885380861359376
ML,1984-05,NEX-GDDP-CMIP6,CNRM-CM6-1,30.188933791166882,21.385432642511095,38.99243620154282
ArL,1984-06,NEX-GDDP-CMIP6,CNRM-CM6-1,28.713227295563833,21.954964921527345,35.471485965505394
MH,1984-06,NEX-GDDP-CMIP6,CNRM-CM6-1,21.809193789581105,15.063425116692768,28.554960395443015
ML,1984-06,NEX-GDDP-CMIP6,CNRM-CM6-1,27.359205278573572,20.99625833983664,33.72215380895045
ArL,1984-07,NEX-GDDP-CMIP6,CNRM-CM6-1,27.030650785878834,21.124821439204148,32.936476090145504
MH,1984-07,NEX-GDDP-CMIP6,CNRM-CM6-1,20.393066156553232,14.964928124365034,25.821202361490077
ML,1984-07,NEX-GDDP-CMIP6,CNRM-CM6-1,24.992060177721566,19.49835114573111,30.485769749175404
ArL,1984-08,NEX-GDDP-CMIP6,CNRM-CM6-1,27.784388514741586,21.556186573230285,34.01259259890266
MH,1984-08,NEX-GDDP-CMIP6,CNRM-CM6-1,21.141631276418277,15.117696069527781,27.16556226657487
ML,1984-08,NEX-GDDP-CMIP6,CNRM-CM6-1,25.67155281551745,19.899510876117112,31.443594219912775
ArL,1984-09,NEX-GDDP-CMIP6,CNRM-CM6-1,27.711333516323155,20.87817655111189,34.54449406852093
MH,1984-09,NEX-GDDP-CMIP6,CNRM-CM6-1,20.945437669198547,14.00838470913733,27.882498144967833
ML,1984-09,NEX-GDDP-CMIP6,CNRM-CM6-1,26.40272427678023,19.595814535337468,33.20963251575057
ArL,1984-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.35286311571948,20.279294100398733,34.4264359457375
MH,1984-10,NEX-GDDP-CMIP6,CNRM-CM6-1,20.104829259979436,12.73650454818575,27.473162628479773
ML,1984-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.396359959582185,19.792428840765403,35.00029724433184
ArL,1984-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.41599580245375,18.87032084028583,33.96167246052461
MH,1984-11,NEX-GDDP-CMIP6,CNRM-CM6-1,19.804201127028815,12.330103977712916,27.27830008705988
ML,1984-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.9720795502534,18.67981878131565,35.264340363774906
ArL,1984-12,NEX-GDDP-CMIP6,CNRM-CM6-1,23.650899195494905,17.311715945471025,29.99007531058187
MH,1984-12,NEX-GDDP-CMIP6,CNRM-CM6-1,18.49869515897784,12.088743056775586,24.908643945669706
ML,1984-12,NEX-GDDP-CMIP6,CNRM-CM6-1,24.907355904422445,17.600043687618435,32.214667505970674
ArL,1985-01,NEX-GDDP-CMIP6,CNRM-CM6-1,23.15327116948358,16.72798997012646,29.578553199442783
MH,1985-01,NEX-GDDP-CMIP6,CNRM-CM6-1,18.753846097877464,11.422903840078723,26.084789678573117
ML,1985-01,NEX-GDDP-CMIP6,CNRM-CM6-1,25.100719497045365,17.688841917429492,32.51259728620488
ArL,1985-02,NEX-GDDP-CMIP6,CNRM-CM6-1,25.819878334969278,17.77355371619439,33.866204708201316
MH,1985-02,NEX-GDDP-CMIP6,CNRM-CM6-1,21.0383913265984,12.37846290425086,29.698320203691754
ML,1985-02,NEX-GDDP-CMIP6,CNRM-CM6-1,28.484309693720352,19.64149009420371,37.32712216429508
ArL,1985-03,NEX-GDDP-CMIP6,CNRM-CM6-1,25.635859357910856,18.722698282368714,32.54901890887531
MH,1985-03,NEX-GDDP-CMIP6,CNRM-CM6-1,20.25455805619087,13.348633282128434,27.160473718800827
ML,1985-03,NEX-GDDP-CMIP6,CNRM-CM6-1,27.42157968614467,19.7699115494031,35.07324393518311
ArL,1985-04,NEX-GDDP-CMIP6,CNRM-CM6-1,26.74105873910321,19.705383529793234,33.77673212238983
MH,1985-04,NEX-GDDP-CMIP6,CNRM-CM6-1,20.922118700761807,13.725488281250025,28.11875850457354
ML,1985-04,NEX-GDDP-CMIP6,CNRM-CM6-1,28.172535771327464,20.546801204974,35.79827047589057
ArL,1985-05,NEX-GDDP-CMIP6,CNRM-CM6-1,27.57126506091927,21.07940900584663,34.06311935502878
MH,1985-05,NEX-GDDP-CMIP6,CNRM-CM6-1,20.77018055095484,14.269428765176297,27.27094413532021
ML,1985-05,NEX-GDDP-CMIP6,CNRM-CM6-1,27.60610616835826,20.46148730682755,34.75072052247166
ArL,1985-06,NEX-GDDP-CMIP6,CNRM-CM6-1,29.892264210764452,22.280717234044964,37.503808019051434
MH,1985-06,NEX-GDDP-CMIP6,CNRM-CM6-1,22.58669203740414,14.816354779388446,30.357026517336337
ML,1985-06,NEX-GDDP-CMIP6,CNRM-CM6-1,29.300563988919002,21.296829747491927,37.304294507602805
ArL,1985-07,NEX-GDDP-CMIP6,CNRM-CM6-1,28.779739090581742,22.64934384647998,34.9101373925136
MH,1985-07,NEX-GDDP-CMIP6,CNRM-CM6-1,21.482375456201027,15.625741234022076,27.339010959936367
ML,1985-07,NEX-GDDP-CMIP6,CNRM-CM6-1,26.316175546917812,20.29012989743599,32.342218039870026
ArL,1985-08,NEX-GDDP-CMIP6,CNRM-CM6-1,28.84124527845011,22.92124069023025,34.761249721368806
MH,1985-08,NEX-GDDP-CMIP6,CNRM-CM6-1,21.85807457414628,16.064631044712886,27.651521468698704
ML,1985-08,NEX-GDDP-CMIP6,CNRM-CM6-1,26.077151509320526,20.33407117064807,31.820238522180617
ArL,1985-09,NEX-GDDP-CMIP6,CNRM-CM6-1,27.593465135150385,21.75589733243058,33.43103373160482
MH,1985-09,NEX-GDDP-CMIP6,CNRM-CM6-1,20.61061584257689,14.581455540146775,26.63977218458436
ML,1985-09,NEX-GDDP-CMIP6,CNRM-CM6-1,26.22860985275951,20.290348014525065,32.16687202983048
ArL,1985-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.150378160764042,21.011280464489015,33.28947618450884
MH,1985-10,NEX-GDDP-CMIP6,CNRM-CM6-1,19.66830521890772,13.284932042124241,26.05167675033816
ML,1985-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.003504902607713,20.150599214541316,33.856410947344116
ArL,1985-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.161386663578956,19.25855166992051,33.064224136031584
MH,1985-11,NEX-GDDP-CMIP6,CNRM-CM6-1,19.2188169038577,11.947928039170474,26.489707827303246
ML,1985-11,NEX-GDDP-CMIP6,CNRM-CM6-1,26.859226906151584,18.919626454143675,34.798831629282915
ArL,1985-12,NEX-GDDP-CMIP6,CNRM-CM6-1,24.4957124680806,17.509034351654684,31.48239140643393
MH,1985-12,NEX-GDDP-CMIP6,CNRM-CM6-1,18.940425841177255,11.515091490558246,26.36575536322254
ML,1985-12,NEX-GDDP-CMIP6,CNRM-CM6-1,25.547234768585394,17.516820700557,33.577645189662874
ArL,1986-01,NEX-GDDP-CMIP6,CNRM-CM6-1,24.03180967095634,16.77756595362177,31.28605934997525
MH,1986-01,NEX-GDDP-CMIP6,CNRM-CM6-1,18.933544809428785,10.787578117062642,27.079516404781614
ML,1986-01,NEX-GDDP-CMIP6,CNRM-CM6-1,25.84407533655385,17.197665175667144,34.490481908448544
ArL,1986-02,NEX-GDDP-CMIP6,CNRM-CM6-1,22.41913508360465,15.360214269398448,29.478056917087567
MH,1986-02,NEX-GDDP-CMIP6,CNRM-CM6-1,16.918182677313194,9.42949944028234,24.406866832103777
ML,1986-02,NEX-GDDP-CMIP6,CNRM-CM6-1,23.52387080056728,15.397999540430705,31.64974243520735
ArL,1986-03,NEX-GDDP-CMIP6,CNRM-CM6-1,25.874418547317504,17.994437077507662,33.75439972435636
MH,1986-03,NEX-GDDP-CMIP6,CNRM-CM6-1,20.672611446788885,12.305059976508021,29.04016686922426
ML,1986-03,NEX-GDDP-CMIP6,CNRM-CM6-1,28.479709346038423,19.473017289222312,37.48640331995585
ArL,1986-04,NEX-GDDP-CMIP6,CNRM-CM6-1,25.737207449804067,19.932834509436976,31.54158163498993
MH,1986-04,NEX-GDDP-CMIP6,CNRM-CM6-1,19.923155132615147,13.942398156450572,25.9039142584872
ML,1986-04,NEX-GDDP-CMIP6,CNRM-CM6-1,26.30811180855954,20.03320453830495,32.583025209079985
ArL,1986-05,NEX-GDDP-CMIP6,CNRM-CM6-1,29.02806928980549,21.689248344937553,36.36689337708181
MH,1986-05,NEX-GDDP-CMIP6,CNRM-CM6-1,22.563400419861058,14.98084331833876,30.145964929606034
ML,1986-05,NEX-GDDP-CMIP6,CNRM-CM6-1,29.47872713477707,21.981396274831386,36.97605208291724
ArL,1986-06,NEX-GDDP-CMIP6,CNRM-CM6-1,27.55833968899345,22.01853404519505,33.09814156146808
MH,1986-06,NEX-GDDP-CMIP6,CNRM-CM6-1,20.22458839716226,14.633761536322542,25.815420516517193
ML,1986-06,NEX-GDDP-CMIP6,CNRM-CM6-1,25.47509690724299,19.810577053741625,31.13962219996208
ArL,1986-07,NEX-GDDP-CMIP6,CNRM-CM6-1,28.452534475754856,22.447256929919174,34.45781556954094
MH,1986-07,NEX-GDDP-CMIP6,CNRM-CM6-1,21.238699573154104,15.428713978509302,27.048684564227205
ML,1986-07,NEX-GDDP-CMIP6,CNRM-CM6-1,26.224746394244516,20.341982205197997,32.10751077500117
ArL,1986-08,NEX-GDDP-CMIP6,CNRM-CM6-1,28.265046813340263,22.14238424252355,34.38770883331388
MH,1986-08,NEX-GDDP-CMIP6,CNRM-CM6-1,21.510794440274406,15.710280762710946,27.311305935057966
ML,1986-08,NEX-GDDP-CMIP6,CNRM-CM6-1,26.266492421475565,20.545962745103655,31.9870243894523
ArL,1986-09,NEX-GDDP-CMIP6,CNRM-CM6-1,27.895550623422615,21.305659902116147,34.48544094135574
MH,1986-09,NEX-GDDP-CMIP6,CNRM-CM6-1,21.228431702073586,14.683273326178252,27.773595882179137
ML,1986-09,NEX-GDDP-CMIP6,CNRM-CM6-1,27.07533793146373,20.757321512516295,33.39335229064185
ArL,1986-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.45105262309603,21.68388917238759,33.21821709524984
MH,1986-10,NEX-GDDP-CMIP6,CNRM-CM6-1,20.431427066444382,13.862267446298347,27.00058017132311
ML,1986-10,NEX-GDDP-CMIP6,CNRM-CM6-1,27.4108923054508,21.11424403166234,33.70754597833161
ArL,1986-11,NEX-GDDP-CMIP6,CNRM-CM6-1,24.80242384172694,19.352231309466802,30.252613821457984
MH,1986-11,NEX-GDDP-CMIP6,CNRM-CM6-1,18.637339989004108,12.462064110428583,24.812617603881833
ML,1986-11,NEX-GDDP-CMIP6,CNRM-CM6-1,25.595409295783615,19.14686345726668,32.04395401079001
ArL,1986-12,NEX-GDDP-CMIP6,CNRM-CM6-1,23.73511307907757,17.851485942777707,29.618743095376274
MH,1986-12,NEX-GDDP-CMIP6,CNRM-CM6-1,18.22663942480181,11.895297189121898,24.557990110485733
ML,1986-12,NEX-GDDP-CMIP6,CNRM-CM6-1,24.85919728470687,18.142142564036558,31.57624917876732
ArL,1987-01,NEX-GDDP-CMIP6,CNRM-CM6-1,23.051375407207576,15.861888548486158,30.240861398459437
MH,1987-01,NEX-GDDP-CMIP6,CNRM-CM6-1,18.12937853081188,10.179704803491624,26.079055424816623
ML,1987-01,NEX-GDDP-CMIP6,CNRM-CM6-1,24.335426721788856,15.795622397200585,32.87522531736501
ArL,1987-02,NEX-GDDP-CMIP6,CNRM-CM6-1,23.161770174027605,15.917028555292672,30.406509444088762
MH,1987-02,NEX-GDDP-CMIP6,CNRM-CM6-1,18.608717022495096,10.454492476883724,26.762943883176057
ML,1987-02,NEX-GDDP-CMIP6,CNRM-CM6-1,24.89205515313273,16.41086785126292,33.37323974431043
ArL,1987-03,NEX-GDDP-CMIP6,CNRM-CM6-1,27.563450656823658,19.469347937206066,35.65755997137837
MH,1987-03,NEX-GDDP-CMIP6,CNRM-CM6-1,22.640339897525788,13.842741223306612,31.437938761911397
ML,1987-03,NEX-GDDP-CMIP6,CNRM-CM6-1,30.86419121774992,22.233143574482714,39.49524164304324
ArL,1987-04,NEX-GDDP-CMIP6,CNRM-CM6-1,26.217005485374195,19.90582148653328,32.528193483249666
MH,1987-04,NEX-GDDP-CMIP6,CNRM-CM6-1,19.9254919555962,13.728006266694987,26.122971699729415
ML,1987-04,NEX-GDDP-CMIP6,CNRM-CM6-1,27.367460718147967,20.6948925611832,34.04004007009283
ArL,1987-05,NEX-GDDP-CMIP6,CNRM-CM6-1,28.48024215307882,22.165138521351718,34.79534696456451
MH,1987-05,NEX-GDDP-CMIP6,CNRM-CM6-1,21.662842059800788,15.040728513376102,28.2849586902289
ML,1987-05,NEX-GDDP-CMIP6,CNRM-CM6-1,28.643217848338224,21.474289165577662,35.81214582221715
ArL,1987-06,NEX-GDDP-CMIP6,CNRM-CM6-1,29.281703514372396,22.31182520108987,36.25158269295577
MH,1987-06,NEX-GDDP-CMIP6,CNRM-CM6-1,22.2838401726222,15.25455615452656,29.31312244614754
ML,1987-06,NEX-GDDP-CMIP6,CNRM-CM6-1,27.830460738299834,20.941300434923438,34.719617443767426
ArL,1987-07,NEX-GDDP-CMIP6,CNRM-CM6-1,29.445105572950457,23.262213382428193,35.62799778949682
MH,1987-07,NEX-GDDP-CMIP6,CNRM-CM6-1,22.504814863553797,16.51083034038934,28.49879314429844
ML,1987-07,NEX-GDDP-CMIP6,CNRM-CM6-1,27.46970487250476,21.709356399658766,33.23005566370585
