AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,CNRM-ESM2-1,23.541425742040396,16.48025482680869,30.60260143052319
MH,1981-01,NEX-GDDP-CMIP6,CNRM-ESM2-1,18.599930597520814,10.891556053192653,26.30830233896114
ML,1981-01,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.78591826656948,16.389665138573452,33.18217247795068
ArL,1981-02,NEX-GDDP-CMIP6,CNRM-ESM2-1,22.69792925350501,15.975321488545815,29.420538408584132
MH,1981-02,NEX-GDDP-CMIP6,CNRM-ESM2-1,17.139979904203773,9.966323003404632,24.313632910725126
ML,1981-02,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.023727989893423,16.024397174174833,32.023052216133486
ArL,1981-03,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.607232308184475,17.911188442453618,35.30327959174526
MH,1981-03,NEX-GDDP-CMIP6,CNRM-ESM2-1,21.358763381763733,12.515366586970975,30.202163979885118
ML,1981-03,NEX-GDDP-CMIP6,CNRM-ESM2-1,28.995394333476508,19.024743260006755,38.96604282554703
ArL,1981-04,NEX-GDDP-CMIP6,CNRM-ESM2-1,27.936608236116623,20.8999989941691,34.97321838023244
MH,1981-04,NEX-GDDP-CMIP6,CNRM-ESM2-1,22.31021838150709,15.16398925946615,29.456447768127422
ML,1981-04,NEX-GDDP-CMIP6,CNRM-ESM2-1,29.184402026670373,21.703783288012485,36.665020569159765
ArL,1981-05,NEX-GDDP-CMIP6,CNRM-ESM2-1,29.646780649676412,22.376953074253056,36.916609877629206
MH,1981-05,NEX-GDDP-CMIP6,CNRM-ESM2-1,23.223266616445112,16.043498047668763,30.40303489583778
ML,1981-05,NEX-GDDP-CMIP6,CNRM-ESM2-1,30.50546235669001,23.020265004929207,37.99065483990513
ArL,1981-06,NEX-GDDP-CMIP6,CNRM-ESM2-1,29.672135476377495,22.755314150013824,36.58895547117545
MH,1981-06,NEX-GDDP-CMIP6,CNRM-ESM2-1,22.829171930693988,15.977215017247957,29.681128852408133
ML,1981-06,NEX-GDDP-CMIP6,CNRM-ESM2-1,28.509577740153087,21.710993769153205,35.30816763187519
ArL,1981-07,NEX-GDDP-CMIP6,CNRM-ESM2-1,29.97052659408284,23.32153081888502,36.61952504108686
MH,1981-07,NEX-GDDP-CMIP6,CNRM-ESM2-1,23.078252153543907,16.913639129994223,29.242863449059513
ML,1981-07,NEX-GDDP-CMIP6,CNRM-ESM2-1,27.524761343176504,21.258242461244265,33.79128371155812
ArL,1981-08,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.801171955240957,20.954463480764552,32.64787514682792
MH,1981-08,NEX-GDDP-CMIP6,CNRM-ESM2-1,20.335151714117245,14.787079045934714,25.88321765206173
ML,1981-08,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.430830021057822,18.805438682717792,30.05622349941794
ArL,1981-09,NEX-GDDP-CMIP6,CNRM-ESM2-1,27.61841482755609,20.33132666652349,34.9055042225641
MH,1981-09,NEX-GDDP-CMIP6,CNRM-ESM2-1,20.998512632276494,13.857036025657878,28.13999065274118
ML,1981-09,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.450818905436826,19.35022930315242,33.551412631718264
ArL,1981-10,NEX-GDDP-CMIP6,CNRM-ESM2-1,27.12440806394821,20.870373009903467,33.378447704738086
MH,1981-10,NEX-GDDP-CMIP6,CNRM-ESM2-1,20.091561835905775,13.468206568831407,26.71491931056437
ML,1981-10,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.95680031954069,20.015493411056507,33.89810768723753
ArL,1981-11,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.217814730350927,18.704584282402852,33.731041630348635
MH,1981-11,NEX-GDDP-CMIP6,CNRM-ESM2-1,19.545976552909025,11.660126970984132,27.431820107384866
ML,1981-11,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.86913770922266,18.34706484653205,35.39120570336756
ArL,1981-12,NEX-GDDP-CMIP6,CNRM-ESM2-1,23.505398470220975,16.530670182497566,30.480124309511623
MH,1981-12,NEX-GDDP-CMIP6,CNRM-ESM2-1,17.891027125935054,9.911302530252032,25.870752275581154
ML,1981-12,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.809659591463067,16.340827744611456,33.27848955242196
ArL,1982-01,NEX-GDDP-CMIP6,CNRM-ESM2-1,22.969569731815902,15.897413540266013,30.041724012764192
MH,1982-01,NEX-GDDP-CMIP6,CNRM-ESM2-1,18.124322658591556,10.339141703491734,25.909503845198348
ML,1982-01,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.601723420593867,16.049809979591362,33.15363804752416
ArL,1982-02,NEX-GDDP-CMIP6,CNRM-ESM2-1,23.573808590019894,16.494419407153305,30.65319436589991
MH,1982-02,NEX-GDDP-CMIP6,CNRM-ESM2-1,18.66282226595575,11.03772528107593,26.28791409153762
ML,1982-02,NEX-GDDP-CMIP6,CNRM-ESM2-1,25.300310035410227,16.89820454543836,33.702416296681
ArL,1982-03,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.211766828197614,16.5178789994336,31.90565596467195
MH,1982-03,NEX-GDDP-CMIP6,CNRM-ESM2-1,18.85163314104148,10.677715910666384,27.025556126018124
ML,1982-03,NEX-GDDP-CMIP6,CNRM-ESM2-1,25.34184162371173,16.101545339713944,34.582138313421666
ArL,1982-04,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.20675159213624,18.49396626275668,33.919538775731944
MH,1982-04,NEX-GDDP-CMIP6,CNRM-ESM2-1,20.089448375800117,12.763283487349426,27.41561576121872
ML,1982-04,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.997845383192026,18.909785050140698,35.08590596591236
ArL,1982-05,NEX-GDDP-CMIP6,CNRM-ESM2-1,27.802322937671008,20.692147261124585,34.912497295663755
MH,1982-05,NEX-GDDP-CMIP6,CNRM-ESM2-1,20.949193257776543,14.316675829932635,27.581715588607135
ML,1982-05,NEX-GDDP-CMIP6,CNRM-ESM2-1,28.532169504214433,21.377746024734375,35.686591276136795
ArL,1982-06,NEX-GDDP-CMIP6,CNRM-ESM2-1,28.979199884099145,21.21215377599427,36.746249258226825
MH,1982-06,NEX-GDDP-CMIP6,CNRM-ESM2-1,21.885586985234387,14.121946735738668,29.649228359192474
ML,1982-06,NEX-GDDP-CMIP6,CNRM-ESM2-1,28.222788815327707,20.51264981478128,35.932931391491024
ArL,1982-07,NEX-GDDP-CMIP6,CNRM-ESM2-1,28.455857007675657,22.363387731017568,34.54833098384995
MH,1982-07,NEX-GDDP-CMIP6,CNRM-ESM2-1,21.50309184820343,15.765210964685561,27.240978221743482
ML,1982-07,NEX-GDDP-CMIP6,CNRM-ESM2-1,25.578540948571067,20.036489272971004,31.12058664549001
ArL,1982-08,NEX-GDDP-CMIP6,CNRM-ESM2-1,27.739838469712982,21.62123392787153,33.85844149131409
MH,1982-08,NEX-GDDP-CMIP6,CNRM-ESM2-1,21.099997676662326,15.289385144634988,26.910611779629747
ML,1982-08,NEX-GDDP-CMIP6,CNRM-ESM2-1,25.20772134851941,19.409058308235682,31.006390741987783
ArL,1982-09,NEX-GDDP-CMIP6,CNRM-ESM2-1,27.230955941708288,20.281522213240272,34.18039122511544
MH,1982-09,NEX-GDDP-CMIP6,CNRM-ESM2-1,20.60408015306714,13.813414641002847,27.39473689267128
ML,1982-09,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.151178179142534,19.447420089866604,32.85493524745055
ArL,1982-10,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.50891908013464,20.76594359683613,32.25189702921529
MH,1982-10,NEX-GDDP-CMIP6,CNRM-ESM2-1,19.794171319515605,13.606647399885835,25.98168845929872
ML,1982-10,NEX-GDDP-CMIP6,CNRM-ESM2-1,26.259861422107573,19.97224988247725,32.54747157072484
ArL,1982-11,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.849636293880806,17.895141474911966,31.80412522273148
MH,1982-11,NEX-GDDP-CMIP6,CNRM-ESM2-1,18.09991540901065,10.628415329570684,25.571417538940814
ML,1982-11,NEX-GDDP-CMIP6,CNRM-ESM2-1,25.279887739004604,17.139119495868357,33.42065813107769
ArL,1982-12,NEX-GDDP-CMIP6,CNRM-ESM2-1,24.60215090371589,17.36549980679721,31.8388033170196
