AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,CanESM5,20.844152071260496,14.000133888717418,27.68816801356348
MH,1981-01,NEX-GDDP-CMIP6,CanESM5,16.10158014248396,8.657379471193153,23.54578509665353
ML,1981-01,NEX-GDDP-CMIP6,CanESM5,22.3585374005961,14.150969678768746,30.566107949033306
ArL,1981-02,NEX-GDDP-CMIP6,CanESM5,23.96091333793743,16.274144118126344,31.647682152206503
MH,1981-02,NEX-GDDP-CMIP6,CanESM5,18.921157219286595,10.762511204936862,27.079804548265134
ML,1981-02,NEX-GDDP-CMIP6,CanESM5,25.773036090190462,16.709008410100637,34.837064684247196
ArL,1981-03,NEX-GDDP-CMIP6,CanESM5,26.711150525794114,18.444949528193753,34.97735404339349
MH,1981-03,NEX-GDDP-CMIP6,CanESM5,21.146101989994165,12.741099217202235,29.551108723208717
ML,1981-03,NEX-GDDP-CMIP6,CanESM5,28.074056647936768,18.510958351820758,37.63715093597349
ArL,1981-04,NEX-GDDP-CMIP6,CanESM5,27.32182826551273,19.895272497510035,34.74838582917739
MH,1981-04,NEX-GDDP-CMIP6,CanESM5,21.454135501420293,14.506391401143643,28.401885901993484
ML,1981-04,NEX-GDDP-CMIP6,CanESM5,28.80878718998245,20.56586854766113,37.051707829655854
ArL,1981-05,NEX-GDDP-CMIP6,CanESM5,29.277328089138823,21.70624329836415,36.848414998707824
MH,1981-05,NEX-GDDP-CMIP6,CanESM5,22.257479682287816,14.458565089438439,30.05639408497076
ML,1981-05,NEX-GDDP-CMIP6,CanESM5,29.850923811004854,21.74997564835478,37.951866904482365
ArL,1981-06,NEX-GDDP-CMIP6,CanESM5,29.886748995626448,23.04311759389215,36.73037733519329
MH,1981-06,NEX-GDDP-CMIP6,CanESM5,23.198172965265513,16.243426432644466,30.152913205858134
ML,1981-06,NEX-GDDP-CMIP6,CanESM5,28.769118890421026,21.989061800035113,35.54917437579184
ArL,1981-07,NEX-GDDP-CMIP6,CanESM5,28.99441399414342,22.772140797001878,35.21668719128496
