AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,EC-Earth3,20.709073059880126,14.818104687246715,26.600038901671155
MH,1981-01,NEX-GDDP-CMIP6,EC-Earth3,16.574190802149154,10.822566111111723,22.325809440933213
ML,1981-01,NEX-GDDP-CMIP6,EC-Earth3,22.349123015309726,14.846053508705626,29.852193105960986
ArL,1981-02,NEX-GDDP-CMIP6,EC-Earth3,23.643394365251034,16.30026903656685,30.986522270319753
MH,1981-02,NEX-GDDP-CMIP6,EC-Earth3,18.43824893162848,10.968292449645274,25.90820440490279
ML,1981-02,NEX-GDDP-CMIP6,EC-Earth3,25.540995446393957,16.280487867512807,34.80149967257696
ArL,1981-03,NEX-GDDP-CMIP6,EC-Earth3,25.469425731873653,17.543559127209086,33.39529773003005
MH,1981-03,NEX-GDDP-CMIP6,EC-Earth3,19.84534134411356,11.218654518261825,28.472036570360686
ML,1981-03,NEX-GDDP-CMIP6,EC-Earth3,26.99227298934415,17.956785210107203,36.02775411668534
ArL,1981-04,NEX-GDDP-CMIP6,EC-Earth3,27.388648092455345,20.940065379790674,33.83722817451865
MH,1981-04,NEX-GDDP-CMIP6,EC-Earth3,21.232723096973135,14.339178347736176,28.126271426299855
ML,1981-04,NEX-GDDP-CMIP6,EC-Earth3,28.667123063103517,21.70234169023069,35.63190212207961
ArL,1981-05,NEX-GDDP-CMIP6,EC-Earth3,29.569958742888844,22.64815921056944,36.49175772219645
MH,1981-05,NEX-GDDP-CMIP6,EC-Earth3,22.413706052041736,15.801581758071817,29.025834364311027
ML,1981-05,NEX-GDDP-CMIP6,EC-Earth3,30.291530638667624,22.859270397601495,37.7237931000046
ArL,1981-06,NEX-GDDP-CMIP6,EC-Earth3,30.4895813343944,23.19599717114718,37.78316792872497
MH,1981-06,NEX-GDDP-CMIP6,EC-Earth3,23.72659676137642,16.228742541507245,31.224450402478183
ML,1981-06,NEX-GDDP-CMIP6,EC-Earth3,30.057466097623458,22.74863497035361,37.36629561987825
ArL,1981-07,NEX-GDDP-CMIP6,EC-Earth3,28.77709983838696,22.48995497737712,35.064242509036276
MH,1981-07,NEX-GDDP-CMIP6,EC-Earth3,22.668767067023808,16.394067275327153,28.943469860042825
ML,1981-07,NEX-GDDP-CMIP6,EC-Earth3,27.00187813958783,20.82386608360633,33.179892821552315
ArL,1981-08,NEX-GDDP-CMIP6,EC-Earth3,28.897247445874765,22.61361929984038,35.18087677166774
MH,1981-08,NEX-GDDP-CMIP6,EC-Earth3,22.06125215929851,15.754061275328208,28.368444961469336
ML,1981-08,NEX-GDDP-CMIP6,EC-Earth3,26.472316374684727,20.36301130875784,32.5816191623819
ArL,1981-09,NEX-GDDP-CMIP6,EC-Earth3,27.960502369909438,21.179243660515322,34.74176157376117
MH,1981-09,NEX-GDDP-CMIP6,EC-Earth3,21.23773232880923,14.031535363746404,28.44392598662978
ML,1981-09,NEX-GDDP-CMIP6,EC-Earth3,26.8006687250688,20.045819559926297,33.5555181755473
ArL,1981-10,NEX-GDDP-CMIP6,EC-Earth3,27.391098891231685,21.102434351554052,33.67976272825901
MH,1981-10,NEX-GDDP-CMIP6,EC-Earth3,20.595999708565834,14.022016533433334,27.169983354980356
ML,1981-10,NEX-GDDP-CMIP6,EC-Earth3,27.90464964393635,21.45716760048823,34.3521349330816
ArL,1981-11,NEX-GDDP-CMIP6,EC-Earth3,25.514275114613554,20.080364382571986,30.94818551267938
MH,1981-11,NEX-GDDP-CMIP6,EC-Earth3,18.74318941912658,13.12332984926386,24.363043978517243
ML,1981-11,NEX-GDDP-CMIP6,EC-Earth3,25.799768538994055,19.52657691838536,32.07296059652349
ArL,1981-12,NEX-GDDP-CMIP6,EC-Earth3,25.11416135335796,18.85482516047495,31.373503499250663
MH,1981-12,NEX-GDDP-CMIP6,EC-Earth3,19.12911572080422,11.830533695970269,26.427698498035788
ML,1981-12,NEX-GDDP-CMIP6,EC-Earth3,26.681673420807858,19.11362437101246,34.24972421382799
ArL,1982-01,NEX-GDDP-CMIP6,EC-Earth3,22.10251752453275,15.845095893291692,28.359938555051155
MH,1982-01,NEX-GDDP-CMIP6,EC-Earth3,17.207078434425615,10.619913195142665,23.79424322723085
ML,1982-01,NEX-GDDP-CMIP6,EC-Earth3,23.393107534761086,16.12897958135503,30.657239803874315
ArL,1982-02,NEX-GDDP-CMIP6,EC-Earth3,24.3569534601035,17.279691165058797,31.434219272737163
MH,1982-02,NEX-GDDP-CMIP6,EC-Earth3,19.074825156022488,11.195904420301307,26.953742749863512
ML,1982-02,NEX-GDDP-CMIP6,EC-Earth3,25.880333077184844,17.87468723160584,33.88597561019108
ArL,1982-03,NEX-GDDP-CMIP6,EC-Earth3,24.45328133232287,17.656125378459627,31.25043639486118
MH,1982-03,NEX-GDDP-CMIP6,EC-Earth3,19.59252161415122,12.380554825941188,26.804480597269464
ML,1982-03,NEX-GDDP-CMIP6,EC-Earth3,26.084822540617612,18.497440928312205,33.672207015199874
ArL,1982-04,NEX-GDDP-CMIP6,EC-Earth3,26.712899019068935,19.163931179426175,34.261864414616305
MH,1982-04,NEX-GDDP-CMIP6,EC-Earth3,20.89708875533659,13.004200154699594,28.789967533464026
ML,1982-04,NEX-GDDP-CMIP6,EC-Earth3,27.9501861906644,19.502554831773047,36.3978155299118
ArL,1982-05,NEX-GDDP-CMIP6,EC-Earth3,28.769596970792943,21.993127489117093,35.54606685584212
MH,1982-05,NEX-GDDP-CMIP6,EC-Earth3,22.083340403666146,15.637073417008349,28.529606166644303
ML,1982-05,NEX-GDDP-CMIP6,EC-Earth3,28.93663012641814,20.85081031860622,37.022456849169984
ArL,1982-06,NEX-GDDP-CMIP6,EC-Earth3,29.99708549234936,23.588864185187973,36.405306983848035
MH,1982-06,NEX-GDDP-CMIP6,EC-Earth3,22.653267651281233,15.74714448402261,29.55939828463929
ML,1982-06,NEX-GDDP-CMIP6,EC-Earth3,28.887193758667102,22.61237107716486,35.16201471031978
ArL,1982-07,NEX-GDDP-CMIP6,EC-Earth3,28.37053133827371,22.30169775454819,34.43936304609638
MH,1982-07,NEX-GDDP-CMIP6,EC-Earth3,21.903623378260708,15.910373401874416,27.896867236248777
ML,1982-07,NEX-GDDP-CMIP6,EC-Earth3,26.771499243681255,20.785082347973002,32.757911422428585
ArL,1982-08,NEX-GDDP-CMIP6,EC-Earth3,27.418594218520322,21.742410237115536,33.094779078238
MH,1982-08,NEX-GDDP-CMIP6,EC-Earth3,20.649298125468334,15.394439918850882,25.904160755522323
ML,1982-08,NEX-GDDP-CMIP6,EC-Earth3,24.734038936595507,19.49702299576422,29.971057338449906
ArL,1982-09,NEX-GDDP-CMIP6,EC-Earth3,27.227815350678398,19.849567169571166,34.60606740286841
MH,1982-09,NEX-GDDP-CMIP6,EC-Earth3,20.606124557954026,13.188910958851581,28.023337016057877
ML,1982-09,NEX-GDDP-CMIP6,EC-Earth3,25.463120864411216,17.91623349242008,33.01000850390486
ArL,1982-10,NEX-GDDP-CMIP6,EC-Earth3,27.223359840657665,20.967448812184404,33.479274226238005
MH,1982-10,NEX-GDDP-CMIP6,EC-Earth3,20.13371483806157,13.671289203057823,26.596139009610614
ML,1982-10,NEX-GDDP-CMIP6,EC-Earth3,27.33572899516787,20.409034652096956,34.26242314207026
ArL,1982-11,NEX-GDDP-CMIP6,EC-Earth3,26.526249831016955,20.002935073618353,33.04956520431893
MH,1982-11,NEX-GDDP-CMIP6,EC-Earth3,19.839348000996964,12.710183736490603,26.96851744133749
ML,1982-11,NEX-GDDP-CMIP6,EC-Earth3,27.265456424375998,19.675291591112092,34.85561973733397
