AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.643089709951525,15.443565515254715,29.84261493693708
MH,1981-01,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,17.757339116222877,9.930339884958261,25.584338661675492
ML,1981-01,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,24.19981812504283,15.645063945583592,32.75457126570065
ArL,1981-02,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.194743805625638,15.207763278477584,29.181727960965006
MH,1981-02,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,17.197225589178625,9.488594708769563,24.905857246789623
ML,1981-02,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,23.612680867364435,15.379229731869778,31.84613204744284
ArL,1981-03,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,24.51571396247038,16.59973109528857,32.43169699230272
MH,1981-03,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,19.35677831707143,11.23339417777197,27.480161017720498
ML,1981-03,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,26.30088763574863,17.12208870775603,35.47968185123867
ArL,1981-04,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,26.701779712202086,18.274836792547394,35.128721501977715
MH,1981-04,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,20.83119454085426,12.363542909087375,29.298840914105927
ML,1981-04,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,28.861519135167978,19.569460076498615,38.15358345026169
ArL,1981-05,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,29.01709117444828,22.142992405894155,35.89118819288262
MH,1981-05,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.277843084053725,15.137896101793231,29.417797135544575
ML,1981-05,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,29.434786432237008,22.209940206055432,36.659632332957194
ArL,1981-06,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,29.16713884320025,21.72477500659627,36.60949914052854
MH,1981-06,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.057986431178698,14.426976130177316,29.688988786530512
ML,1981-06,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,27.581145950440014,20.143604763970078,35.018690748193855
ArL,1981-07,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,29.21030199962833,22.98974339505232,35.43086199649295
MH,1981-07,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.135327780120804,16.084538526594482,28.186109534475246
ML,1981-07,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,26.800347392135876,20.659163178136723,32.94152646562844
ArL,1981-08,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,29.472952433592106,22.896045161296623,36.049853828781515
MH,1981-08,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.562932221839777,16.279380695401954,28.84648778311319
ML,1981-08,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,26.836713738786322,20.192120477245908,33.481302635577435
ArL,1981-09,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,28.388777035295206,21.71550201971198,35.062050832083735
MH,1981-09,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,21.56185642553522,14.923566735452923,28.200141518550744
ML,1981-09,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,27.183833463458473,20.21158615346373,34.156079070353904
ArL,1981-10,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,27.614829942487486,21.601847744801315,33.627811654390705
MH,1981-10,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,20.84177636017617,14.48261877828356,27.200923334089186
ML,1981-10,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,28.196525262758826,21.418302352381442,34.974740705357796
ArL,1981-11,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,26.26011036736781,19.98003494496914,32.540185462296755
MH,1981-11,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,19.438262516126148,12.827856747925194,26.04867843756088
ML,1981-11,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,27.2203643865704,20.02946485320178,34.41126512370031
ArL,1981-12,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,24.664442713196962,18.341348056240225,30.98753683665994
MH,1981-12,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,18.562604093797123,11.690321646509274,25.434882613734768
ML,1981-12,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,25.59804042373114,18.33587552858499,32.8602052430849
ArL,1982-01,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.875535503255186,16.492104399888767,29.258966103489275
MH,1982-01,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,18.100909384141254,11.397392864532206,24.804422166566507
ML,1982-01,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,24.138785590317433,16.727485365829324,31.55008458429399
ArL,1982-02,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,22.046827019392758,15.81710145005862,28.276552196196924
MH,1982-02,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,17.29670450173884,11.265698055328338,23.327706284937737
ML,1982-02,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,24.42694300894674,17.15896766500984,31.69492209791879
ArL,1982-03,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,23.252034646750474,16.528309166817742,29.975756047407696
MH,1982-03,NEX-GDDP-CMIP6,EC-Earth3-Veg-LR,18.56592683877382,12.09178063478682,25.040068404353526
