AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,FGOALS-g3,22.58724322511502,15.281725745447819,29.892757080928277
MH,1981-01,NEX-GDDP-CMIP6,FGOALS-g3,17.69158354960496,9.927051700663377,25.456116374183008
ML,1981-01,NEX-GDDP-CMIP6,FGOALS-g3,24.60260748518395,16.170005095031183,33.03520882316018
ArL,1981-02,NEX-GDDP-CMIP6,FGOALS-g3,24.64200936556541,17.751364242440964,31.532655150135408
MH,1981-02,NEX-GDDP-CMIP6,FGOALS-g3,19.494560527362296,12.193598710201995,26.79552561869245
ML,1981-02,NEX-GDDP-CMIP6,FGOALS-g3,25.953648511330716,18.46303811250944,33.4442632927348
ArL,1981-03,NEX-GDDP-CMIP6,FGOALS-g3,24.250214747721135,16.882904973553302,31.617523869118177
MH,1981-03,NEX-GDDP-CMIP6,FGOALS-g3,19.116686451141224,11.819198131328761,26.41417138103032
ML,1981-03,NEX-GDDP-CMIP6,FGOALS-g3,25.883159700425747,17.56873565740706,34.1975868197233
ArL,1981-04,NEX-GDDP-CMIP6,FGOALS-g3,26.65973483026538,19.823433619808807,33.49603301325328
MH,1981-04,NEX-GDDP-CMIP6,FGOALS-g3,20.750890084728933,14.137175007223043,27.364608767128896
ML,1981-04,NEX-GDDP-CMIP6,FGOALS-g3,27.48804702925981,19.972456327540076,35.00363643359236
ArL,1981-05,NEX-GDDP-CMIP6,FGOALS-g3,29.118247377743714,22.290731402077835,35.94576162497656
MH,1981-05,NEX-GDDP-CMIP6,FGOALS-g3,22.349901411107705,15.620141601562523,29.079659906024077
ML,1981-05,NEX-GDDP-CMIP6,FGOALS-g3,29.60144441101657,22.570850790844453,36.6320279864694
ArL,1981-06,NEX-GDDP-CMIP6,FGOALS-g3,30.308483749658567,22.808434414497658,37.80852862602613
MH,1981-06,NEX-GDDP-CMIP6,FGOALS-g3,23.38330809686995,16.009688639014268,30.756919782706273
ML,1981-06,NEX-GDDP-CMIP6,FGOALS-g3,29.776804884025204,22.309233451046353,37.24437374452157
ArL,1981-07,NEX-GDDP-CMIP6,FGOALS-g3,28.526079555422584,22.119795776159002,34.93236708432319
MH,1981-07,NEX-GDDP-CMIP6,FGOALS-g3,21.880632306359676,15.80789467174168,27.953360688967397
ML,1981-07,NEX-GDDP-CMIP6,FGOALS-g3,26.31678502463879,20.207285025173793,32.426285804319434
ArL,1981-08,NEX-GDDP-CMIP6,FGOALS-g3,28.407909971479015,21.959678943974534,34.856138281635175
MH,1981-08,NEX-GDDP-CMIP6,FGOALS-g3,21.806736376278476,15.690923812647135,27.922553454295542
ML,1981-08,NEX-GDDP-CMIP6,FGOALS-g3,26.671673414566133,20.361567343578823,32.98177652519235
ArL,1981-09,NEX-GDDP-CMIP6,FGOALS-g3,27.773159086955026,21.58277647919519,33.963541534233
MH,1981-09,NEX-GDDP-CMIP6,FGOALS-g3,20.994530803522316,14.752189682118482,27.2368705276163
ML,1981-09,NEX-GDDP-CMIP6,FGOALS-g3,26.204285867271697,20.06335147386752,32.345216319472215
ArL,1981-10,NEX-GDDP-CMIP6,FGOALS-g3,27.816370741435936,21.69169441166762,33.941046646144194
MH,1981-10,NEX-GDDP-CMIP6,FGOALS-g3,20.71085558622327,14.300494783288347,27.121216719882423
ML,1981-10,NEX-GDDP-CMIP6,FGOALS-g3,27.737197004364244,21.076990936479955,34.397405230102116
ArL,1981-11,NEX-GDDP-CMIP6,FGOALS-g3,25.950494645006508,20.296997121493213,31.60399474056694
MH,1981-11,NEX-GDDP-CMIP6,FGOALS-g3,19.63121475306545,13.685266452273613,25.57716326882803
ML,1981-11,NEX-GDDP-CMIP6,FGOALS-g3,27.005074709884628,20.797792538070983,33.21236154070036
ArL,1981-12,NEX-GDDP-CMIP6,FGOALS-g3,23.74134676718049,17.27385337486941,30.208838398528417
MH,1981-12,NEX-GDDP-CMIP6,FGOALS-g3,18.175025593094396,11.316192856806492,25.03386189293587
ML,1981-12,NEX-GDDP-CMIP6,FGOALS-g3,24.675692207330876,17.21592250737596,32.13546398043025
ArL,1982-01,NEX-GDDP-CMIP6,FGOALS-g3,21.82180393299237,15.404086191807393,28.239521585261727
MH,1982-01,NEX-GDDP-CMIP6,FGOALS-g3,17.423997470687276,10.466567640115976,24.381420637165387
ML,1982-01,NEX-GDDP-CMIP6,FGOALS-g3,23.558276585647917,15.976904007080636,31.139648428583282
ArL,1982-02,NEX-GDDP-CMIP6,FGOALS-g3,23.94513642667303,16.69637514280286,31.193901082830994
MH,1982-02,NEX-GDDP-CMIP6,FGOALS-g3,18.996040873810475,11.540553295680187,26.451531444995037
ML,1982-02,NEX-GDDP-CMIP6,FGOALS-g3,25.7566590068809,17.52688418960295,33.98643416299538
ArL,1982-03,NEX-GDDP-CMIP6,FGOALS-g3,25.671291745149542,18.109918071926852,33.23266344054171
MH,1982-03,NEX-GDDP-CMIP6,FGOALS-g3,20.73193697375164,13.052921596331785,28.410952938206982
ML,1982-03,NEX-GDDP-CMIP6,FGOALS-g3,27.876937765897527,19.386820182493807,36.36705199660312
ArL,1982-04,NEX-GDDP-CMIP6,FGOALS-g3,28.178790258046515,20.53488021599022,35.82270082058456
MH,1982-04,NEX-GDDP-CMIP6,FGOALS-g3,22.403630306933287,14.997028052558193,29.810234496045094
ML,1982-04,NEX-GDDP-CMIP6,FGOALS-g3,30.59893836724316,22.48723582343695,38.71064970742362
ArL,1982-05,NEX-GDDP-CMIP6,FGOALS-g3,28.941293514960886,21.705082513528374,36.177506901934585
MH,1982-05,NEX-GDDP-CMIP6,FGOALS-g3,22.383661748554907,15.283951758976679,29.483373044493813
ML,1982-05,NEX-GDDP-CMIP6,FGOALS-g3,29.632792874232475,22.23089119888207,37.03469453174938
ArL,1982-06,NEX-GDDP-CMIP6,FGOALS-g3,29.994931851767088,22.992679573393083,36.997180367492035
MH,1982-06,NEX-GDDP-CMIP6,FGOALS-g3,23.182781770758393,16.55248342807042,29.8130695550754
ML,1982-06,NEX-GDDP-CMIP6,FGOALS-g3,28.850670655545247,22.334474069554954,35.366865690020965
ArL,1982-07,NEX-GDDP-CMIP6,FGOALS-g3,28.942588939742667,22.74707856343647,35.13809546231548
MH,1982-07,NEX-GDDP-CMIP6,FGOALS-g3,22.228246570918945,16.28173527000593,28.174760988907806
ML,1982-07,NEX-GDDP-CMIP6,FGOALS-g3,26.93972313757621,21.05216826835284,32.8272784169701
ArL,1982-08,NEX-GDDP-CMIP6,FGOALS-g3,28.527430335603857,22.36242403525939,34.692437405827526
MH,1982-08,NEX-GDDP-CMIP6,FGOALS-g3,21.761900415164767,15.939340644036516,27.58447076946831
ML,1982-08,NEX-GDDP-CMIP6,FGOALS-g3,25.653914431118483,19.92134883147773,31.386485420934843
ArL,1982-09,NEX-GDDP-CMIP6,FGOALS-g3,28.063899550619563,21.883765715858782,34.24403361959715
MH,1982-09,NEX-GDDP-CMIP6,FGOALS-g3,21.362631656354267,15.21348479422606,27.511774078509728
