AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,GFDL-CM4,22.797349611231414,16.294085464347443,29.30061441088618
MH,1981-01,NEX-GDDP-CMIP6,GFDL-CM4,17.730564079605085,10.845160222990174,24.61596648103339
ML,1981-01,NEX-GDDP-CMIP6,GFDL-CM4,23.992803977370027,16.338054376662107,31.647552615068907
ArL,1981-02,NEX-GDDP-CMIP6,GFDL-CM4,24.018102457416276,16.799659398498044,31.236547192719392
MH,1981-02,NEX-GDDP-CMIP6,GFDL-CM4,19.065793771880745,11.654478060614633,26.47711503104577
ML,1981-02,NEX-GDDP-CMIP6,GFDL-CM4,25.591786607361986,17.201884087060325,33.981691530727865
ArL,1981-03,NEX-GDDP-CMIP6,GFDL-CM4,25.068556231162052,17.893020618172,32.24409185065814
MH,1981-03,NEX-GDDP-CMIP6,GFDL-CM4,19.87861847692765,13.009975831665628,26.74725990677813
ML,1981-03,NEX-GDDP-CMIP6,GFDL-CM4,26.75231560873588,18.642971942196656,34.86166517370546
ArL,1981-04,NEX-GDDP-CMIP6,GFDL-CM4,27.116226156385494,19.445423749931315,34.78702685826203
MH,1981-04,NEX-GDDP-CMIP6,GFDL-CM4,21.591108346844543,14.194040632183354,28.988176764294725
ML,1981-04,NEX-GDDP-CMIP6,GFDL-CM4,28.845060802429092,20.387795460981753,37.30232803422751
ArL,1981-05,NEX-GDDP-CMIP6,GFDL-CM4,29.55653223381456,22.69424576968075,36.41881993842982
MH,1981-05,NEX-GDDP-CMIP6,GFDL-CM4,23.074179722887507,15.995086023356036,30.153280574330427
ML,1981-05,NEX-GDDP-CMIP6,GFDL-CM4,29.657778500430886,22.48437841065704,36.83118234861501
ArL,1981-06,NEX-GDDP-CMIP6,GFDL-CM4,29.21970829055553,21.646609376492062,36.79280668413728
MH,1981-06,NEX-GDDP-CMIP6,GFDL-CM4,22.549595238192904,15.381842872787084,29.717347090976176
ML,1981-06,NEX-GDDP-CMIP6,GFDL-CM4,28.3168504869616,20.745807174560035,35.88789579225687
ArL,1981-07,NEX-GDDP-CMIP6,GFDL-CM4,28.420539809547442,22.45310969697,34.38797047079932
MH,1981-07,NEX-GDDP-CMIP6,GFDL-CM4,21.670918337176822,16.3758411292751,26.9659943462032
ML,1981-07,NEX-GDDP-CMIP6,GFDL-CM4,26.211528961426872,20.477800947458253,31.945258558118702
ArL,1981-08,NEX-GDDP-CMIP6,GFDL-CM4,28.614670089539537,22.47816461993594,34.751177905648206
MH,1981-08,NEX-GDDP-CMIP6,GFDL-CM4,22.24261656342341,16.45417635413053,28.03106267614375
ML,1981-08,NEX-GDDP-CMIP6,GFDL-CM4,26.279669184994777,20.3347948050656,32.22454269108242
