AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,GFDL-ESM4,22.939987060304006,15.716335501787423,30.163643131830817
MH,1981-01,NEX-GDDP-CMIP6,GFDL-ESM4,17.937534724390336,9.946041770073132,25.92903168873878
ML,1981-01,NEX-GDDP-CMIP6,GFDL-ESM4,23.83232453083629,15.363345615562528,32.30130695039294
ArL,1981-02,NEX-GDDP-CMIP6,GFDL-ESM4,22.878236376148138,15.978463077165674,29.77801231874398
MH,1981-02,NEX-GDDP-CMIP6,GFDL-ESM4,17.905182561096698,10.287714061256498,25.522649225417425
ML,1981-02,NEX-GDDP-CMIP6,GFDL-ESM4,24.163990898494603,15.994923390847589,32.33305381847353
ArL,1981-03,NEX-GDDP-CMIP6,GFDL-ESM4,24.851494931930723,17.306288516080965,32.396703262719484
MH,1981-03,NEX-GDDP-CMIP6,GFDL-ESM4,19.668140038692112,12.226344575884568,27.10992789484243
ML,1981-03,NEX-GDDP-CMIP6,GFDL-ESM4,26.29093301130789,18.006232318084056,34.57563376694899
ArL,1981-04,NEX-GDDP-CMIP6,GFDL-ESM4,27.120535788392417,20.307185132588916,33.93388337335377
MH,1981-04,NEX-GDDP-CMIP6,GFDL-ESM4,21.038575672283017,14.54876069694445,27.528392640235033
ML,1981-04,NEX-GDDP-CMIP6,GFDL-ESM4,28.626177153716238,21.413925373754534,35.83842606694271
ArL,1981-05,NEX-GDDP-CMIP6,GFDL-ESM4,29.55651317550894,22.40000373055274,36.713016890828904
MH,1981-05,NEX-GDDP-CMIP6,GFDL-ESM4,22.67164310278594,15.292174332214893,30.051108913375156
ML,1981-05,NEX-GDDP-CMIP6,GFDL-ESM4,30.363051273632987,23.028515179162504,37.69758351606729
ArL,1981-06,NEX-GDDP-CMIP6,GFDL-ESM4,29.511103888897154,22.453151548037567,36.56905921602061
MH,1981-06,NEX-GDDP-CMIP6,GFDL-ESM4,22.80348886279551,15.965736927000457,29.641236896044678
ML,1981-06,NEX-GDDP-CMIP6,GFDL-ESM4,29.076321217193524,22.248526061164657,35.90411293135675
ArL,1981-07,NEX-GDDP-CMIP6,GFDL-ESM4,29.46618867389448,23.09200256200187,35.840368500970335
MH,1981-07,NEX-GDDP-CMIP6,GFDL-ESM4,22.474685142267013,16.31847110025868,28.63089635658319
ML,1981-07,NEX-GDDP-CMIP6,GFDL-ESM4,27.588861917700555,21.678960842804138,33.498762560134594
ArL,1981-08,NEX-GDDP-CMIP6,GFDL-ESM4,28.049233136982206,21.871797715838245,34.22667163113699
MH,1981-08,NEX-GDDP-CMIP6,GFDL-ESM4,21.589625536500872,15.687896983173307,27.491355611159886
ML,1981-08,NEX-GDDP-CMIP6,GFDL-ESM4,25.699857991833706,19.839199238366884,31.560518020395843
ArL,1981-09,NEX-GDDP-CMIP6,GFDL-ESM4,28.336753673022162,21.506874517339973,35.16663627472706
MH,1981-09,NEX-GDDP-CMIP6,GFDL-ESM4,21.66003185469621,14.749223846460378,28.570833868555393
ML,1981-09,NEX-GDDP-CMIP6,GFDL-ESM4,26.8176946490938,20.021626066621707,33.61376166667619
ArL,1981-10,NEX-GDDP-CMIP6,GFDL-ESM4,26.67231067052412,21.280068726835115,32.064556734693426
MH,1981-10,NEX-GDDP-CMIP6,GFDL-ESM4,19.665022954576518,14.252608494744422,25.077432437008966
ML,1981-10,NEX-GDDP-CMIP6,GFDL-ESM4,26.337271303186665,20.33141052379847,32.34313012980652
ArL,1981-11,NEX-GDDP-CMIP6,GFDL-ESM4,25.955048187759008,19.48020481285283,32.429890198569346
MH,1981-11,NEX-GDDP-CMIP6,GFDL-ESM4,19.0520237131256,12.481224320917354,25.62282397348494
ML,1981-11,NEX-GDDP-CMIP6,GFDL-ESM4,26.406179308003136,19.133655168576546,33.67869975589507
ArL,1981-12,NEX-GDDP-CMIP6,GFDL-ESM4,24.04340599498133,17.804888741220537,30.28192389283825
MH,1981-12,NEX-GDDP-CMIP6,GFDL-ESM4,18.518474485221148,12.077270795542606,24.959676149213806
ML,1981-12,NEX-GDDP-CMIP6,GFDL-ESM4,25.157741758961006,18.033331000117013,32.28215625392339
ArL,1982-01,NEX-GDDP-CMIP6,GFDL-ESM4,24.490842600394696,17.36681510964331,31.61487022994121
MH,1982-01,NEX-GDDP-CMIP6,GFDL-ESM4,19.01007056762069,11.202115123648554,26.818024333167383
ML,1982-01,NEX-GDDP-CMIP6,GFDL-ESM4,26.044161209318236,18.006084781532508,34.082242162354795
ArL,1982-02,NEX-GDDP-CMIP6,GFDL-ESM4,23.720672461253283,17.06720306760823,30.374141635862255
MH,1982-02,NEX-GDDP-CMIP6,GFDL-ESM4,19.037309213461082,12.217664462213328,25.85695693295879
ML,1982-02,NEX-GDDP-CMIP6,GFDL-ESM4,25.29172773451769,17.59826123813718,32.985186789870035
ArL,1982-03,NEX-GDDP-CMIP6,GFDL-ESM4,23.9936808110639,16.571509628773025,31.415853225161523
MH,1982-03,NEX-GDDP-CMIP6,GFDL-ESM4,19.044743381480636,11.493876771557424,26.59560174810247
ML,1982-03,NEX-GDDP-CMIP6,GFDL-ESM4,25.418770459483735,16.91560875813924,33.92193480018636
ArL,1982-04,NEX-GDDP-CMIP6,GFDL-ESM4,28.96486774550846,21.85007952526933,36.07965322888123
MH,1982-04,NEX-GDDP-CMIP6,GFDL-ESM4,23.111832899467267,16.049188439124542,30.174480204038353
ML,1982-04,NEX-GDDP-CMIP6,GFDL-ESM4,31.49123808454651,23.824914020234626,39.15755826561363
ArL,1982-05,NEX-GDDP-CMIP6,GFDL-ESM4,28.741424069559134,21.607257202391352,35.8755972280497
MH,1982-05,NEX-GDDP-CMIP6,GFDL-ESM4,22.217641022133677,14.947486902659156,29.487794959709873
ML,1982-05,NEX-GDDP-CMIP6,GFDL-ESM4,28.631918100896264,21.294726201371635,35.96911192643897
ArL,1982-06,NEX-GDDP-CMIP6,GFDL-ESM4,30.276215438018685,23.069999563836333,37.48243253750178
MH,1982-06,NEX-GDDP-CMIP6,GFDL-ESM4,23.527337216542907,16.506940816767166,30.547725257263796
ML,1982-06,NEX-GDDP-CMIP6,GFDL-ESM4,29.554900530083003,22.577825606731395,36.53197492288797
ArL,1982-07,NEX-GDDP-CMIP6,GFDL-ESM4,27.920192993059985,22.418174044471918,33.42221095490145
MH,1982-07,NEX-GDDP-CMIP6,GFDL-ESM4,20.93404474043972,15.921892022376035,25.946198161292383
ML,1982-07,NEX-GDDP-CMIP6,GFDL-ESM4,25.5965558070872,20.775828067397825,30.417282454474673
ArL,1982-08,NEX-GDDP-CMIP6,GFDL-ESM4,28.25633135779871,22.127296245199783,34.385364815699525
MH,1982-08,NEX-GDDP-CMIP6,GFDL-ESM4,21.509300980610586,15.890984197930276,27.12761720932782
ML,1982-08,NEX-GDDP-CMIP6,GFDL-ESM4,25.78963973475166,19.99171254037507,31.587567936721054
ArL,1982-09,NEX-GDDP-CMIP6,GFDL-ESM4,28.426708179363292,21.42584852356341,35.42756486408003
MH,1982-09,NEX-GDDP-CMIP6,GFDL-ESM4,21.32485026625949,13.974516505983225,28.67518503524465
ML,1982-09,NEX-GDDP-CMIP6,GFDL-ESM4,27.283883709346778,20.118057948712305,34.449711164163816
ArL,1982-10,NEX-GDDP-CMIP6,GFDL-ESM4,27.58125872630978,21.020746983825806,34.141771943491925
MH,1982-10,NEX-GDDP-CMIP6,GFDL-ESM4,20.380028395651504,13.504616933371533,27.255438047216334
ML,1982-10,NEX-GDDP-CMIP6,GFDL-ESM4,27.968394877041593,20.912515372477642,35.02427040473489
ArL,1982-11,NEX-GDDP-CMIP6,GFDL-ESM4,26.64726782490273,20.13351956921049,33.161015757462614
MH,1982-11,NEX-GDDP-CMIP6,GFDL-ESM4,19.974955343961163,13.177839576723283,26.77207078874291
ML,1982-11,NEX-GDDP-CMIP6,GFDL-ESM4,27.407693581758792,20.061364166504994,34.75402882410892
ArL,1982-12,NEX-GDDP-CMIP6,GFDL-ESM4,23.781270558160443,17.25502711302048,30.307512290048102
MH,1982-12,NEX-GDDP-CMIP6,GFDL-ESM4,18.26332371995175,11.8802694853455,24.646370645552558
ML,1982-12,NEX-GDDP-CMIP6,GFDL-ESM4,24.82276420955508,17.273791080360635,32.371736255364354
ArL,1983-01,NEX-GDDP-CMIP6,GFDL-ESM4,23.538990965426297,16.32446387867282,30.753517199890968
