AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,GISS-E2-1-G,24.07789559681489,17.2407988387255,30.914992109844132
MH,1981-01,NEX-GDDP-CMIP6,GISS-E2-1-G,19.328242297961918,12.003231124443882,26.653253793936084
ML,1981-01,NEX-GDDP-CMIP6,GISS-E2-1-G,25.772654439899704,17.8364751711303,33.70883172023378
ArL,1981-02,NEX-GDDP-CMIP6,GISS-E2-1-G,25.721496889115464,18.335225213394057,33.10777087230586
MH,1981-02,NEX-GDDP-CMIP6,GISS-E2-1-G,20.355523144213784,12.986197214428916,27.724846816805787
ML,1981-02,NEX-GDDP-CMIP6,GISS-E2-1-G,27.5830688075309,18.977991587581066,36.18814521159809
ArL,1981-03,NEX-GDDP-CMIP6,GISS-E2-1-G,24.436236135060998,17.14687284000089,31.72559775373625
MH,1981-03,NEX-GDDP-CMIP6,GISS-E2-1-G,19.36526118681319,11.749874604255414,26.980648819420356
ML,1981-03,NEX-GDDP-CMIP6,GISS-E2-1-G,26.32924643294321,18.139382981383278,34.51912023239194
ArL,1981-04,NEX-GDDP-CMIP6,GISS-E2-1-G,27.429185589936203,19.618247859189314,35.24012042333486
MH,1981-04,NEX-GDDP-CMIP6,GISS-E2-1-G,21.735127015631903,13.725410924853133,29.74484083268161
ML,1981-04,NEX-GDDP-CMIP6,GISS-E2-1-G,28.80088253536743,20.11954130363606,37.48221708399439
ArL,1981-05,NEX-GDDP-CMIP6,GISS-E2-1-G,27.529195397546726,20.491723960282272,34.566667359630266
MH,1981-05,NEX-GDDP-CMIP6,GISS-E2-1-G,21.2931141760575,14.1463576480904,28.439879145760514
ML,1981-05,NEX-GDDP-CMIP6,GISS-E2-1-G,28.049283668401053,20.727496333432278,35.371076362336815
ArL,1981-06,NEX-GDDP-CMIP6,GISS-E2-1-G,28.37501875165514,21.273415517454612,35.47661781983326
MH,1981-06,NEX-GDDP-CMIP6,GISS-E2-1-G,20.95920113827345,13.479455731768388,28.438948231472065
ML,1981-06,NEX-GDDP-CMIP6,GISS-E2-1-G,27.39053963549041,20.1651194603797,34.61595939151385
ArL,1981-07,NEX-GDDP-CMIP6,GISS-E2-1-G,29.039577847600604,22.43627481335874,35.64288133943267
MH,1981-07,NEX-GDDP-CMIP6,GISS-E2-1-G,21.96959412232937,15.411928012447955,28.527258669538796
ML,1981-07,NEX-GDDP-CMIP6,GISS-E2-1-G,26.641426285938092,20.336942872520453,32.945916743588526
ArL,1981-08,NEX-GDDP-CMIP6,GISS-E2-1-G,28.16345448323175,21.731263123512832,34.59564327957821
MH,1981-08,NEX-GDDP-CMIP6,GISS-E2-1-G,20.947586169536148,14.46100011271084,27.434165198471607
ML,1981-08,NEX-GDDP-CMIP6,GISS-E2-1-G,25.43376006076946,18.92311145902292,31.944408408388618
ArL,1981-09,NEX-GDDP-CMIP6,GISS-E2-1-G,29.025602024288748,22.281486482170273,35.769719073635564
MH,1981-09,NEX-GDDP-CMIP6,GISS-E2-1-G,22.052019554268433,15.03269150950213,29.071338776965955
ML,1981-09,NEX-GDDP-CMIP6,GISS-E2-1-G,27.66049419483886,20.634983554837333,34.686003047031946
ArL,1981-10,NEX-GDDP-CMIP6,GISS-E2-1-G,28.575863139557548,22.26326193839331,34.88846499349262
MH,1981-10,NEX-GDDP-CMIP6,GISS-E2-1-G,21.467991895735114,14.991888606325483,27.944095524137072
