AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.020819354640164,15.666085377357593,28.375553377464882
MH,1981-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,17.306045162642263,10.396575735914348,24.215512811727454
ML,1981-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.430402427210804,15.811312257642749,31.049493782706673
ArL,1981-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.79679425073119,16.567033197555865,31.026557366315338
MH,1981-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,18.869750644184673,10.997841865665661,26.74165670249691
ML,1981-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.759769641996062,17.241862546866468,34.277664877847684
ArL,1981-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.297562757170038,14.337852325352724,32.25726721645961
MH,1981-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,17.89656088639652,9.081998415698687,26.711126432829676
ML,1981-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.809338191654522,14.97787879960569,34.64079709328208
ArL,1981-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.59637380386363,18.673931504813996,34.51881595544346
MH,1981-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.523916560658552,12.46286944045961,28.584962771365873
ML,1981-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.447328158170336,19.708238185662463,37.186417412879806
ArL,1981-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.879007868850834,20.600932774806743,35.15708330120807
MH,1981-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.40379557809804,14.49259408244402,28.31498539091872
ML,1981-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.475153171937805,21.112812714893703,35.83748860885143
ArL,1981-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,29.20983287861161,22.502486956207655,35.91717794872675
MH,1981-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.3819074714969,15.518169904743514,29.245639713590215
ML,1981-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.989654674766914,21.64795269182429,34.33135420560317
ArL,1981-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.393941996597732,21.936778808819316,32.85110500871358
MH,1981-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.572910750561466,15.52615589440534,25.6196659043694
ML,1981-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.76100412150038,19.85930401375036,29.66269961483208
ArL,1981-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.427374081505942,21.080404782796762,33.7743445491303
MH,1981-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.909039343020318,15.034626585227395,26.78345448202768
ML,1981-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.25508971231713,19.47756802856359,31.032613219546125
ArL,1981-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.931737596382817,21.128237879039098,34.73523755661801
MH,1981-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.129767255801188,14.463437442784738,27.79609833383783
ML,1981-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.598942607157962,19.921360516879083,33.2765155087256
ArL,1981-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.425281031501793,20.732010658875744,34.11854871497229
MH,1981-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.365184847393287,13.558934195866552,27.171423981448775
ML,1981-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.27600837746532,19.985323546070376,34.56668702509391
ArL,1981-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.12004206593978,20.00708635773696,32.23299776113055
MH,1981-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,19.248426743194518,12.795947631075299,25.700905706487827
ML,1981-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.415395255468486,19.528594052277853,33.30220147878957
ArL,1981-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.712855821254944,15.625650336703114,27.800062116890764
MH,1981-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,16.49575079559023,10.298555523901598,22.69295173093126
ML,1981-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.021901304413593,16.203463769638276,29.84033689087897
ArL,1982-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.244421508598236,16.02329640738189,30.465542385237963
MH,1982-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,18.26101593455791,10.045731081119008,26.476298257956465
ML,1982-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.68746390053617,15.766890598963114,33.608040938227646
ArL,1982-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.834477957790057,16.33195356940466,31.336999166899627
MH,1982-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,18.65284359667628,10.665399715616875,26.640278440696147
ML,1982-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.433027201973697,16.523344551794214,34.34271117183223
ArL,1982-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.298296031333845,17.209516208859068,31.387072156219755
MH,1982-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,19.162054754240177,11.649566888512096,26.674546811897837
ML,1982-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.36210683818455,18.277814862047197,34.44639827931689
ArL,1982-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.60639646008587,20.130404058893433,33.08238803067624
MH,1982-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.467351423463562,14.424233409351427,26.510465179501267
ML,1982-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.08256364687245,19.887080306393834,34.27804372827881
ArL,1982-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.710073681647582,21.986049030991445,35.43410054868837
MH,1982-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.239999393782515,15.974742663478333,28.50525889390211
ML,1982-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,29.107550133537273,21.821789791533533,36.39331316839964
ArL,1982-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,29.236167928534122,21.472314654811676,37.00002419719513
MH,1982-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.474399388266036,14.94775656692644,30.00103660382998
ML,1982-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.925826725426894,21.43264364795674,36.4190056967335
ArL,1982-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.4878297637714,23.062787929619507,33.912872970693854
MH,1982-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.6905974705153,16.276832068357287,27.10437038011329
ML,1982-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.2696028604222,20.858701018506924,31.680500828009468
ArL,1982-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.821044450405324,21.44097624665437,34.20111357150533
MH,1982-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.282899981519154,15.304116916372307,27.26168788350785
ML,1982-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.414378019211693,19.28054332970008,31.548214630283024
ArL,1982-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.805844584210767,21.16846104026046,34.443227050330165
MH,1982-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.83228520321287,13.971080074553205,27.693489463721434
ML,1982-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.296650672394332,19.67451681913123,32.91877985328024
ArL,1982-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.278097083529293,20.11813534839106,34.43805899866746
MH,1982-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.11173412867662,12.732863836668294,27.490608116528207
ML,1982-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.416329039858624,19.64769976820018,35.18495822234954
ArL,1982-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.66783725593227,19.605375973266135,31.73029827402018
MH,1982-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,19.089683586870965,12.466111869057576,25.713253303802773
ML,1982-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.395004252398273,19.396019495761355,33.393991750935925
ArL,1982-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.392562511849665,18.42427404901399,30.360850395649408
MH,1982-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,18.7531347762082,12.200074712256717,25.30619790762689
ML,1982-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.775413179920072,18.786304994949578,32.764515591294725
ArL,1983-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.8136554750548,16.387771106782886,29.23954254766296
MH,1983-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,17.78848499596784,10.544608702306943,25.032367250932932
ML,1983-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.86502356518789,15.959600152405125,31.77044881927961
ArL,1983-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.01000783897518,17.215214362477923,30.804802827038095
MH,1983-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,19.361211204063757,12.257891119763471,26.46453764653733
ML,1983-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.976867207651882,18.247693464057676,33.70604303330731
ArL,1983-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.47663096416533,18.581158427313845,32.372099838126736
MH,1983-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,20.392455929012318,13.418207316268164,27.366702094397187
ML,1983-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.125936089370125,19.59440864914088,34.65745797892225
ArL,1983-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.638148284703917,20.28758648020631,34.988708117877046
MH,1983-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.64325411540003,14.70880871744089,28.577690914529246
ML,1983-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.448704877676473,20.93619153375955,35.96121966164858
ArL,1983-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.252685006007756,20.743291946159598,35.76207885959056
MH,1983-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.394697991233983,14.66911393886208,28.120285904811244
ML,1983-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.231512326337388,21.00129046777989,35.46173490715169
ArL,1983-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.679605829044807,21.458020478856394,35.901193627666
MH,1983-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.80126396516127,14.385560444615095,29.216975522306182
ML,1983-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.52470451672642,20.75932384906156,34.290087672164645
ArL,1983-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.424700614144157,22.373453600234534,34.475947968535586
MH,1983-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.582110002053163,15.808953286922605,27.35527490260836
ML,1983-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.10745652549194,20.592089906167278,31.622820451958
ArL,1983-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.31203798269129,22.508582900992323,34.11549792872568
MH,1983-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.485559040690752,16.091066179505493,26.88004845407592
ML,1983-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.744700030709318,20.413142790700356,31.076253592558746
ArL,1983-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.7792541013786,20.733045625930647,34.825460885260995
MH,1983-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.01416799276061,14.042690567930254,27.985644078157833
ML,1983-09,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.903421611242557,20.00059995017323,33.80623976802899
ArL,1983-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.976848460463675,21.333487027825946,32.62020850515016
MH,1983-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,19.83341893413405,13.867292627310333,25.799547093013445
ML,1983-10,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.785283821947495,20.905533387523423,32.665031483262226
ArL,1983-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.206713143717923,19.37797774661328,33.03545234684515
MH,1983-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,19.27833245669368,12.283768794065722,26.27289524290242
ML,1983-11,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.74384332270934,18.865030266125792,34.62265489019559
ArL,1983-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.596894701968026,15.724351178332462,31.469444059336183
MH,1983-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,17.88828927502342,9.588608931564982,26.187973140694876
ML,1983-12,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.59833514462258,15.360490900099608,33.83618405706438
ArL,1984-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.389596371111246,15.921219749515767,28.857976087404307
MH,1984-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,17.63826523964016,10.716169034740359,24.560358765673712
ML,1984-01,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.802012947478218,16.64345997823602,30.96056383465922
ArL,1984-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,23.349594562090292,16.29125128090553,30.40793881917828
MH,1984-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,18.26884091939751,10.645418556645412,25.892259991443527
ML,1984-02,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,24.931914266693617,16.93203591346047,32.931793524976904
ArL,1984-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,25.02843703833274,18.392514994037384,31.66435511829233
MH,1984-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,19.877123347106483,13.67259744061783,26.081648939407113
ML,1984-03,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,26.262512113405396,19.086224088815143,33.43879629487625
ArL,1984-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.922365672429777,20.82638538874574,35.01834734189641
MH,1984-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,21.91661762412215,15.351489755552489,28.48174631950239
ML,1984-04,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.459515091065015,20.9706030656858,35.94842957300895
ArL,1984-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,29.40616697796102,22.92045159006473,35.89188500513335
MH,1984-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.581665566567672,15.922214122969644,29.241107741619214
ML,1984-05,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,29.66523104905213,22.461428135272126,36.86903647735576
ArL,1984-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,29.602104014819027,22.753166026537787,36.451043013702275
MH,1984-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.59898576801047,15.853858956435438,29.344111595680925
ML,1984-06,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.344565387778793,21.938490887259487,34.75064132389492
ArL,1984-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,29.354750089661668,22.701837418444008,36.007664747384574
MH,1984-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,22.313087050387047,16.079713607370575,28.546457086943988
ML,1984-07,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,27.52239963038289,21.093576863458182,33.951228041610584
ArL,1984-08,NEX-GDDP-CMIP6,HadGEM3-GC31-LL,28.346975613019918,21.861982426038875,34.831969294458595
