AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,21.69070278122184,14.791356565682596,28.5900471317016
MH,1981-01,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,16.56712945128356,8.724058486000072,24.41020066461021
ML,1981-01,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,22.29532258038631,14.17715248570469,30.41349240310704
ArL,1981-02,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,23.66391402738486,16.63124283036435,30.69659121211379
MH,1981-02,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,18.608524565798806,10.847888764014796,26.369173158342324
ML,1981-02,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,25.08714626805466,16.860291641937575,33.31399775101726
ArL,1981-03,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,25.140353711048547,17.61171953289128,32.66898974342196
MH,1981-03,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,19.839961461367214,11.952807569232512,27.727099280304426
ML,1981-03,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.774345220728836,18.373783603665455,35.1749028698383
ArL,1981-04,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.51034175402202,20.53649256859674,36.48419366547032
MH,1981-04,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,22.637949497219825,14.241155787581409,31.034749523691
ML,1981-04,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,30.927742886038256,22.33753744589319,39.51794509386131
ArL,1981-05,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.619933372007466,20.31900129291131,36.9208670927897
MH,1981-05,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,21.800443769076196,13.442812496031339,30.158075728373834
ML,1981-05,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,30.27975616343621,21.339108118094902,39.22040602779461
ArL,1981-06,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,29.460892828789014,21.58731869062693,37.33446807948076
MH,1981-06,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,22.43534100578268,14.586074368568099,30.284610297059174
ML,1981-06,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.538416320934555,20.621827380094693,36.455002782917816
ArL,1981-07,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.11399143342609,21.837639908088494,34.39033982503003
MH,1981-07,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,21.36944140876354,15.500801913649784,27.238081573593846
ML,1981-07,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.1265874401508,20.08906830480452,32.16410990144496
ArL,1981-08,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,27.894952444626316,21.700405195885743,34.0895021374623
MH,1981-08,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,21.198579747797663,15.299456921052718,27.09770340135319
ML,1981-08,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,25.499865232235003,19.673096349589425,31.326633842919694
ArL,1981-09,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,27.338910941795742,20.744441035337392,33.933380126085666
MH,1981-09,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,20.74606227166803,14.115121910572725,27.376999350325352
ML,1981-09,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,25.652302594738718,19.370978732837056,31.93361834239752
ArL,1981-10,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.963480293052736,19.926073872629683,34.000883488657806
MH,1981-10,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,19.817447591454535,12.651071915255773,26.983828187176183
ML,1981-10,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.938424992474285,19.25158505937845,34.625268523478894
ArL,1981-11,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,25.53560930027618,18.38119857423751,32.69002085908563
MH,1981-11,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,18.686502897871854,11.25866688304853,26.114342467980627
ML,1981-11,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.351079916553513,18.068809982979733,34.633354821215626
ArL,1981-12,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,22.860237641196292,14.74379398547636,30.9766772067974
MH,1981-12,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,16.839625577841396,8.16256609523696,25.516688268470848
ML,1981-12,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,23.86194858369906,14.616420762011243,33.107474862789076
ArL,1982-01,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,22.355241832115098,14.622075171630602,30.08840231621653
MH,1982-01,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,16.686138596866773,7.865852273689405,25.506424374349148
ML,1982-01,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,23.262473713419944,14.56153644258043,31.963409165242393
ArL,1982-02,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,23.319590582313584,15.625703508248062,31.01347508216327
MH,1982-02,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,17.983806375913353,10.283008822862543,25.684600257925236
ML,1982-02,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,23.89790206251572,15.553700130398584,32.24210244311829
ArL,1982-03,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,24.320160960880056,15.988428384977167,32.65189599172171
MH,1982-03,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,18.502883235628598,9.244087674397525,27.761676200674493
ML,1982-03,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,25.91705083296719,16.35425398988914,35.479836926902635
ArL,1982-04,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.507509084314446,18.668664006444132,34.34635234483608
MH,1982-04,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,20.55350957440028,11.97743424607049,29.12958121515492
ML,1982-04,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.664469117191803,19.914512149429065,37.41442121640884
ArL,1982-05,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.15318938011878,20.167548935084014,36.13882825069635
MH,1982-05,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,21.248178948066805,12.997252829279647,29.499108737892872
ML,1982-05,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.986766534865243,21.247653508099287,36.72587677514669
ArL,1982-06,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.89990010264248,21.26489903773688,36.53490159477683
MH,1982-06,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,21.996023998606752,14.27185733932626,29.720187863267522
ML,1982-06,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,27.513226639362422,20.158731571752043,34.86772370878324
ArL,1982-07,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,28.423199020047452,21.86066969523994,34.98573413955143
MH,1982-07,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,21.573612820220454,15.555179864040621,27.59204180770955
ML,1982-07,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.187270786015137,19.813538092535925,32.56099557033678
ArL,1982-08,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.821339943057925,21.561691445962786,32.08098714979215
MH,1982-08,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,20.05235982815836,15.292384044447775,24.812343326011565
ML,1982-08,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,24.396776073113102,19.579333518385656,29.21421761578938
ArL,1982-09,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.87186591412414,20.039553892429495,33.70418061196229
MH,1982-09,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,20.119086475522195,13.54500272715201,26.69317819434628
ML,1982-09,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,25.13350484999888,18.31156078530893,31.955448834438087
ArL,1982-10,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,26.531776824222508,19.360407875585878,33.70314688322014
MH,1982-10,NEX-GDDP-CMIP6,HadGEM3-GC31-MM,19.40667727751258,12.391271952812817,26.422092317236523
