AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,INM-CM5-0,21.43761416679762,14.27305671253825,28.602173375514127
MH,1981-01,NEX-GDDP-CMIP6,INM-CM5-0,16.00152027147699,8.173980752577558,23.829063114154916
ML,1981-01,NEX-GDDP-CMIP6,INM-CM5-0,22.70752306674154,14.358943496157977,31.05609894133208
ArL,1981-02,NEX-GDDP-CMIP6,INM-CM5-0,24.160401699636537,16.909252697205687,31.411546332189623
MH,1981-02,NEX-GDDP-CMIP6,INM-CM5-0,18.9261086901363,11.266380231925021,26.585832981222296
ML,1981-02,NEX-GDDP-CMIP6,INM-CM5-0,25.590508065735737,17.12733349127873,34.05368317073938
ArL,1981-03,NEX-GDDP-CMIP6,INM-CM5-0,24.56909528540375,16.605301459802035,32.5328913534142
MH,1981-03,NEX-GDDP-CMIP6,INM-CM5-0,19.19917300091759,10.999147209388676,27.399194211915944
ML,1981-03,NEX-GDDP-CMIP6,INM-CM5-0,26.16421081230885,16.98521802970493,35.34321184290687
ArL,1981-04,NEX-GDDP-CMIP6,INM-CM5-0,27.664416279231673,20.25717498059299,35.07165681666581
MH,1981-04,NEX-GDDP-CMIP6,INM-CM5-0,21.288475074241003,14.379283141676463,28.197665849270745
ML,1981-04,NEX-GDDP-CMIP6,INM-CM5-0,28.664728906713698,20.63656477109635,36.692894183675094
ArL,1981-05,NEX-GDDP-CMIP6,INM-CM5-0,28.18242169369889,21.105359948935206,35.25948383532988
MH,1981-05,NEX-GDDP-CMIP6,INM-CM5-0,21.573487541882947,14.528793651629412,28.61817972890671
ML,1981-05,NEX-GDDP-CMIP6,INM-CM5-0,28.570077525794396,21.0084042110959,36.13175006919401
ArL,1981-06,NEX-GDDP-CMIP6,INM-CM5-0,28.582823762790678,21.101090172815905,36.0645585910782
MH,1981-06,NEX-GDDP-CMIP6,INM-CM5-0,21.791233479663404,14.26360548872577,29.318859163799537
ML,1981-06,NEX-GDDP-CMIP6,INM-CM5-0,27.633091500660576,20.132364620545932,35.13381720822256
ArL,1981-07,NEX-GDDP-CMIP6,INM-CM5-0,27.605235243684014,22.12634529690639,33.08412644395511
MH,1981-07,NEX-GDDP-CMIP6,INM-CM5-0,20.66277509641276,15.465146766152069,25.86039665509487
ML,1981-07,NEX-GDDP-CMIP6,INM-CM5-0,25.370495043713493,20.16766868797511,30.573318809135912
ArL,1981-08,NEX-GDDP-CMIP6,INM-CM5-0,27.566224134747724,21.817494632792542,33.31495509405175
