AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,IPSL-CM6A-LR,23.843142024436574,17.420611124217636,30.26567244971593
MH,1981-01,NEX-GDDP-CMIP6,IPSL-CM6A-LR,18.826124844361203,11.462442706988416,26.189801872044676
ML,1981-01,NEX-GDDP-CMIP6,IPSL-CM6A-LR,25.473171125457988,17.868400695221222,33.077944039009736
ArL,1981-02,NEX-GDDP-CMIP6,IPSL-CM6A-LR,24.77096982373646,18.04404065954612,31.497898948890647
MH,1981-02,NEX-GDDP-CMIP6,IPSL-CM6A-LR,19.81888484453583,12.57020198684567,27.067556474138446
ML,1981-02,NEX-GDDP-CMIP6,IPSL-CM6A-LR,26.311153303192363,18.68657302354881,33.9357361731519
ArL,1981-03,NEX-GDDP-CMIP6,IPSL-CM6A-LR,25.035427760589968,17.87215623015232,32.19870087849682
MH,1981-03,NEX-GDDP-CMIP6,IPSL-CM6A-LR,19.90737864438259,12.566014927171905,27.24874580939334
ML,1981-03,NEX-GDDP-CMIP6,IPSL-CM6A-LR,26.40771387182424,18.42589036873262,34.38954222116967
ArL,1981-04,NEX-GDDP-CMIP6,IPSL-CM6A-LR,29.50327821854099,22.634679588504397,36.371871667615814
MH,1981-04,NEX-GDDP-CMIP6,IPSL-CM6A-LR,23.049795880313834,15.81940840579283,30.280182742995027
ML,1981-04,NEX-GDDP-CMIP6,IPSL-CM6A-LR,30.554782909228937,22.671199979705502,38.438365036244846
ArL,1981-05,NEX-GDDP-CMIP6,IPSL-CM6A-LR,29.206534436319696,22.497443132687888,35.915622367663715
MH,1981-05,NEX-GDDP-CMIP6,IPSL-CM6A-LR,22.75079265337141,16.074081067850358,29.427498798478915
ML,1981-05,NEX-GDDP-CMIP6,IPSL-CM6A-LR,29.768742028425205,22.699019500754744,36.83846435992714
ArL,1981-06,NEX-GDDP-CMIP6,IPSL-CM6A-LR,30.375143049195657,23.556883901625373,37.19340400327128
MH,1981-06,NEX-GDDP-CMIP6,IPSL-CM6A-LR,23.268335407415243,16.405546638862926,30.1311325350224
ML,1981-06,NEX-GDDP-CMIP6,IPSL-CM6A-LR,29.491046601790792,22.79101496070212,36.19107523347621
ArL,1981-07,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.468470673943344,22.70314412900439,34.2337975658701
MH,1981-07,NEX-GDDP-CMIP6,IPSL-CM6A-LR,22.023109734100395,16.642005060940598,27.404213167044343
ML,1981-07,NEX-GDDP-CMIP6,IPSL-CM6A-LR,25.984692257978022,20.549193653806114,31.420187496076665
ArL,1981-08,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.563702810698466,22.06908031071096,35.05832355622885
MH,1981-08,NEX-GDDP-CMIP6,IPSL-CM6A-LR,21.610155259480962,15.331155490591057,27.889153970053343
ML,1981-08,NEX-GDDP-CMIP6,IPSL-CM6A-LR,26.230790952316102,19.82873679607609,32.63284413217196
ArL,1981-09,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.671155140385036,21.644744481818133,35.69756760111991
MH,1981-09,NEX-GDDP-CMIP6,IPSL-CM6A-LR,21.479571700218884,14.317760406965451,28.64138473804263
ML,1981-09,NEX-GDDP-CMIP6,IPSL-CM6A-LR,27.98013719847118,20.85347032344981,35.106801692720246
ArL,1981-10,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.164220346057217,21.669388859647476,34.65905406836966
MH,1981-10,NEX-GDDP-CMIP6,IPSL-CM6A-LR,20.93920379035103,14.12808726767287,27.750321412687242
ML,1981-10,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.86151423541365,21.775582241507003,35.947440839144704
ArL,1981-11,NEX-GDDP-CMIP6,IPSL-CM6A-LR,26.612902453380816,19.893830687244776,33.331977186262655
MH,1981-11,NEX-GDDP-CMIP6,IPSL-CM6A-LR,19.576446845737543,12.477166830727958,26.675733425623058
ML,1981-11,NEX-GDDP-CMIP6,IPSL-CM6A-LR,27.627139502916158,20.114237553643196,35.14004352979195
ArL,1981-12,NEX-GDDP-CMIP6,IPSL-CM6A-LR,24.103183413663338,17.088018656129407,31.11834401168088
MH,1981-12,NEX-GDDP-CMIP6,IPSL-CM6A-LR,18.34868843866153,11.025255257919945,25.67211103622782
ML,1981-12,NEX-GDDP-CMIP6,IPSL-CM6A-LR,25.558542674853925,17.560806753689416,33.556277775677415
ArL,1982-01,NEX-GDDP-CMIP6,IPSL-CM6A-LR,21.793779657482105,14.662983043902729,28.924573959255188
MH,1982-01,NEX-GDDP-CMIP6,IPSL-CM6A-LR,16.811014889469348,9.191792600389379,24.430242346115374
ML,1982-01,NEX-GDDP-CMIP6,IPSL-CM6A-LR,22.921955785758335,14.712361464907975,31.13154738699984
ArL,1982-02,NEX-GDDP-CMIP6,IPSL-CM6A-LR,23.621262964245425,15.821966045698455,31.4205602796597
MH,1982-02,NEX-GDDP-CMIP6,IPSL-CM6A-LR,18.641331185522034,10.464198794761563,26.818460748590354
ML,1982-02,NEX-GDDP-CMIP6,IPSL-CM6A-LR,25.59626672158199,16.705912447498196,34.48662437511416
ArL,1982-03,NEX-GDDP-CMIP6,IPSL-CM6A-LR,25.310764398623647,16.70074397526798,33.920783384148564
MH,1982-03,NEX-GDDP-CMIP6,IPSL-CM6A-LR,19.939215249945526,11.407113982319245,28.471320221683154
ML,1982-03,NEX-GDDP-CMIP6,IPSL-CM6A-LR,27.059053069644843,17.44047993338833,36.67762363341886
ArL,1982-04,NEX-GDDP-CMIP6,IPSL-CM6A-LR,27.372914979727604,19.211699102682594,35.534134838457746
MH,1982-04,NEX-GDDP-CMIP6,IPSL-CM6A-LR,20.950527267022007,12.838735971009005,29.062321465140116
ML,1982-04,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.8938995071534,19.907008463244473,37.88079125994399
ArL,1982-05,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.11746090167352,20.90668739895716,35.32823114053578
MH,1982-05,NEX-GDDP-CMIP6,IPSL-CM6A-LR,21.354584300811965,14.089622634395766,28.619534672995794
ML,1982-05,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.561768777427957,21.019660128251424,36.10387434140885
ArL,1982-06,NEX-GDDP-CMIP6,IPSL-CM6A-LR,29.266580607905993,22.014837228364083,36.5183239570865
MH,1982-06,NEX-GDDP-CMIP6,IPSL-CM6A-LR,22.193733058651457,15.0642864879442,29.323181969232618
ML,1982-06,NEX-GDDP-CMIP6,IPSL-CM6A-LR,27.52629053019713,20.14099227648919,34.91159204743572
ArL,1982-07,NEX-GDDP-CMIP6,IPSL-CM6A-LR,28.39697701658562,22.323875857944742,34.470075685588945
MH,1982-07,NEX-GDDP-CMIP6,IPSL-CM6A-LR,21.05433960953113,15.204278787692003,26.904400464442674
ML,1982-07,NEX-GDDP-CMIP6,IPSL-CM6A-LR,26.768042393441288,20.866740217968193,32.66934944637682
ArL,1982-08,NEX-GDDP-CMIP6,IPSL-CM6A-LR,26.035232013921444,21.16127493350328,30.90918939144794
MH,1982-08,NEX-GDDP-CMIP6,IPSL-CM6A-LR,19.174040076235933,14.489002698445146,23.859073534944613
