AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,KACE-1-0-G,22.378914565996684,15.70480844303587,29.053021758113687
MH,1981-01,NEX-GDDP-CMIP6,KACE-1-0-G,17.564041107103346,9.946163393907925,25.181914843339932
ML,1981-01,NEX-GDDP-CMIP6,KACE-1-0-G,23.941582872991273,15.755426894773816,32.12773857924782
ArL,1981-02,NEX-GDDP-CMIP6,KACE-1-0-G,23.368304259889587,15.88378490211615,30.852826449951053
MH,1981-02,NEX-GDDP-CMIP6,KACE-1-0-G,18.377990009945563,10.361037598648446,26.394942288952993
ML,1981-02,NEX-GDDP-CMIP6,KACE-1-0-G,24.975412943626193,16.51310420346315,33.43772283405004
ArL,1981-03,NEX-GDDP-CMIP6,KACE-1-0-G,24.471379993258747,17.017346323261638,31.925416001086237
MH,1981-03,NEX-GDDP-CMIP6,KACE-1-0-G,19.463824464544274,11.737608671020435,27.190030906840565
ML,1981-03,NEX-GDDP-CMIP6,KACE-1-0-G,26.674271818039824,18.19695902699709,35.15158428362116
ArL,1981-04,NEX-GDDP-CMIP6,KACE-1-0-G,26.591824077977055,18.54096402270745,34.6426847274633
MH,1981-04,NEX-GDDP-CMIP6,KACE-1-0-G,20.306162321699986,12.328860190036812,28.28347154739784
ML,1981-04,NEX-GDDP-CMIP6,KACE-1-0-G,27.73369776835141,18.50872059077397,36.958672792533655
ArL,1981-05,NEX-GDDP-CMIP6,KACE-1-0-G,28.3791997986534,21.823466559795595,34.93493354064353
MH,1981-05,NEX-GDDP-CMIP6,KACE-1-0-G,21.62678249444915,15.153930687213224,28.099636732508163
ML,1981-05,NEX-GDDP-CMIP6,KACE-1-0-G,28.588032735708975,21.587592453326188,35.588470623944296
ArL,1981-06,NEX-GDDP-CMIP6,KACE-1-0-G,29.89454582262067,22.614006379926135,37.175082027485175
MH,1981-06,NEX-GDDP-CMIP6,KACE-1-0-G,23.134904180261675,15.924116027054852,30.34569523557357
ML,1981-06,NEX-GDDP-CMIP6,KACE-1-0-G,29.924583186504204,22.470954541693324,37.378209709128484
ArL,1981-07,NEX-GDDP-CMIP6,KACE-1-0-G,29.54779184936734,23.454205358699376,35.641375267024486
MH,1981-07,NEX-GDDP-CMIP6,KACE-1-0-G,22.351062774038123,16.693405939317685,28.00871982372932
ML,1981-07,NEX-GDDP-CMIP6,KACE-1-0-G,26.89924859882186,21.239300180439397,32.55919010226446
ArL,1981-08,NEX-GDDP-CMIP6,KACE-1-0-G,28.912515343367357,22.79155919138447,35.03346924643547
MH,1981-08,NEX-GDDP-CMIP6,KACE-1-0-G,22.119681307850307,16.348774815561743,27.89058794896478
ML,1981-08,NEX-GDDP-CMIP6,KACE-1-0-G,26.408397505699607,20.59193447383329,32.22485713582568
ArL,1981-09,NEX-GDDP-CMIP6,KACE-1-0-G,28.251277773078048,22.133398312150664,34.36915556195789
MH,1981-09,NEX-GDDP-CMIP6,KACE-1-0-G,21.544897217855215,15.340848959832645,27.74895209036235
ML,1981-09,NEX-GDDP-CMIP6,KACE-1-0-G,26.32115476732278,20.426989358215135,32.21531985096903
ArL,1981-10,NEX-GDDP-CMIP6,KACE-1-0-G,27.647585240679085,21.112830251723025,34.18233810216613
MH,1981-10,NEX-GDDP-CMIP6,KACE-1-0-G,20.424650030929353,13.629847357209178,27.21945282040302
ML,1981-10,NEX-GDDP-CMIP6,KACE-1-0-G,27.28470474142854,20.53075018493343,34.03866046155956
ArL,1981-11,NEX-GDDP-CMIP6,KACE-1-0-G,25.591499798348053,20.1157753628313,31.067222357961942
MH,1981-11,NEX-GDDP-CMIP6,KACE-1-0-G,18.65764751491172,13.158733348696602,24.15656619551255
ML,1981-11,NEX-GDDP-CMIP6,KACE-1-0-G,26.021871036504486,20.010506098700603,32.03323452087806
ArL,1981-12,NEX-GDDP-CMIP6,KACE-1-0-G,25.276249262824415,19.23874015569554,31.31375604730362
MH,1981-12,NEX-GDDP-CMIP6,KACE-1-0-G,18.615290232668496,12.075108793388402,25.1554653137753
