AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,KIOST-ESM,23.00165081533811,15.71164005186291,30.291657790140107
MH,1981-01,NEX-GDDP-CMIP6,KIOST-ESM,17.309392240654027,9.674715084384973,24.944070463508716
ML,1981-01,NEX-GDDP-CMIP6,KIOST-ESM,24.220932343443284,15.447335304945753,32.994530389533615
ArL,1981-02,NEX-GDDP-CMIP6,KIOST-ESM,23.633902327129316,16.118364176010147,31.149440918489237
MH,1981-02,NEX-GDDP-CMIP6,KIOST-ESM,18.357767595917995,10.18756326589119,26.527973447276235
ML,1981-02,NEX-GDDP-CMIP6,KIOST-ESM,25.248257154265506,16.380584337835014,34.11593646654866
ArL,1981-03,NEX-GDDP-CMIP6,KIOST-ESM,26.18378919869273,18.18089000708412,34.1866876637956
MH,1981-03,NEX-GDDP-CMIP6,KIOST-ESM,20.594311840932786,12.271275024910182,28.917346341885796
ML,1981-03,NEX-GDDP-CMIP6,KIOST-ESM,27.8464665949998,18.459838202889625,37.23309209808285
ArL,1981-04,NEX-GDDP-CMIP6,KIOST-ESM,26.21913437271337,19.205642452099045,33.23262561019543
MH,1981-04,NEX-GDDP-CMIP6,KIOST-ESM,20.692998280366332,13.585615720208914,27.800380245220143
ML,1981-04,NEX-GDDP-CMIP6,KIOST-ESM,28.05837315405437,20.196642076646985,35.92010605493721
ArL,1981-05,NEX-GDDP-CMIP6,KIOST-ESM,28.444289420747584,21.216325517213107,35.67225291874005
MH,1981-05,NEX-GDDP-CMIP6,KIOST-ESM,21.964081668776274,14.616205511969069,29.3119590244588
ML,1981-05,NEX-GDDP-CMIP6,KIOST-ESM,29.165505372877124,21.39910783900061,36.93189841716983
ArL,1981-06,NEX-GDDP-CMIP6,KIOST-ESM,29.306976111467893,22.331386138065927,36.282569572097415
MH,1981-06,NEX-GDDP-CMIP6,KIOST-ESM,22.307622105369294,15.535303858837405,29.079939285315564
ML,1981-06,NEX-GDDP-CMIP6,KIOST-ESM,28.203937592377567,21.486107462178733,34.92176544880504
ArL,1981-07,NEX-GDDP-CMIP6,KIOST-ESM,28.894482388911168,22.474195244178127,35.31477199508903
MH,1981-07,NEX-GDDP-CMIP6,KIOST-ESM,21.96015259880456,15.843399356251934,28.07691312555829
ML,1981-07,NEX-GDDP-CMIP6,KIOST-ESM,26.656921391177146,20.5069214892614,32.80692237201969
ArL,1981-08,NEX-GDDP-CMIP6,KIOST-ESM,28.40090664488951,21.956620599899615,34.845193917348766
MH,1981-08,NEX-GDDP-CMIP6,KIOST-ESM,21.67995605468752,15.518611628290333,27.84130304419748
ML,1981-08,NEX-GDDP-CMIP6,KIOST-ESM,26.047581193253833,19.845968875369536,32.249197470175275
ArL,1981-09,NEX-GDDP-CMIP6,KIOST-ESM,28.469248954595134,21.679235181000656,35.25925801783006
MH,1981-09,NEX-GDDP-CMIP6,KIOST-ESM,21.57600413828615,14.689271737643644,28.4627316855506
ML,1981-09,NEX-GDDP-CMIP6,KIOST-ESM,27.037085464733934,20.201274569213986,33.87288757279638
ArL,1981-10,NEX-GDDP-CMIP6,KIOST-ESM,27.573180622319885,20.998294859816248,34.14806792241326
MH,1981-10,NEX-GDDP-CMIP6,KIOST-ESM,20.299197343874376,13.459336958445714,27.139056522159613
ML,1981-10,NEX-GDDP-CMIP6,KIOST-ESM,27.69466696294058,20.38649068627593,35.0028439128199
ArL,1981-11,NEX-GDDP-CMIP6,KIOST-ESM,25.991418821368452,18.965000307864955,33.01783880089551
MH,1981-11,NEX-GDDP-CMIP6,KIOST-ESM,19.40441512379408,11.976458981663088,26.832366429083233
ML,1981-11,NEX-GDDP-CMIP6,KIOST-ESM,27.030186824645355,18.914086124930122,35.14628525058925
ArL,1981-12,NEX-GDDP-CMIP6,KIOST-ESM,24.049802411693694,16.858037528102557,31.241564842514737
MH,1981-12,NEX-GDDP-CMIP6,KIOST-ESM,18.2383483026836,10.380405685850636,26.096282403367713
ML,1981-12,NEX-GDDP-CMIP6,KIOST-ESM,25.28137452687725,16.706701847408034,33.85604631021307
ArL,1982-01,NEX-GDDP-CMIP6,KIOST-ESM,22.555314278399305,15.501716680130976,29.6089097253432
MH,1982-01,NEX-GDDP-CMIP6,KIOST-ESM,17.690508695864438,10.11049285450465,25.270525628614184
ML,1982-01,NEX-GDDP-CMIP6,KIOST-ESM,24.176973513149736,16.018927322956163,32.335018802751534
ArL,1982-02,NEX-GDDP-CMIP6,KIOST-ESM,23.649473392211174,16.780259665553732,30.518682150436852
MH,1982-02,NEX-GDDP-CMIP6,KIOST-ESM,18.890695103614608,11.539073883527946,26.242325054820878
ML,1982-02,NEX-GDDP-CMIP6,KIOST-ESM,25.516982062529987,17.624389679646157,33.40957488679297
ArL,1982-03,NEX-GDDP-CMIP6,KIOST-ESM,24.574167841683085,17.808108412941607,31.34022490223274
MH,1982-03,NEX-GDDP-CMIP6,KIOST-ESM,19.100874823459435,12.68344735326694,25.518293008569227
ML,1982-03,NEX-GDDP-CMIP6,KIOST-ESM,26.01201715350938,18.727248019768094,33.296781494497324
ArL,1982-04,NEX-GDDP-CMIP6,KIOST-ESM,26.6182737227934,18.75278192837855,34.48376661455721
MH,1982-04,NEX-GDDP-CMIP6,KIOST-ESM,21.44144585257269,13.925028420786546,28.957870411465944
ML,1982-04,NEX-GDDP-CMIP6,KIOST-ESM,28.725182405503865,20.12215862845402,37.328206307388236
ArL,1982-05,NEX-GDDP-CMIP6,KIOST-ESM,28.3122626746494,21.050490787803234,35.57403100920782
MH,1982-05,NEX-GDDP-CMIP6,KIOST-ESM,21.804335351456697,14.63118397917604,28.977487674569506
ML,1982-05,NEX-GDDP-CMIP6,KIOST-ESM,29.400419613355464,21.723004515977415,37.077833770016355
ArL,1982-06,NEX-GDDP-CMIP6,KIOST-ESM,29.178654596655146,22.43377888664868,35.9235291052163
MH,1982-06,NEX-GDDP-CMIP6,KIOST-ESM,22.221108673930814,15.656253264248155,28.785955823775872
ML,1982-06,NEX-GDDP-CMIP6,KIOST-ESM,27.97755097973689,21.638900843774277,34.316197058578084
ArL,1982-07,NEX-GDDP-CMIP6,KIOST-ESM,28.811472323159073,22.067449157871007,35.55549441929094
MH,1982-07,NEX-GDDP-CMIP6,KIOST-ESM,22.10157725691507,15.706006367036714,28.49714846098145
ML,1982-07,NEX-GDDP-CMIP6,KIOST-ESM,26.727922567474863,20.418599088458468,33.03724535544309
ArL,1982-08,NEX-GDDP-CMIP6,KIOST-ESM,28.43022078253317,21.95430003649272,34.90613793724978
MH,1982-08,NEX-GDDP-CMIP6,KIOST-ESM,21.76500820592957,15.585825870651396,27.94418189276918
