AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,MIROC6,23.756813846520924,16.775924399822138,30.7377017773167
MH,1981-01,NEX-GDDP-CMIP6,MIROC6,18.894776348071673,11.239801918346066,26.549752266056295
ML,1981-01,NEX-GDDP-CMIP6,MIROC6,25.453790198494023,17.210136022351822,33.69743743294607
ArL,1981-02,NEX-GDDP-CMIP6,MIROC6,24.160222762358902,16.515041252860595,31.805402014267724
MH,1981-02,NEX-GDDP-CMIP6,MIROC6,19.5675610381328,11.255195146807187,27.879924366345644
ML,1981-02,NEX-GDDP-CMIP6,MIROC6,26.202547007324597,17.021748564938225,35.38334030474603
ArL,1981-03,NEX-GDDP-CMIP6,MIROC6,25.518958593458557,17.32383146302278,33.71408990292879
MH,1981-03,NEX-GDDP-CMIP6,MIROC6,20.457484911037863,12.258956878587723,28.656012546618925
ML,1981-03,NEX-GDDP-CMIP6,MIROC6,27.71033163356297,18.364430570079975,37.05623181874604
ArL,1981-04,NEX-GDDP-CMIP6,MIROC6,27.475547969659818,19.42699211732173,35.5241035812751
MH,1981-04,NEX-GDDP-CMIP6,MIROC6,21.36159462919731,13.53804306571837,29.185149673548768
ML,1981-04,NEX-GDDP-CMIP6,MIROC6,29.24099730107802,20.04364969101679,38.438347822458255
ArL,1981-05,NEX-GDDP-CMIP6,MIROC6,29.66892637911002,22.213888051443465,37.12397238171326
MH,1981-05,NEX-GDDP-CMIP6,MIROC6,22.79242356599301,15.443710643816917,30.141144268456564
ML,1981-05,NEX-GDDP-CMIP6,MIROC6,30.209034366760942,22.42776458940864,37.990302035301795
ArL,1981-06,NEX-GDDP-CMIP6,MIROC6,29.894868323937143,22.27718363811242,37.5125506394014
MH,1981-06,NEX-GDDP-CMIP6,MIROC6,23.090565835089286,15.433426145575835,30.74770326740987
ML,1981-06,NEX-GDDP-CMIP6,MIROC6,28.862295075243132,21.270388769424276,36.45420404271197
ArL,1981-07,NEX-GDDP-CMIP6,MIROC6,28.620073964963133,22.17384477087286,35.06630317206545
MH,1981-07,NEX-GDDP-CMIP6,MIROC6,21.87407726121449,15.79824464312742,27.949911293147647
ML,1981-07,NEX-GDDP-CMIP6,MIROC6,26.245549694476495,20.375622304466386,32.11548022764109
ArL,1981-08,NEX-GDDP-CMIP6,MIROC6,27.529486767550388,21.69499220335736,33.363983669573784
MH,1981-08,NEX-GDDP-CMIP6,MIROC6,20.783794309439898,15.382380357534085,26.185200381840986
ML,1981-08,NEX-GDDP-CMIP6,MIROC6,24.98302963178817,19.59699358386314,30.369068724783457
ArL,1981-09,NEX-GDDP-CMIP6,MIROC6,27.12776069489309,21.26572922776546,32.989797182500624
MH,1981-09,NEX-GDDP-CMIP6,MIROC6,20.389979920739986,14.514905681418933,26.265064602678528
ML,1981-09,NEX-GDDP-CMIP6,MIROC6,25.99779615381325,20.026832022154938,31.968759688049303
ArL,1981-10,NEX-GDDP-CMIP6,MIROC6,27.432864246292528,20.62122721148868,34.24450261049343
MH,1981-10,NEX-GDDP-CMIP6,MIROC6,20.232270161874986,13.185283244796278,27.279255921418894
ML,1981-10,NEX-GDDP-CMIP6,MIROC6,27.329268385982612,19.898360307692116,34.760174368836765
ArL,1981-11,NEX-GDDP-CMIP6,MIROC6,26.685158603444872,20.148296897502167,33.22201795203908
