AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,MIROC-ES2L,24.26237726043477,17.343796580077733,31.180961519103644
MH,1981-01,NEX-GDDP-CMIP6,MIROC-ES2L,18.943024870594243,11.287011619532754,26.599032706046515
ML,1981-01,NEX-GDDP-CMIP6,MIROC-ES2L,25.880526864920526,17.63298477607546,34.128073889186936
ArL,1981-02,NEX-GDDP-CMIP6,MIROC-ES2L,23.844945367809885,16.922086878565676,30.767803930788993
MH,1981-02,NEX-GDDP-CMIP6,MIROC-ES2L,19.335350330552277,11.862061446444926,26.808640405266843
ML,1981-02,NEX-GDDP-CMIP6,MIROC-ES2L,25.828913276399316,17.750422020878062,33.90741046601794
ArL,1981-03,NEX-GDDP-CMIP6,MIROC-ES2L,24.237269406646693,17.660367621095986,30.81416882400558
MH,1981-03,NEX-GDDP-CMIP6,MIROC-ES2L,18.60826287198541,12.146618647382914,25.069902697955683
ML,1981-03,NEX-GDDP-CMIP6,MIROC-ES2L,25.770124811321587,18.518501151330838,33.021751226588194
ArL,1981-04,NEX-GDDP-CMIP6,MIROC-ES2L,27.495407650130545,19.93318230399632,35.05763176012068
MH,1981-04,NEX-GDDP-CMIP6,MIROC-ES2L,21.265635308674206,13.952845809221358,28.578428826426425
ML,1981-04,NEX-GDDP-CMIP6,MIROC-ES2L,28.97677076407993,20.65635154395318,37.29718621687966
ArL,1981-05,NEX-GDDP-CMIP6,MIROC-ES2L,28.84869141136809,21.552722691486636,36.14466285727256
MH,1981-05,NEX-GDDP-CMIP6,MIROC-ES2L,22.331156251256782,15.137838415219795,29.52446798543176
ML,1981-05,NEX-GDDP-CMIP6,MIROC-ES2L,29.58261223870358,21.813454275082496,37.35176974311202
ArL,1981-06,NEX-GDDP-CMIP6,MIROC-ES2L,30.119609829727537,22.72712901312226,37.51208644561162
MH,1981-06,NEX-GDDP-CMIP6,MIROC-ES2L,23.09513867630673,15.819699335627968,30.3705777193337
ML,1981-06,NEX-GDDP-CMIP6,MIROC-ES2L,29.443153117188952,22.010456410109196,36.875855954534586
ArL,1981-07,NEX-GDDP-CMIP6,MIROC-ES2L,29.487925534576373,22.54641701642462,36.42943000164544
MH,1981-07,NEX-GDDP-CMIP6,MIROC-ES2L,22.66790387678911,16.01598202341848,29.319821430744792
ML,1981-07,NEX-GDDP-CMIP6,MIROC-ES2L,27.4902740099554,20.85434101291433,34.1262087056374
ArL,1981-08,NEX-GDDP-CMIP6,MIROC-ES2L,28.141842800571965,22.287349233795414,33.99633950758821
MH,1981-08,NEX-GDDP-CMIP6,MIROC-ES2L,21.450278628547508,15.90843841709831,26.992125247778624
ML,1981-08,NEX-GDDP-CMIP6,MIROC-ES2L,25.738281517502543,20.254188536483095,31.22237622391319
ArL,1981-09,NEX-GDDP-CMIP6,MIROC-ES2L,27.711316405486656,21.68764352196657,33.73498941045246
MH,1981-09,NEX-GDDP-CMIP6,MIROC-ES2L,20.989855346845072,14.988850375133904,26.99086022760709
