AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,22.049942768263943,14.11916091641357,29.980719421803123
MH,1981-01,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,16.87262181003256,8.655715382632085,25.089526029848816
ML,1981-01,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,22.624859106427504,13.468276814808393,31.781449039701673
ArL,1981-02,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,23.65093385090269,15.983475394192057,31.31839664279231
MH,1981-02,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,18.71663587679229,10.648091387173853,26.785178324188617
ML,1981-02,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,25.266394573515424,16.53047027030596,34.002319286895414
ArL,1981-03,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,26.320457264616667,18.133541631129358,34.50736816388901
MH,1981-03,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,20.932874762143157,12.661906953582749,29.203845332250882
ML,1981-03,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,28.32217413914128,19.274207925065078,37.370137522149236
ArL,1981-04,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,27.354499904942717,21.65026350731604,33.05873901124299
MH,1981-04,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,20.3211447741339,14.463377069076943,26.178907088385948
ML,1981-04,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,27.46977141375437,21.280997705006822,33.658543767155855
ArL,1981-05,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,28.639370800840254,20.818242790564845,36.46049776364622
MH,1981-05,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,22.375451230214782,14.739236876002778,30.01166701480906
ML,1981-05,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,29.73794438408798,21.58081043987402,37.895075167313934
ArL,1981-06,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,29.91717831740129,22.496736613453102,37.33761986737365
MH,1981-06,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,23.01849842138714,15.81334207183915,30.223655267021478
ML,1981-06,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,28.975461736084185,21.542981474202794,36.40794548441497
ArL,1981-07,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,27.703454125747573,22.024908595169208,33.382001111506085
MH,1981-07,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,21.062325086570404,15.802662870768343,26.321991469497732
ML,1981-07,NEX-GDDP-CMIP6,MPI-ESM1-2-HR,25.024994841659936,19.73873953084342,30.311256857872724
