AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,25.560017737236276,18.282732740947665,32.8373018140072
MH,1981-01,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,20.36679451528267,12.438803142753304,28.294786334289732
ML,1981-01,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,27.65504224845493,19.275171179315166,36.034913250719086
ArL,1981-02,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,23.23443832874572,16.196256956585184,30.272621899941498
MH,1981-02,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,18.335377036533682,10.860441807220077,25.810307214034697
ML,1981-02,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,24.81677230935277,16.721075702497288,32.91246485462846
ArL,1981-03,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,24.68424984019478,16.503923839245978,32.86457813993785
MH,1981-03,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,19.831199625739266,11.614048297048061,28.04835436915812
ML,1981-03,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,26.968275677922726,17.956443743151958,35.98010986417295
ArL,1981-04,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,29.008869499913533,22.255840376549813,35.76190234905894
MH,1981-04,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,22.9533888749397,16.507186181071805,29.3995981006111
ML,1981-04,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,30.002485860708973,22.91184794925444,37.09312096784552
ArL,1981-05,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,29.913759793470796,22.831410845766854,36.996105711537396
MH,1981-05,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,23.156488789507016,16.092300839192912,30.220676152785632
ML,1981-05,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,30.707539121350564,23.366185498011237,38.04888737234783
ArL,1981-06,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,29.42442643088061,21.90363359825392,36.945219211459104
MH,1981-06,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,22.34867905436156,14.892112819162133,29.805245471459326
ML,1981-06,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,28.904628827782624,21.503327503859193,36.3059278244342
ArL,1981-07,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,28.761658466506113,22.80966437135388,34.71365863828243
MH,1981-07,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,21.536180898149137,15.886929394875226,27.18543200455397
ML,1981-07,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,26.46964865685208,20.756040639159824,32.183256616585474
ArL,1981-08,NEX-GDDP-CMIP6,MPI-ESM1-2-LR,29.625994631022895,22.721893129679486,36.53010027670197
