AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,MRI-ESM2-0,23.188578771230116,16.826084591516945,29.551073692629735
MH,1981-01,NEX-GDDP-CMIP6,MRI-ESM2-0,18.19179632103694,11.360228514897429,25.023364987059445
ML,1981-01,NEX-GDDP-CMIP6,MRI-ESM2-0,24.66035176758529,17.139080070456615,32.1816238659677
ArL,1981-02,NEX-GDDP-CMIP6,MRI-ESM2-0,23.38734948622904,16.57473558747954,30.19996459076119
MH,1981-02,NEX-GDDP-CMIP6,MRI-ESM2-0,18.25508177454188,11.695949299579029,24.814209396126696
ML,1981-02,NEX-GDDP-CMIP6,MRI-ESM2-0,24.780599536436018,17.282139708893098,32.279057174916716
ArL,1981-03,NEX-GDDP-CMIP6,MRI-ESM2-0,27.092560154067467,19.43025332348399,34.75487140223953
MH,1981-03,NEX-GDDP-CMIP6,MRI-ESM2-0,21.49564732024744,14.034562697574682,28.956725088660576
ML,1981-03,NEX-GDDP-CMIP6,MRI-ESM2-0,28.837664340167635,20.27656783667512,37.39875899789282
ArL,1981-04,NEX-GDDP-CMIP6,MRI-ESM2-0,28.022862106592164,20.629227991413188,35.41649432418158
MH,1981-04,NEX-GDDP-CMIP6,MRI-ESM2-0,21.92690248615988,14.703023209697173,29.150787781803537
ML,1981-04,NEX-GDDP-CMIP6,MRI-ESM2-0,29.594803732516063,21.675223618724058,37.5143797267694
ArL,1981-05,NEX-GDDP-CMIP6,MRI-ESM2-0,29.579548625067755,22.765914228655127,36.393183121239375
MH,1981-05,NEX-GDDP-CMIP6,MRI-ESM2-0,22.857596619760304,15.934192962770531,29.781004939961665
ML,1981-05,NEX-GDDP-CMIP6,MRI-ESM2-0,29.7782467002674,22.590561512737427,36.965933858399175
ArL,1981-06,NEX-GDDP-CMIP6,MRI-ESM2-0,29.205942104268047,22.267264785463006,36.14461843198914
MH,1981-06,NEX-GDDP-CMIP6,MRI-ESM2-0,22.16725665774331,15.084066194520373,29.250446864654982
ML,1981-06,NEX-GDDP-CMIP6,MRI-ESM2-0,27.823641314621504,20.972757972288186,34.67452895482849
ArL,1981-07,NEX-GDDP-CMIP6,MRI-ESM2-0,28.934471443961343,22.118919193859895,35.750024106110835
MH,1981-07,NEX-GDDP-CMIP6,MRI-ESM2-0,21.83676478019806,15.60563177058642,28.067891415100213
ML,1981-07,NEX-GDDP-CMIP6,MRI-ESM2-0,26.791284598774784,20.55568524424051,33.02687786762694
ArL,1981-08,NEX-GDDP-CMIP6,MRI-ESM2-0,27.67750082531052,21.817956616703675,33.53704668644682
MH,1981-08,NEX-GDDP-CMIP6,MRI-ESM2-0,21.018100915669578,15.5310988904467,26.50510678556161
