AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,NESM3,22.13769082681507,15.674148103281356,28.601233123120036
MH,1981-01,NEX-GDDP-CMIP6,NESM3,17.19954562790511,10.226838214867062,24.172252859044843
ML,1981-01,NEX-GDDP-CMIP6,NESM3,23.73780175174914,16.10633929233818,31.369255758080744
ArL,1981-02,NEX-GDDP-CMIP6,NESM3,23.329248255067714,16.246123898036124,30.41237401089391
MH,1981-02,NEX-GDDP-CMIP6,NESM3,18.347394066714767,10.815504859463395,25.87927744495164
ML,1981-02,NEX-GDDP-CMIP6,NESM3,25.1094697137224,16.802837100422607,33.41609719097399
ArL,1981-03,NEX-GDDP-CMIP6,NESM3,26.134999045002804,18.53153776263163,33.738459557494785
MH,1981-03,NEX-GDDP-CMIP6,NESM3,20.505113515799657,12.85031630465154,28.159913554639907
ML,1981-03,NEX-GDDP-CMIP6,NESM3,27.00792109264435,18.30413225395478,35.71170668563678
ArL,1981-04,NEX-GDDP-CMIP6,NESM3,26.534731726893128,19.09415745607761,33.975303299878405
MH,1981-04,NEX-GDDP-CMIP6,NESM3,20.30989087357236,12.877311421706754,27.742473293687908
ML,1981-04,NEX-GDDP-CMIP6,NESM3,27.546875691048175,19.152462035152002,35.94129024307777
ArL,1981-05,NEX-GDDP-CMIP6,NESM3,29.224229947296735,22.928713341691832,35.519744820131244
MH,1981-05,NEX-GDDP-CMIP6,NESM3,22.21614318864195,15.806305798138123,28.625973187459277
ML,1981-05,NEX-GDDP-CMIP6,NESM3,28.462869385300653,21.81785402708983,35.10788236273913
ArL,1981-06,NEX-GDDP-CMIP6,NESM3,29.82258625171484,22.833227804074465,36.81194422441563
MH,1981-06,NEX-GDDP-CMIP6,NESM3,22.661114687158726,15.795268381388034,29.5269589589754
ML,1981-06,NEX-GDDP-CMIP6,NESM3,28.862745799140598,21.95481496494649,35.77066947318415
ArL,1981-07,NEX-GDDP-CMIP6,NESM3,29.309646570879078,23.432112629485463,35.18718065540518
MH,1981-07,NEX-GDDP-CMIP6,NESM3,22.33905652546685,16.69687683221225,27.981238690885053
ML,1981-07,NEX-GDDP-CMIP6,NESM3,27.109029796926386,21.57769404007975,32.64036058714307
ArL,1981-08,NEX-GDDP-CMIP6,NESM3,28.313529184503007,21.987447096936904,34.63960720580571
MH,1981-08,NEX-GDDP-CMIP6,NESM3,21.629480096222252,15.771653001362083,27.487308249399963
ML,1981-08,NEX-GDDP-CMIP6,NESM3,25.638288757903826,19.58793437503569,31.688642628058826
ArL,1981-09,NEX-GDDP-CMIP6,NESM3,27.828544741614856,21.30640197675836,34.35068748044724
MH,1981-09,NEX-GDDP-CMIP6,NESM3,21.164643696568213,14.652670429470572,27.676623206085672
ML,1981-09,NEX-GDDP-CMIP6,NESM3,26.464111065080896,19.856910338865067,33.07131408290156
ArL,1981-10,NEX-GDDP-CMIP6,NESM3,27.749177835365828,22.10601054891531,33.392345466635476
MH,1981-10,NEX-GDDP-CMIP6,NESM3,20.334416787006216,14.397272737224544,26.27157156878908
ML,1981-10,NEX-GDDP-CMIP6,NESM3,27.454827657940644,21.312508430787496,33.59714576604161
ArL,1981-11,NEX-GDDP-CMIP6,NESM3,26.756490011470042,20.704839160131993,32.808147297263375
MH,1981-11,NEX-GDDP-CMIP6,NESM3,19.93422395989879,13.410084249682004,26.458367647074418
ML,1981-11,NEX-GDDP-CMIP6,NESM3,27.363762018887844,20.467537054447842,34.259986778242585
ArL,1981-12,NEX-GDDP-CMIP6,NESM3,23.680321920805884,17.27081854572482,30.08982513757374
MH,1981-12,NEX-GDDP-CMIP6,NESM3,18.332815536048443,11.588073629597883,25.077548554285375
ML,1981-12,NEX-GDDP-CMIP6,NESM3,25.011862862519422,17.653987205176588,32.36973010690829
ArL,1982-01,NEX-GDDP-CMIP6,NESM3,21.394536655636404,15.388869652848427,27.400203441556997
MH,1982-01,NEX-GDDP-CMIP6,NESM3,16.590844751366845,10.440216228161642,22.741476763712644
ML,1982-01,NEX-GDDP-CMIP6,NESM3,23.00193735572701,16.204209963434216,29.799662946836225
ArL,1982-02,NEX-GDDP-CMIP6,NESM3,23.897919741267856,16.32966446694901,31.46618169943947
MH,1982-02,NEX-GDDP-CMIP6,NESM3,18.42285500864648,10.297704305883952,26.54800698469728
ML,1982-02,NEX-GDDP-CMIP6,NESM3,25.023465021550024,16.14036896443004,33.906565002040175
ArL,1982-03,NEX-GDDP-CMIP6,NESM3,25.59396394964916,17.45115782112613,33.73677148781019
MH,1982-03,NEX-GDDP-CMIP6,NESM3,20.308899544235583,12.008546491161484,28.60925808733186
ML,1982-03,NEX-GDDP-CMIP6,NESM3,27.474343272418878,18.20147254336397,36.7472112863233
ArL,1982-04,NEX-GDDP-CMIP6,NESM3,27.905227369663066,21.893652921051,33.91680021996254
MH,1982-04,NEX-GDDP-CMIP6,NESM3,21.606553887610406,15.752113632082287,27.46099339900902
ML,1982-04,NEX-GDDP-CMIP6,NESM3,28.65828046889269,22.051488490971998,35.265070190875555
ArL,1982-05,NEX-GDDP-CMIP6,NESM3,28.144093777741695,20.3993114031195,35.888876696701026
MH,1982-05,NEX-GDDP-CMIP6,NESM3,21.416219886897633,13.743988209086,29.088457881542023
ML,1982-05,NEX-GDDP-CMIP6,NESM3,27.960644665001272,19.511072093888416,36.41022301416839
ArL,1982-06,NEX-GDDP-CMIP6,NESM3,28.937253141159236,21.440767743846408,36.43374036449544
MH,1982-06,NEX-GDDP-CMIP6,NESM3,22.1025262618188,14.844262265371029,29.360794078131377
ML,1982-06,NEX-GDDP-CMIP6,NESM3,28.70468202065692,20.958358945212655,36.45100122177316
ArL,1982-07,NEX-GDDP-CMIP6,NESM3,28.812888339217785,23.053760662154772,34.572012860860404
MH,1982-07,NEX-GDDP-CMIP6,NESM3,21.973308395183196,16.757177201909023,27.189436198534057
ML,1982-07,NEX-GDDP-CMIP6,NESM3,26.422369304514913,21.0290930336283,31.81565142924812
