AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,NorESM2-LM,22.56563338365931,16.173929234212487,28.957338029732433
MH,1981-01,NEX-GDDP-CMIP6,NorESM2-LM,17.819147381696006,11.010160590755516,24.628133767499307
ML,1981-01,NEX-GDDP-CMIP6,NorESM2-LM,24.085605221756047,16.585857382997997,31.5853523917578
ArL,1981-02,NEX-GDDP-CMIP6,NorESM2-LM,23.60344592295568,15.037638276812045,32.16925942451864
MH,1981-02,NEX-GDDP-CMIP6,NorESM2-LM,18.623100153019514,9.664660588308156,27.58154676215692
ML,1981-02,NEX-GDDP-CMIP6,NorESM2-LM,25.41490890469495,15.547955785936667,35.28186204574511
ArL,1981-03,NEX-GDDP-CMIP6,NorESM2-LM,25.355559514638312,17.90638328365742,32.80473402152354
MH,1981-03,NEX-GDDP-CMIP6,NorESM2-LM,21.04510670684924,13.5114481828556,28.57876310593973
ML,1981-03,NEX-GDDP-CMIP6,NorESM2-LM,27.650142106250602,19.391678919767816,35.90860685762306
ArL,1981-04,NEX-GDDP-CMIP6,NorESM2-LM,29.05279679290269,21.31311147406809,36.79248241968898
MH,1981-04,NEX-GDDP-CMIP6,NorESM2-LM,22.28369496814996,14.536371304355216,30.031012761589665
ML,1981-04,NEX-GDDP-CMIP6,NorESM2-LM,30.01208708312412,21.222034801541692,38.80214137543372
ArL,1981-05,NEX-GDDP-CMIP6,NorESM2-LM,28.442987205848045,22.30846303882352,34.5775109304631
MH,1981-05,NEX-GDDP-CMIP6,NorESM2-LM,21.847978464693497,15.486161975762439,28.209791654650374
ML,1981-05,NEX-GDDP-CMIP6,NorESM2-LM,28.258733711772134,21.785836308258506,34.73162843580227
ArL,1981-06,NEX-GDDP-CMIP6,NorESM2-LM,29.32090621913545,22.26208361549228,36.37973027579009
MH,1981-06,NEX-GDDP-CMIP6,NorESM2-LM,22.479243100894198,15.60394232374518,29.35454639981547
ML,1981-06,NEX-GDDP-CMIP6,NorESM2-LM,27.952483662730003,21.12760950928628,34.77735520356586
ArL,1981-07,NEX-GDDP-CMIP6,NorESM2-LM,28.004971896416112,21.57504160470622,34.43490373655909
MH,1981-07,NEX-GDDP-CMIP6,NorESM2-LM,21.11954163474077,15.066365809041447,27.172718692387868
ML,1981-07,NEX-GDDP-CMIP6,NorESM2-LM,26.147994885887027,20.164221494575788,32.13177031467572
ArL,1981-08,NEX-GDDP-CMIP6,NorESM2-LM,27.31394067951875,21.578287083645876,33.049591378043374
MH,1981-08,NEX-GDDP-CMIP6,NorESM2-LM,20.511045815491887,14.998344310180723,26.023745857348356
ML,1981-08,NEX-GDDP-CMIP6,NorESM2-LM,24.82980907543288,19.471660605654247,30.187959159143336
ArL,1981-09,NEX-GDDP-CMIP6,NorESM2-LM,27.275537818531372,20.351808916865075,34.19926445176483
MH,1981-09,NEX-GDDP-CMIP6,NorESM2-LM,20.565841983205054,13.699516788752439,27.432171493608845
ML,1981-09,NEX-GDDP-CMIP6,NorESM2-LM,26.300932723296857,19.30319214758865,33.29867595619667
ArL,1981-10,NEX-GDDP-CMIP6,NorESM2-LM,27.433632073936455,21.156436715443235,33.71082834110403
MH,1981-10,NEX-GDDP-CMIP6,NorESM2-LM,20.02421794964739,13.392908789697517,26.655528614392516
ML,1981-10,NEX-GDDP-CMIP6,NorESM2-LM,27.156983228840936,20.338176487099986,33.97579312265314
ArL,1981-11,NEX-GDDP-CMIP6,NorESM2-LM,25.94898589211748,18.8960016078201,33.00196889906597
MH,1981-11,NEX-GDDP-CMIP6,NorESM2-LM,19.18262785170275,11.81139469317261,26.55386330049818
ML,1981-11,NEX-GDDP-CMIP6,NorESM2-LM,26.74270169332658,18.67888709682024,34.8065192056103
ArL,1981-12,NEX-GDDP-CMIP6,NorESM2-LM,20.056370071228983,13.266366850401358,26.846370240732544
MH,1981-12,NEX-GDDP-CMIP6,NorESM2-LM,14.8956715276073,7.96896588685424,21.822378458184843
ML,1981-12,NEX-GDDP-CMIP6,NorESM2-LM,21.10353263370135,13.09633808233516,29.110729918051526
