AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,NorESM2-MM,23.43735468931129,16.406185240363342,30.468525914403113
MH,1981-01,NEX-GDDP-CMIP6,NorESM2-MM,17.959272161301374,10.342643717536138,25.575903689070042
ML,1981-01,NEX-GDDP-CMIP6,NorESM2-MM,23.957203508241953,15.72519993137671,32.18920637176717
ArL,1981-02,NEX-GDDP-CMIP6,NorESM2-MM,23.484761298495727,15.994610599606757,30.974913385335956
MH,1981-02,NEX-GDDP-CMIP6,NorESM2-MM,18.44957459107936,10.476817701696827,26.42232864450165
ML,1981-02,NEX-GDDP-CMIP6,NorESM2-MM,25.09794882195464,15.814811556072828,34.38108015819745
ArL,1981-03,NEX-GDDP-CMIP6,NorESM2-MM,25.587482709597307,18.1076112362253,33.06735940947326
MH,1981-03,NEX-GDDP-CMIP6,NorESM2-MM,20.94785747088836,13.29502848230125,28.60068339200826
ML,1981-03,NEX-GDDP-CMIP6,NorESM2-MM,28.09326162958252,19.549340258557255,36.637177396430175
ArL,1981-04,NEX-GDDP-CMIP6,NorESM2-MM,27.600987032857265,20.359211372692133,34.842763551817235
MH,1981-04,NEX-GDDP-CMIP6,NorESM2-MM,21.435202548084682,14.298526941060205,28.571870515379505
ML,1981-04,NEX-GDDP-CMIP6,NorESM2-MM,29.130674361346706,21.31585481586556,36.9454875893102
ArL,1981-05,NEX-GDDP-CMIP6,NorESM2-MM,29.629290991387908,22.509142971852075,36.749443320078655
MH,1981-05,NEX-GDDP-CMIP6,NorESM2-MM,22.56358869289586,15.39223304568706,29.734942372295492
ML,1981-05,NEX-GDDP-CMIP6,NorESM2-MM,29.78382686952157,22.28471737646379,37.28293423147601
ArL,1981-06,NEX-GDDP-CMIP6,NorESM2-MM,30.055771766649602,22.080763108436212,38.03077865522514
MH,1981-06,NEX-GDDP-CMIP6,NorESM2-MM,23.08892749340935,15.187631742342575,30.99022388938839
ML,1981-06,NEX-GDDP-CMIP6,NorESM2-MM,29.592940457151126,20.90342433085141,38.282458527302396
ArL,1981-07,NEX-GDDP-CMIP6,NorESM2-MM,29.543785519407457,22.412870019128764,36.674700189084085
MH,1981-07,NEX-GDDP-CMIP6,NorESM2-MM,22.84732892231,16.321522610028005,29.373137285082194
ML,1981-07,NEX-GDDP-CMIP6,NorESM2-MM,27.886736859920017,20.94682127212069,34.826650927413404
ArL,1981-08,NEX-GDDP-CMIP6,NorESM2-MM,28.772247081537582,21.91435713949634,35.63013613875988
MH,1981-08,NEX-GDDP-CMIP6,NorESM2-MM,21.983604286873923,15.69052099053761,28.2766892533676
ML,1981-08,NEX-GDDP-CMIP6,NorESM2-MM,26.342481601177326,19.998335309582462,32.68662752272705
ArL,1981-09,NEX-GDDP-CMIP6,NorESM2-MM,28.52858347152702,21.84639588313189,35.21077131365701
MH,1981-09,NEX-GDDP-CMIP6,NorESM2-MM,21.610186405435122,15.058319470476144,28.162055060160093
ML,1981-09,NEX-GDDP-CMIP6,NorESM2-MM,26.87807585087201,20.04785070203362,33.70830018382775
ArL,1981-10,NEX-GDDP-CMIP6,NorESM2-MM,26.82885264992512,19.94039510712834,33.71731347175674
MH,1981-10,NEX-GDDP-CMIP6,NorESM2-MM,19.676751138485113,12.534075722685376,26.81942602512607
ML,1981-10,NEX-GDDP-CMIP6,NorESM2-MM,27.3237415567291,19.578549905446806,35.068928112088564
ArL,1981-11,NEX-GDDP-CMIP6,NorESM2-MM,25.762826353748686,18.940528842737375,32.58511915656911
MH,1981-11,NEX-GDDP-CMIP6,NorESM2-MM,19.078694687365093,11.77737628334232,26.38001179329527
ML,1981-11,NEX-GDDP-CMIP6,NorESM2-MM,26.717953243771156,18.421873845280853,35.014035183535285
ArL,1981-12,NEX-GDDP-CMIP6,NorESM2-MM,24.824870715377163,17.852275897400716,31.79746151696967
MH,1981-12,NEX-GDDP-CMIP6,NorESM2-MM,19.00710437643405,11.364881209479691,26.64932916393712
ML,1981-12,NEX-GDDP-CMIP6,NorESM2-MM,26.435755375373816,18.162450569994373,34.70905938716248
ArL,1982-01,NEX-GDDP-CMIP6,NorESM2-MM,21.881535453861463,14.67251927959711,29.09054997125901
MH,1982-01,NEX-GDDP-CMIP6,NorESM2-MM,17.072711844742727,9.439891324680202,24.70553469641107
ML,1982-01,NEX-GDDP-CMIP6,NorESM2-MM,22.736649230555805,14.198431213691014,31.274865535404526
ArL,1982-02,NEX-GDDP-CMIP6,NorESM2-MM,23.684565401755,16.459509121632994,30.909621085491725
