AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,TaiESM1,20.893099672839096,14.463469560285965,27.399410338019578
MH,1981-01,NEX-GDDP-CMIP6,TaiESM1,16.393355201260274,9.558514730060269,23.31543422503644
ML,1981-01,NEX-GDDP-CMIP6,TaiESM1,21.765611651624727,14.017475430786071,29.727120456737374
ArL,1981-02,NEX-GDDP-CMIP6,TaiESM1,21.45456245253208,14.570081233924073,28.810845641482633
MH,1981-02,NEX-GDDP-CMIP6,TaiESM1,16.405260049783283,9.326893621096948,24.08732846657201
ML,1981-02,NEX-GDDP-CMIP6,TaiESM1,22.533979154242687,14.59900542566429,30.84049536382484
ArL,1981-03,NEX-GDDP-CMIP6,TaiESM1,23.4803392511122,14.885016066923697,33.49725566384738
MH,1981-03,NEX-GDDP-CMIP6,TaiESM1,18.033140657807863,9.077341066172918,28.382570871225536
ML,1981-03,NEX-GDDP-CMIP6,TaiESM1,24.38210163436904,14.537278877966093,36.35137674625641
ArL,1981-04,NEX-GDDP-CMIP6,TaiESM1,25.197644823257615,17.276441442024463,34.676311255667024
MH,1981-04,NEX-GDDP-CMIP6,TaiESM1,19.370678912679306,11.33209056373667,29.13493855904515
ML,1981-04,NEX-GDDP-CMIP6,TaiESM1,27.53024809609548,18.30775002924697,38.67476581492681
ArL,1981-05,NEX-GDDP-CMIP6,TaiESM1,27.686129750766305,19.548217507991847,36.60807755531541
MH,1981-05,NEX-GDDP-CMIP6,TaiESM1,20.60778457860709,12.344584953000142,29.972961804460517
ML,1981-05,NEX-GDDP-CMIP6,TaiESM1,29.30063921508346,20.51946645643349,38.719406740956316
ArL,1981-06,NEX-GDDP-CMIP6,TaiESM1,29.062586271146145,22.015353680687127,36.35447107025549
MH,1981-06,NEX-GDDP-CMIP6,TaiESM1,22.26146026255802,15.144271778653446,29.597623994466083
ML,1981-06,NEX-GDDP-CMIP6,TaiESM1,27.465089540223847,20.68617588040429,34.65303321097176
ArL,1981-07,NEX-GDDP-CMIP6,TaiESM1,27.021473571968198,21.693306560418787,32.47938343414603
MH,1981-07,NEX-GDDP-CMIP6,TaiESM1,20.328665914357273,15.40712969172007,25.40510476649019
ML,1981-07,NEX-GDDP-CMIP6,TaiESM1,24.60638519131069,19.472743830322116,29.999349121807118
ArL,1981-08,NEX-GDDP-CMIP6,TaiESM1,26.56093688626532,21.24215520757923,32.06884168936083
MH,1981-08,NEX-GDDP-CMIP6,TaiESM1,19.90122141087487,14.971660462500656,24.96720408582005
ML,1981-08,NEX-GDDP-CMIP6,TaiESM1,24.321615665232404,19.074677396430182,29.8908614365527
ArL,1981-09,NEX-GDDP-CMIP6,TaiESM1,26.805859142518177,21.19230600371154,32.2715129420729
MH,1981-09,NEX-GDDP-CMIP6,TaiESM1,20.278459363848008,14.532769610028538,25.804998139345525
ML,1981-09,NEX-GDDP-CMIP6,TaiESM1,25.233116552270726,19.674762506812417,30.950199249245312
ArL,1981-10,NEX-GDDP-CMIP6,TaiESM1,26.500493558934647,19.99218250467672,33.079527862184506
MH,1981-10,NEX-GDDP-CMIP6,TaiESM1,19.412972191516346,12.706074066286156,26.187281596334437
ML,1981-10,NEX-GDDP-CMIP6,TaiESM1,25.923305572219995,18.812537561810938,33.2023263846287
ArL,1981-11,NEX-GDDP-CMIP6,TaiESM1,24.541401880122255,17.687448879153045,32.14860566026992
MH,1981-11,NEX-GDDP-CMIP6,TaiESM1,18.361128407253307,11.322122337074687,25.795507156012434
ML,1981-11,NEX-GDDP-CMIP6,TaiESM1,25.38392217174948,17.855079618555713,33.265435924766905
ArL,1981-12,NEX-GDDP-CMIP6,TaiESM1,22.95736212803602,15.51253434181758,31.473554238411054
MH,1981-12,NEX-GDDP-CMIP6,TaiESM1,17.555821270608114,9.578609029790075,26.167074031824693
ML,1981-12,NEX-GDDP-CMIP6,TaiESM1,24.043474499163995,15.408191448515419,33.59390475466099
ArL,1982-01,NEX-GDDP-CMIP6,TaiESM1,21.118685456363238,14.567422888724915,28.08653451551967
MH,1982-01,NEX-GDDP-CMIP6,TaiESM1,16.411894981365702,9.406298358496622,23.960364601302707
ML,1982-01,NEX-GDDP-CMIP6,TaiESM1,22.553179548220374,14.798717793589383,30.575314574036167
ArL,1982-02,NEX-GDDP-CMIP6,TaiESM1,22.942899266124254,15.767736445996789,30.332600526012722
MH,1982-02,NEX-GDDP-CMIP6,TaiESM1,18.17838189831212,10.550670695505142,25.991039298240267
ML,1982-02,NEX-GDDP-CMIP6,TaiESM1,24.154266058710764,15.781383314334734,32.70359090466498
ArL,1982-03,NEX-GDDP-CMIP6,TaiESM1,25.055125462812356,16.92681008534653,33.90553556206961
MH,1982-03,NEX-GDDP-CMIP6,TaiESM1,19.792122061250687,11.319497585580873,29.061996735288886
ML,1982-03,NEX-GDDP-CMIP6,TaiESM1,27.313407765312576,18.002151308693637,37.54428802334193
ArL,1982-04,NEX-GDDP-CMIP6,TaiESM1,27.064239208314714,20.171225442284566,33.302708304504456
