AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,NEX-GDDP-CMIP6,UKESM1-0-LL,22.217967268362056,16.092130982191364,28.34380422465298
MH,1981-01,NEX-GDDP-CMIP6,UKESM1-0-LL,17.24335514503715,10.428283731093181,24.05842213554458
ML,1981-01,NEX-GDDP-CMIP6,UKESM1-0-LL,23.663816259480317,16.27152554363646,31.056107523704316
ArL,1981-02,NEX-GDDP-CMIP6,UKESM1-0-LL,22.462105642278622,14.400305675009985,30.52391037412367
MH,1981-02,NEX-GDDP-CMIP6,UKESM1-0-LL,17.336389011330375,9.002447514726514,25.670327862140415
ML,1981-02,NEX-GDDP-CMIP6,UKESM1-0-LL,23.73284880454914,14.310057996327753,33.15563914018276
ArL,1981-03,NEX-GDDP-CMIP6,UKESM1-0-LL,25.32635156827737,17.186032240684927,33.46666666912451
MH,1981-03,NEX-GDDP-CMIP6,UKESM1-0-LL,19.63063099173086,11.34523074166366,27.916036864109945
ML,1981-03,NEX-GDDP-CMIP6,UKESM1-0-LL,27.019361711366958,17.560778304797385,36.47793164918512
ArL,1981-04,NEX-GDDP-CMIP6,UKESM1-0-LL,26.533436367171554,19.690123309406,33.376747176022356
MH,1981-04,NEX-GDDP-CMIP6,UKESM1-0-LL,20.56247694686772,13.803036837188987,27.32192003306452
ML,1981-04,NEX-GDDP-CMIP6,UKESM1-0-LL,28.263545925901116,20.830062502853377,35.69703433341231
ArL,1981-05,NEX-GDDP-CMIP6,UKESM1-0-LL,28.554493214150202,21.38046266296632,35.72852190244328
MH,1981-05,NEX-GDDP-CMIP6,UKESM1-0-LL,21.694483058519165,14.127200265293773,29.261769572392122
ML,1981-05,NEX-GDDP-CMIP6,UKESM1-0-LL,29.308912831453465,21.404968587180164,37.21285591209085
ArL,1981-06,NEX-GDDP-CMIP6,UKESM1-0-LL,28.326784786898838,22.435927914461697,34.21763831090359
MH,1981-06,NEX-GDDP-CMIP6,UKESM1-0-LL,21.528342502442097,15.405231334652202,27.651455166759114
ML,1981-06,NEX-GDDP-CMIP6,UKESM1-0-LL,27.47488615538973,21.536862666350917,33.41291023739246
ArL,1981-07,NEX-GDDP-CMIP6,UKESM1-0-LL,28.798493864266582,23.031555419973948,34.56543280952286
MH,1981-07,NEX-GDDP-CMIP6,UKESM1-0-LL,21.688153922825926,16.303813543038096,27.072492632456402
ML,1981-07,NEX-GDDP-CMIP6,UKESM1-0-LL,26.34966587153034,20.84934419084417,31.849989611985848
ArL,1981-08,NEX-GDDP-CMIP6,UKESM1-0-LL,28.56496129645891,22.113131894734607,35.01678579698035
MH,1981-08,NEX-GDDP-CMIP6,UKESM1-0-LL,21.69325736145833,15.44867929579025,27.937837866217578
ML,1981-08,NEX-GDDP-CMIP6,UKESM1-0-LL,26.252449730036492,19.879511519014827,32.62539751318968
ArL,1981-09,NEX-GDDP-CMIP6,UKESM1-0-LL,28.33520421412535,21.888027435354797,34.782381966630474
MH,1981-09,NEX-GDDP-CMIP6,UKESM1-0-LL,21.357465975422194,14.821690187994262,27.893245574446848
ML,1981-09,NEX-GDDP-CMIP6,UKESM1-0-LL,27.139899894318685,20.462121791574912,33.81767873715276
ArL,1981-10,NEX-GDDP-CMIP6,UKESM1-0-LL,27.692036201169138,20.79205915961775,34.59200913525225
MH,1981-10,NEX-GDDP-CMIP6,UKESM1-0-LL,20.691864838828856,13.727423745576258,27.656303385504888
ML,1981-10,NEX-GDDP-CMIP6,UKESM1-0-LL,27.53962965436538,19.796553916736123,35.2827028462624
ArL,1981-11,NEX-GDDP-CMIP6,UKESM1-0-LL,26.823228398204346,20.612700476112405,33.03375404102008
MH,1981-11,NEX-GDDP-CMIP6,UKESM1-0-LL,19.94385437656634,13.42197381047758,26.465734487909284
ML,1981-11,NEX-GDDP-CMIP6,UKESM1-0-LL,27.304096484410696,20.558279586134404,34.04991316422659
ArL,1981-12,NEX-GDDP-CMIP6,UKESM1-0-LL,24.792343748178336,18.016415116406108,31.56827177055321
MH,1981-12,NEX-GDDP-CMIP6,UKESM1-0-LL,18.830428054383788,11.747825213700796,25.913025826718
ML,1981-12,NEX-GDDP-CMIP6,UKESM1-0-LL,25.842986093079478,18.068337622587514,33.617639962663816
ArL,1982-01,NEX-GDDP-CMIP6,UKESM1-0-LL,23.00520638210522,16.606400777915468,29.40401300990902
MH,1982-01,NEX-GDDP-CMIP6,UKESM1-0-LL,17.886834849086593,11.202350582762575,24.571319057533874
ML,1982-01,NEX-GDDP-CMIP6,UKESM1-0-LL,24.254024035813977,17.079542049968065,31.428509472442283
ArL,1982-02,NEX-GDDP-CMIP6,UKESM1-0-LL,22.118530738834927,14.858510455141849,29.378555440116582
MH,1982-02,NEX-GDDP-CMIP6,UKESM1-0-LL,17.43538127145742,9.853013120954607,25.017752142167005
ML,1982-02,NEX-GDDP-CMIP6,UKESM1-0-LL,23.813244062692625,15.713908525554714,31.912583491992077
ArL,1982-03,NEX-GDDP-CMIP6,UKESM1-0-LL,25.503149388472156,17.871983406366198,33.13431732889062
MH,1982-03,NEX-GDDP-CMIP6,UKESM1-0-LL,20.454719155269498,12.685858002163757,28.223582540763775
ML,1982-03,NEX-GDDP-CMIP6,UKESM1-0-LL,28.029465981170695,19.458106017130174,36.600828664820085
ArL,1982-04,NEX-GDDP-CMIP6,UKESM1-0-LL,27.735592594547953,20.711921738737903,34.759261637346675
MH,1982-04,NEX-GDDP-CMIP6,UKESM1-0-LL,21.95035322339709,14.762525980041744,29.138181855794212
ML,1982-04,NEX-GDDP-CMIP6,UKESM1-0-LL,29.182001677597444,21.517577518661003,36.846421877496724
ArL,1982-05,NEX-GDDP-CMIP6,UKESM1-0-LL,29.370397878086266,21.952446377717912,36.78835039990001
MH,1982-05,NEX-GDDP-CMIP6,UKESM1-0-LL,22.797885327790073,15.408329617095452,30.18744747107092
