AGRO_ZONE,date,dataset,model,Tmean,Tmin,Tmax
ArL,1981-01,ERA5,ERA5_Reanalysis,22.992780143473233,14.637967885740126,32.89275558454332
MH,1981-01,ERA5,ERA5_Reanalysis,18.782730708591227,9.826600243902528,28.293062343302896
ML,1981-01,ERA5,ERA5_Reanalysis,24.770248112145637,14.819440695941692,35.827858772584385
ArL,1981-02,ERA5,ERA5_Reanalysis,22.59049664356956,12.018151471613503,35.400742352666214
MH,1981-02,ERA5,ERA5_Reanalysis,19.032183856080486,8.308619627517233,30.78035762996672
ML,1981-02,ERA5,ERA5_Reanalysis,24.687796076237532,12.028501786203456,39.0845600404036
ArL,1981-03,ERA5,ERA5_Reanalysis,25.299104838238463,14.7103488212963,35.94815021534412
MH,1981-03,ERA5,ERA5_Reanalysis,20.51197959054491,11.96130472626091,29.512486102967976
ML,1981-03,ERA5,ERA5_Reanalysis,27.244661684224365,15.430440073730853,38.11171207581237
ArL,1981-04,ERA5,ERA5_Reanalysis,27.19320302576151,16.05223904469261,38.73496922443645
MH,1981-04,ERA5,ERA5_Reanalysis,21.25327568126548,11.383769556385067,30.61896094914152
ML,1981-04,ERA5,ERA5_Reanalysis,28.954307401223843,16.276477206824406,40.331436297665405
ArL,1981-05,ERA5,ERA5_Reanalysis,29.987394450211017,21.092931157774128,39.40033571981723
MH,1981-05,ERA5,ERA5_Reanalysis,22.842315126479562,13.947127488104533,32.14580545438337
ML,1981-05,ERA5,ERA5_Reanalysis,29.803826890921787,20.738680662457522,39.90878124250995
ArL,1981-06,ERA5,ERA5_Reanalysis,30.77325558860307,22.802403111373817,39.20671550106638
MH,1981-06,ERA5,ERA5_Reanalysis,23.057593555600327,14.288365116703348,32.711203747886046
ML,1981-06,ERA5,ERA5_Reanalysis,28.589426370290564,20.46367676137922,38.6395995781664
ArL,1981-07,ERA5,ERA5_Reanalysis,27.328310307973922,21.672143112278075,36.232167093993745
MH,1981-07,ERA5,ERA5_Reanalysis,20.141964340520044,14.527032520311785,28.47251415268191
ML,1981-07,ERA5,ERA5_Reanalysis,24.195250956589003,18.98925716157725,33.791283863142894
ArL,1981-08,ERA5,ERA5_Reanalysis,28.04194545604887,21.460148934629455,36.03306531358539
MH,1981-08,ERA5,ERA5_Reanalysis,20.36726023287222,14.445761712796989,27.612730881890734
ML,1981-08,ERA5,ERA5_Reanalysis,24.53307218252092,18.676615122202303,31.973108775081073
ArL,1981-09,ERA5,ERA5_Reanalysis,27.493226953173593,20.02298382557951,36.15876585161776
MH,1981-09,ERA5,ERA5_Reanalysis,20.294007329907235,12.540080417911097,29.0983966406753
ML,1981-09,ERA5,ERA5_Reanalysis,24.515793495373302,17.4938439067565,33.62896556868182
ArL,1981-10,ERA5,ERA5_Reanalysis,27.96866229796291,19.730887177398515,36.42375884801575
MH,1981-10,ERA5,ERA5_Reanalysis,20.221911225878323,12.53987513738287,28.773171323219724
ML,1981-10,ERA5,ERA5_Reanalysis,26.741052446720666,18.118281727937845,35.870858142705124
ArL,1981-11,ERA5,ERA5_Reanalysis,25.09918799863885,17.49941195671773,33.92226457753055
MH,1981-11,ERA5,ERA5_Reanalysis,19.01669606529452,11.592806748044255,28.08202885059575
ML,1981-11,ERA5,ERA5_Reanalysis,25.951207978922252,17.18576146997269,35.50511387671061
ArL,1981-12,ERA5,ERA5_Reanalysis,23.549136312201746,15.026882530763269,33.13710802174754
MH,1981-12,ERA5,ERA5_Reanalysis,18.00121297079258,9.004175879541265,27.742829326587287
ML,1981-12,ERA5,ERA5_Reanalysis,24.77494460914676,14.169090325611215,36.11716288976903
ArL,1982-01,ERA5,ERA5_Reanalysis,22.802215037473314,12.916095236148822,34.78659987457782
MH,1982-01,ERA5,ERA5_Reanalysis,18.724122621695958,9.094100169158853,30.30400077429159
ML,1982-01,ERA5,ERA5_Reanalysis,24.518976851046073,12.445410107207893,37.9194717039411
ArL,1982-02,ERA5,ERA5_Reanalysis,21.48622582128201,12.314414274509577,35.66995101243411
MH,1982-02,ERA5,ERA5_Reanalysis,18.43554444252333,9.382050319559003,29.276196523876727
ML,1982-02,ERA5,ERA5_Reanalysis,23.408113667701997,11.59244461003843,37.528730665810215
ArL,1982-03,ERA5,ERA5_Reanalysis,24.44827378854759,14.039863236401844,37.824886954406786
