Date,Period,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
2026-01,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,22.734226774613667,15.292117781040032,30.17633794336715
2026-01,NEAR_TERM_2026_2050,NESM3,SSP245,MH,18.026144848216124,10.278895349329474,25.773398125627086
2026-01,NEAR_TERM_2026_2050,NESM3,SSP245,ML,23.64408706208058,15.132486753275684,32.15568688492258
2026-01,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,22.37143454950557,14.592098557253134,30.150772326030854
2026-02,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,22.35749365506763,14.190593373795837,30.524393554652804
2026-02,NEAR_TERM_2026_2050,NESM3,SSP245,MH,17.42966050298131,8.765359583885449,26.093956403337007
2026-02,NEAR_TERM_2026_2050,NESM3,SSP245,ML,23.661750836926206,14.350659982195058,32.97284730029335
2026-02,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,22.078019395270207,13.529190047326972,30.626849510320547
2026-03,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,26.459994548908227,18.041669967243685,34.87831985490984
2026-03,NEAR_TERM_2026_2050,NESM3,SSP245,MH,20.825727859534307,12.13434448738276,29.517111620286816
2026-03,NEAR_TERM_2026_2050,NESM3,SSP245,ML,28.250836573977665,19.28212091238332,37.21955214640451
2026-03,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,26.226191218341352,17.621140834747166,34.83124181552733
2026-04,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,28.849514928387283,22.172985379651188,35.52604538579773
2026-04,NEAR_TERM_2026_2050,NESM3,SSP245,MH,22.727075120899574,16.024896885146646,29.429262774024902
2026-04,NEAR_TERM_2026_2050,NESM3,SSP245,ML,30.25230400358527,23.386363470998468,37.11824316299253
2026-04,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,28.4418845830822,21.71087894276902,35.172891710723555
2026-05,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,30.21024654880718,21.78917267210042,38.631322518284186
2026-05,NEAR_TERM_2026_2050,NESM3,SSP245,MH,23.488552367800292,15.014771614085063,31.96233098834425
2026-05,NEAR_TERM_2026_2050,NESM3,SSP245,ML,30.892625053857202,21.933328155673653,39.851914965766845
2026-05,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,29.526333158160302,20.949906380895325,38.10275904459124
2026-06,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,30.7781052681043,22.966269856030614,38.5899444688512
2026-06,NEAR_TERM_2026_2050,NESM3,SSP245,MH,24.02151160848657,16.239301425103953,31.803717335360215
2026-06,NEAR_TERM_2026_2050,NESM3,SSP245,ML,30.202210587250065,22.666986360403662,37.73743184927698
2026-06,NEAR_TERM_2026_2050,NESM3,SSP245,OVERALL,29.7378699446262,22.008215330989376,37.46752515996673
2026-07,NEAR_TERM_2026_2050,NESM3,SSP245,ArL,29.820617937323327,23.215987726746146,36.42524524187759
2026-07,NEAR_TERM_2026_2050,NESM3,SSP245,MH,23.004688394609065,16.733639765315466,29.275727738819963
2026-07,NEAR_TERM_2026_2050,NESM3,SSP245,ML,27.535597696018726,21.2485516344047,33.82263956230172
