Date,Period,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
1985-01,HISTORICAL,NESM3,HISTORICAL,ArL,22.211160232778187,16.03603673070723,28.38628018906743
1985-01,HISTORICAL,NESM3,HISTORICAL,MH,17.400885386791273,10.545368243568628,24.256397089600366
1985-01,HISTORICAL,NESM3,HISTORICAL,ML,23.724913832982875,16.376559174052133,31.073270511557563
1985-01,HISTORICAL,NESM3,HISTORICAL,OVERALL,22.003873819993956,15.413828467997192,28.593916745640094
1985-02,HISTORICAL,NESM3,HISTORICAL,ArL,23.629185433357957,15.954612312512099,31.303759193962602
1985-02,HISTORICAL,NESM3,HISTORICAL,MH,18.199867637549552,9.98011858580206,26.41961585421837
1985-02,HISTORICAL,NESM3,HISTORICAL,ML,24.688320390075752,15.448568041225373,33.92806890026511
1985-02,HISTORICAL,NESM3,HISTORICAL,OVERALL,23.215228729143895,15.033548167688794,31.396908740990835
1985-03,HISTORICAL,NESM3,HISTORICAL,ArL,25.982476251460145,18.536909038550228,33.42804448147808
1985-03,HISTORICAL,NESM3,HISTORICAL,MH,20.34939852011494,12.729935579550581,27.968858426284505
1985-03,HISTORICAL,NESM3,HISTORICAL,ML,27.0774669571982,18.658894391613714,35.49603889415177
1985-03,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.552637703356112,17.813790459859202,33.2914850262987
1985-04,HISTORICAL,NESM3,HISTORICAL,ArL,26.985921148633075,19.207999373322686,34.76384458297897
1985-04,HISTORICAL,NESM3,HISTORICAL,MH,20.569683154945125,12.817043785440434,28.32231737341995
1985-04,HISTORICAL,NESM3,HISTORICAL,ML,27.472298559017492,18.549833065058063,36.394764008393174
1985-04,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.284774107719805,18.190736835879594,34.37881149677503
1985-05,HISTORICAL,NESM3,HISTORICAL,ArL,28.211496947582923,21.745249341278363,34.677743851237175
1985-05,HISTORICAL,NESM3,HISTORICAL,MH,21.128854283302108,14.505137046828464,27.752577572029118
1985-05,HISTORICAL,NESM3,HISTORICAL,ML,27.97199399403365,21.15192401626845,34.79206550993829
1985-05,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.221430724910135,20.6370107385721,33.80585132727817
1985-06,HISTORICAL,NESM3,HISTORICAL,ArL,29.70925997570879,22.903458020252028,36.51506162755121
1985-06,HISTORICAL,NESM3,HISTORICAL,MH,22.502749391533587,15.634868602602856,29.37063474445869
1985-06,HISTORICAL,NESM3,HISTORICAL,ML,28.45840619953122,21.658594837843562,35.258208443841625
1985-06,HISTORICAL,NESM3,HISTORICAL,OVERALL,28.42134349454425,21.609329418470224,35.23335543730516
1985-07,HISTORICAL,NESM3,HISTORICAL,ArL,27.316107299613865,21.940638193777872,32.6915755900285
1985-07,HISTORICAL,NESM3,HISTORICAL,MH,20.504292468099695,15.412744777269166,25.595841820819462
1985-07,HISTORICAL,NESM3,HISTORICAL,ML,24.878116475586683,19.718862105843986,30.037379476743713
1985-07,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.750484731719162,20.472293381774044,31.028678178510493
1985-08,HISTORICAL,NESM3,HISTORICAL,ArL,25.808172818216985,20.672324537024604,30.9440196312172
1985-08,HISTORICAL,NESM3,HISTORICAL,MH,19.245961260220735,14.2431834991629,24.248734680523064
1985-08,HISTORICAL,NESM3,HISTORICAL,ML,23.492385523192144,18.7951421454843,28.189627866556936
1985-08,HISTORICAL,NESM3,HISTORICAL,OVERALL,24.31033413705669,19.314460967465397,29.306205696895237
1985-09,HISTORICAL,NESM3,HISTORICAL,ArL,26.72299323935888,20.22249782317198,33.223490002292216
1985-09,HISTORICAL,NESM3,HISTORICAL,MH,20.098314339951198,13.577359404831347,26.619270771598174
1985-09,HISTORICAL,NESM3,HISTORICAL,ML,25.047761645989343,18.58960185639612,31.5059252920771
1985-09,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.393408461258513,18.90290300311311,31.88391598238806
1985-10,HISTORICAL,NESM3,HISTORICAL,ArL,26.703446871533604,19.683382459578716,33.72351375794534
1985-10,HISTORICAL,NESM3,HISTORICAL,MH,19.801034640981676,12.614903078619259,26.987164136317674
1985-10,HISTORICAL,NESM3,HISTORICAL,ML,26.281574355711314,18.656785620277716,33.906365797378655
1985-10,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.686495193372078,18.476826013139867,32.896166056290824
1985-11,HISTORICAL,NESM3,HISTORICAL,ArL,25.852615552927176,19.43272480273398,32.27250653516849
1985-11,HISTORICAL,NESM3,HISTORICAL,MH,19.12948700009052,12.455469535470073,25.803503902479775
1985-11,HISTORICAL,NESM3,HISTORICAL,ML,26.09589202189814,18.808165839608368,33.38361165037637
1985-11,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.044082806484038,18.34976394200091,31.73839969524309
1985-12,HISTORICAL,NESM3,HISTORICAL,ArL,24.22822912930767,17.53381267111706,30.922645210149014
1985-12,HISTORICAL,NESM3,HISTORICAL,MH,18.07581533609257,10.829756717273671,25.32188257854572
1985-12,HISTORICAL,NESM3,HISTORICAL,ML,24.864125256089096,16.976959139348143,32.7512901423185
1985-12,HISTORICAL,NESM3,HISTORICAL,OVERALL,23.602489120571995,16.504538818494865,30.70044001914327
1986-01,HISTORICAL,NESM3,HISTORICAL,ArL,21.16247226483041,14.179119770685487,28.14582534017992
1986-01,HISTORICAL,NESM3,HISTORICAL,MH,15.85405621690115,8.26109123219648,23.447025236441398
1986-01,HISTORICAL,NESM3,HISTORICAL,ML,21.882137466330377,13.489016360275258,30.2752520676161
1986-01,HISTORICAL,NESM3,HISTORICAL,OVERALL,20.669270463802192,13.214150761337029,28.124389065748712
1986-02,HISTORICAL,NESM3,HISTORICAL,ArL,21.544273091501122,13.64537737240775,29.443172870351923
1986-02,HISTORICAL,NESM3,HISTORICAL,MH,16.314780912396735,7.862972492475388,24.76659185409032
1986-02,HISTORICAL,NESM3,HISTORICAL,ML,22.726955064393223,13.418496501245517,32.03541112639247
1986-02,HISTORICAL,NESM3,HISTORICAL,OVERALL,21.19129143477547,12.828548192538387,29.554036496449957
1986-03,HISTORICAL,NESM3,HISTORICAL,ArL,24.239605946673674,16.290362183189735,32.188848233290756
1986-03,HISTORICAL,NESM3,HISTORICAL,MH,18.666456495278343,10.572935951747626,26.759970308571024
1986-03,HISTORICAL,NESM3,HISTORICAL,ML,25.57826887622554,16.470012295307104,34.68652988431054
1986-03,HISTORICAL,NESM3,HISTORICAL,OVERALL,23.88634093946549,15.59584546256858,32.176835795122884
1986-04,HISTORICAL,NESM3,HISTORICAL,ArL,26.453720280580608,17.464097230877663,35.443342506187506
1986-04,HISTORICAL,NESM3,HISTORICAL,MH,20.281474419539325,11.546085030455757,29.016871712931938
1986-04,HISTORICAL,NESM3,HISTORICAL,ML,27.753527270276003,17.794318474044438,37.71273595504819
1986-04,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.01289461916651,16.786567096182768,35.23922242346623
1986-05,HISTORICAL,NESM3,HISTORICAL,ArL,28.09809884076232,20.55059270029249,35.64560334605207
1986-05,HISTORICAL,NESM3,HISTORICAL,MH,21.072528722737765,13.77798786685257,28.367068644327027
1986-05,HISTORICAL,NESM3,HISTORICAL,ML,27.866284794943297,19.745071382153405,35.9875029336109
1986-05,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.11711394185298,19.442587482404246,34.79164100170301
1986-06,HISTORICAL,NESM3,HISTORICAL,ArL,28.024559178441827,21.43361288551042,34.61550471667474
1986-06,HISTORICAL,NESM3,HISTORICAL,MH,20.974859624101512,14.333493421498263,27.61622318917905
1986-06,HISTORICAL,NESM3,HISTORICAL,ML,26.429882054576247,19.89650914127417,32.96325549842497
1986-06,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.660845686006443,20.07994104543619,33.24174959723884
1986-07,HISTORICAL,NESM3,HISTORICAL,ArL,28.74830597210095,22.477951070623977,35.018659368518286
1986-07,HISTORICAL,NESM3,HISTORICAL,MH,22.137191096956727,16.347475309121346,27.926901030973276
1986-07,HISTORICAL,NESM3,HISTORICAL,ML,26.452161094827172,20.53799340392311,32.36633117096195
1986-07,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.24628083765326,21.137325876326514,33.3552347635808
1986-08,HISTORICAL,NESM3,HISTORICAL,ArL,28.45784783290151,21.61601771430039,35.29967339945628
1986-08,HISTORICAL,NESM3,HISTORICAL,MH,22.104285698174746,15.710909403323246,28.497654758433764
1986-08,HISTORICAL,NESM3,HISTORICAL,ML,25.994032406859212,19.501413189015167,32.48665270808845
1986-08,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.94348674160748,20.25792192619955,33.62904799888877
1986-09,HISTORICAL,NESM3,HISTORICAL,ArL,28.40822198075149,21.782933790023666,35.03351130569573
1986-09,HISTORICAL,NESM3,HISTORICAL,MH,21.78308228498166,15.096609903034329,28.4695581726058
1986-09,HISTORICAL,NESM3,HISTORICAL,ML,27.348768476398455,20.787254619946726,33.910287901360796
1986-09,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.249270843995593,20.63450422459557,33.86404042372571
1986-10,HISTORICAL,NESM3,HISTORICAL,ArL,27.627501933069116,20.981275248568217,34.27373035901512
1986-10,HISTORICAL,NESM3,HISTORICAL,MH,20.6847131341042,13.93570184245147,27.43372071337747
1986-10,HISTORICAL,NESM3,HISTORICAL,ML,27.68978077990895,20.49579733046763,34.883763088006205
1986-10,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.740368878698973,19.92824548009562,33.552492610713955
1986-11,HISTORICAL,NESM3,HISTORICAL,ArL,25.728105467188573,18.246157365010657,33.210057000208494
1986-11,HISTORICAL,NESM3,HISTORICAL,MH,19.023569903791028,11.335621888215764,26.71151291716234
1986-11,HISTORICAL,NESM3,HISTORICAL,ML,26.749205539834364,18.295203702270445,35.20320535775432
1986-11,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.14043266528214,17.361365927621048,32.919500058044896
1986-12,HISTORICAL,NESM3,HISTORICAL,ArL,25.179532905218633,18.770337974110284,31.588727389580164
1986-12,HISTORICAL,NESM3,HISTORICAL,MH,19.492148828416067,12.568981928632915,26.415316397915777
1986-12,HISTORICAL,NESM3,HISTORICAL,ML,26.81778583624141,19.315915864396942,34.31965782772984
1986-12,HISTORICAL,NESM3,HISTORICAL,OVERALL,24.894439126298334,18.114347711981868,31.67453100556767
1987-01,HISTORICAL,NESM3,HISTORICAL,ArL,22.325445745749004,15.08255434844088,29.56834267751274
1987-01,HISTORICAL,NESM3,HISTORICAL,MH,17.324702672304703,9.557575936267083,25.091827887010872
1987-01,HISTORICAL,NESM3,HISTORICAL,ML,22.958002012153916,14.401920610069812,31.51407789031116
1987-01,HISTORICAL,NESM3,HISTORICAL,OVERALL,21.847309106818358,14.170616378601874,29.524003128307058
1987-02,HISTORICAL,NESM3,HISTORICAL,ArL,21.959698370954694,14.339835371545547,29.579561058074813
1987-02,HISTORICAL,NESM3,HISTORICAL,MH,17.357911948775335,9.353086219277069,25.36273750464339
1987-02,HISTORICAL,NESM3,HISTORICAL,ML,23.31149933552379,14.365965178484835,32.257034999493555
1987-02,HISTORICAL,NESM3,HISTORICAL,OVERALL,21.73462493443256,13.695766079877604,29.773484065093964
1987-03,HISTORICAL,NESM3,HISTORICAL,ArL,25.06233289630799,16.729176310614626,33.39549024971188
1987-03,HISTORICAL,NESM3,HISTORICAL,MH,19.780132820172827,11.29235479188982,28.26791042678244
1987-03,HISTORICAL,NESM3,HISTORICAL,ML,26.621978576972264,17.06251734307948,36.18143291821702
1987-03,HISTORICAL,NESM3,HISTORICAL,OVERALL,24.807742708622314,16.112847003044664,33.50263710660147
1987-04,HISTORICAL,NESM3,HISTORICAL,ArL,27.820301605883895,20.574186739506832,35.06641252961196
1987-04,HISTORICAL,NESM3,HISTORICAL,MH,21.84428069497863,14.84379002424608,28.84476827343964
1987-04,HISTORICAL,NESM3,HISTORICAL,ML,29.14184220775889,21.35232574262265,36.93135166878769
1987-04,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.409968570020293,20.04454863324597,34.77538391457116
1987-05,HISTORICAL,NESM3,HISTORICAL,ArL,26.41077923322011,18.149350306959327,34.67220647875866
1987-05,HISTORICAL,NESM3,HISTORICAL,MH,19.919488913991618,11.613933651494476,28.225030641599734
1987-05,HISTORICAL,NESM3,HISTORICAL,ML,26.13991203001595,17.29933824783004,34.98047927176545
1987-05,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.48833694223581,17.06091580871189,33.91575338976425
1987-06,HISTORICAL,NESM3,HISTORICAL,ArL,29.74593129160732,22.678006030891098,36.813855678348
1987-06,HISTORICAL,NESM3,HISTORICAL,MH,22.792696264655074,15.735021126002255,29.850360555553237
1987-06,HISTORICAL,NESM3,HISTORICAL,ML,28.6204144719572,21.75854427541062,35.482283571743494
1987-06,HISTORICAL,NESM3,HISTORICAL,OVERALL,28.524986810967505,21.516222323244804,35.53374929952317
1987-07,HISTORICAL,NESM3,HISTORICAL,ArL,27.847721148865556,21.86355320083074,33.831888192563405
1987-07,HISTORICAL,NESM3,HISTORICAL,MH,21.119796780214475,15.422372812722271,26.81722112803951
1987-07,HISTORICAL,NESM3,HISTORICAL,ML,25.729578907355695,20.137562564378968,31.321596913306394
1987-07,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.381604938761082,20.54413188831441,32.219078256197484
1987-08,HISTORICAL,NESM3,HISTORICAL,ArL,29.305735814374863,22.764889358945595,35.84658346257475
1987-08,HISTORICAL,NESM3,HISTORICAL,MH,22.347179253060684,16.10396099312784,28.590389484662893
1987-08,HISTORICAL,NESM3,HISTORICAL,ML,26.95388258048617,20.6476281399445,33.26013568797368
1987-08,HISTORICAL,NESM3,HISTORICAL,OVERALL,27.744324386351874,21.30763018872807,34.18101788198801
1987-09,HISTORICAL,NESM3,HISTORICAL,ArL,27.75654722325433,21.277986678513315,34.2351110708856
1987-09,HISTORICAL,NESM3,HISTORICAL,MH,20.963300837142423,14.521631785402866,27.40496811123926
1987-09,HISTORICAL,NESM3,HISTORICAL,ML,26.93785552867059,20.477933722329563,33.39776891759928
1987-09,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.64463895183657,20.176436448805436,33.11284096516944
1987-10,HISTORICAL,NESM3,HISTORICAL,ArL,26.139469911402934,18.63358042002946,33.64535242181534
1987-10,HISTORICAL,NESM3,HISTORICAL,MH,19.32197304815824,11.781019260320736,26.86292022151118
1987-10,HISTORICAL,NESM3,HISTORICAL,ML,26.412911013149735,18.02517741212367,34.80063993734024
1987-10,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.328375094626406,17.571718628929943,33.08502540653504
1987-11,HISTORICAL,NESM3,HISTORICAL,ArL,25.067207010257246,17.958664377634353,32.175751763843174
1987-11,HISTORICAL,NESM3,HISTORICAL,MH,18.624797363612,11.379671883201986,25.869926903661916
1987-11,HISTORICAL,NESM3,HISTORICAL,ML,26.423258638904446,18.337371215374496,34.509140324505545
1987-11,HISTORICAL,NESM3,HISTORICAL,OVERALL,24.607450304327685,17.209165958757534,32.005734746274655
1987-12,HISTORICAL,NESM3,HISTORICAL,ArL,23.098225749386128,16.02679740597813,30.16965520098647
1987-12,HISTORICAL,NESM3,HISTORICAL,MH,17.269656460539068,9.65114727077109,24.88816594795885
1987-12,HISTORICAL,NESM3,HISTORICAL,ML,24.195981546071806,15.784227766617994,32.60773387209531
1987-12,HISTORICAL,NESM3,HISTORICAL,OVERALL,22.644616502558055,15.128977318239878,30.160255718133566
1988-01,HISTORICAL,NESM3,HISTORICAL,ArL,22.885405601948232,16.362258773638917,29.408552239414256
1988-01,HISTORICAL,NESM3,HISTORICAL,MH,18.07041617212373,11.041015375303234,25.099819308818148
1988-01,HISTORICAL,NESM3,HISTORICAL,ML,24.38459667487249,16.677744009548793,32.091451021003614
1988-01,HISTORICAL,NESM3,HISTORICAL,OVERALL,22.673523693664293,15.75506301963239,29.591985061869554
1988-02,HISTORICAL,NESM3,HISTORICAL,ArL,24.693443692171037,17.58280341195547,31.804083265398916
1988-02,HISTORICAL,NESM3,HISTORICAL,MH,19.4740843569028,11.52216145678998,27.42599654981875
1988-02,HISTORICAL,NESM3,HISTORICAL,ML,26.935297469033934,18.605451915175333,35.26514165417135
1988-02,HISTORICAL,NESM3,HISTORICAL,OVERALL,24.638488038370124,17.08034420514851,32.19662947780082
1988-03,HISTORICAL,NESM3,HISTORICAL,ArL,25.989714720846926,18.51617805866983,33.46325186230096
1988-03,HISTORICAL,NESM3,HISTORICAL,MH,20.810102867802414,13.286730966953003,28.333465624126923
1988-03,HISTORICAL,NESM3,HISTORICAL,ML,28.274699371761457,19.983891957340873,36.565511757270386
1988-03,HISTORICAL,NESM3,HISTORICAL,OVERALL,25.952586167303966,18.24603724663641,33.65913535496126
1988-04,HISTORICAL,NESM3,HISTORICAL,ArL,26.70039650167236,20.140617374075372,33.26017517167918
1988-04,HISTORICAL,NESM3,HISTORICAL,MH,21.103464303214352,14.932238002251069,27.27469416773118
1988-04,HISTORICAL,NESM3,HISTORICAL,ML,28.695282290049793,21.479451344324985,35.9111099321186
1988-04,HISTORICAL,NESM3,HISTORICAL,OVERALL,26.527776005863167,19.835409031715308,33.220142261092306
1988-05,HISTORICAL,NESM3,HISTORICAL,ArL,27.645732000458306,19.879387347734824,35.41207640161566
1988-05,HISTORICAL,NESM3,HISTORICAL,MH,21.39395313412802,13.732475425867001,29.055424492483855
1988-05,HISTORICAL,NESM3,HISTORICAL,ML,29.449065653854635,21.303806498313683,37.594322236913094
