Date,Source,Model,Scenario,AGRO_ZONE,Tmean,Tmin,Tmax
2015-01,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,22.50638667416209,15.62011571193435,29.39266521156753
2015-01,CMIP6,MPI-ESM1-2-LR,SSP245,MH,17.467226021104462,9.952201442672022,24.982250946797347
2015-01,CMIP6,MPI-ESM1-2-LR,SSP245,ML,23.834541769982103,15.605943865668104,32.06312873790177
2015-01,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,22.218322888833775,14.876755932371324,29.55989112945174
2015-02,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,23.556127474699743,16.03177579410245,31.08047849168286
2015-02,CMIP6,MPI-ESM1-2-LR,SSP245,MH,18.36340305407953,10.475200137766514,26.25160206784665
2015-02,CMIP6,MPI-ESM1-2-LR,SSP245,ML,24.88349815351936,16.05022622687354,33.71677173422237
2015-02,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,23.248457209052162,15.312063970074183,31.18485002605613
2015-03,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.423744374286596,17.683531412772002,35.16395799724675
2015-03,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.943045383764492,12.056577041613599,29.82951925727808
2015-03,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.206269924478708,18.266054176570226,38.14648966709137
2015-03,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.206413999162258,17.113302009559106,35.29952820803618
2015-04,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.459058792175004,21.129402970861097,35.7887147631274
2015-04,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.27134614715537,14.96099824411896,29.58168821290917
2015-04,CMIP6,MPI-ESM1-2-LR,SSP245,ML,29.473888879278647,21.578909361945897,37.368866015839025
2015-04,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.93474898541819,20.45084923105708,35.418647334501614
2015-05,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.06544669987874,22.338520530626973,35.79237430262393
2015-05,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.88543175981804,14.933829562988969,28.83703279084421
2015-05,CMIP6,MPI-ESM1-2-LR,SSP245,ML,29.690603501714897,22.454610370109364,36.92660366863647
2015-05,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.305997672818503,21.40875834982404,35.203239716503504
2015-06,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,31.30607041905997,24.136666644575126,38.47547699330273
2015-06,CMIP6,MPI-ESM1-2-LR,SSP245,MH,24.29437225928835,16.92942241460968,31.65932472495653
2015-06,CMIP6,MPI-ESM1-2-LR,SSP245,ML,30.326315341055018,23.459134394866552,37.19349665728866
2015-06,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,30.11847406441383,23.00938356216554,37.22756649680252
2015-07,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.393933729613103,23.646966815143927,35.140898846251666
2015-07,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.462843106542962,17.041796851849334,27.88388707923944
2015-07,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.90504414326438,21.607828420857803,32.20225759189963
2015-07,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.79759733956114,22.21877376677523,33.37641888973699
2015-08,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.37143165020188,22.44759042858063,34.29527532459322
2015-08,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.704560523393607,16.022249288876793,27.386869649543467
2015-08,CMIP6,MPI-ESM1-2-LR,SSP245,ML,25.8914112656721,20.363214307496666,31.41961149183655
2015-08,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.812585652391462,21.0304348602764,32.59473859475067
2015-09,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.714453166638563,22.443304693190626,34.985601553339535
2015-09,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.661234665640478,15.24462462998576,28.077851935887672
2015-09,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.083960656444056,20.81515867624781,33.35276114754299
2015-09,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.340906780186945,21.051852371929556,33.62996178624088
2015-10,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.793269750216684,20.979691437877975,34.60685098159037
2015-10,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.65200564070017,13.508589667209431,27.795422639436005
2015-10,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.08057407465535,20.68981712458343,35.47133216161292
2015-10,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.944240745369946,19.927993453505458,33.96049001165609
2015-11,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,25.995134509999097,19.19790221881706,32.7923628672068
2015-11,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.356861783598436,12.19388760608313,26.51984159996182
2015-11,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.584409235863056,18.790325196560875,34.378493671960626
2015-11,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,25.29430789836809,18.17212172795094,32.416492741650906
2015-12,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,24.37164131325034,18.24813364060379,30.495148888306574
2015-12,CMIP6,MPI-ESM1-2-LR,SSP245,MH,18.713693133953388,12.191054258550702,25.23633195147935
2015-12,CMIP6,MPI-ESM1-2-LR,SSP245,ML,25.633042427324938,18.516516996039563,32.74956816177984
2015-12,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,23.98463718730791,17.532881542504082,30.436392776108995
2016-01,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,23.23008133290235,16.710463776189965,29.7496990240725
2016-01,CMIP6,MPI-ESM1-2-LR,SSP245,MH,18.484135438251965,11.35709103336507,25.611186217848342
2016-01,CMIP6,MPI-ESM1-2-LR,SSP245,ML,24.637908569960132,17.06436904896083,32.211443182288356
2016-01,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,23.00129625549007,16.10995287857762,29.892639209126116
2016-02,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,24.23247437121994,16.73341018650736,31.731535604367433
2016-02,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.152819015598038,11.291184226557764,27.014450910801326
2016-02,CMIP6,MPI-ESM1-2-LR,SSP245,ML,25.711156910017884,17.1289379089222,34.29338064144965
2016-02,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,23.981484832972097,16.13408944236418,31.82887914520193
2016-03,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.07354743831739,18.765387050071336,33.38171273860964
2016-03,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.714634557004185,13.370921341806424,28.058347044608645
2016-03,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.501182049012193,19.438316805542105,35.56404739948329
2016-03,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,25.771893667141004,18.249409462462225,33.29438059381271
2016-04,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.652831646527275,20.17857511909666,35.127085319983166
2016-04,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.952976594117267,14.541862244297281,29.364094069281208
2016-04,CMIP6,MPI-ESM1-2-LR,SSP245,ML,29.24330429177465,21.021502765797653,37.465103561813805
2016-04,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.353497035481443,19.679934446752288,35.02705794543121
2016-05,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.39897690036205,22.611766831667488,36.18618524496092
2016-05,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.556010883076052,15.823054855375647,29.28896036243675
2016-05,CMIP6,MPI-ESM1-2-LR,SSP245,ML,29.935858943429317,22.92496358844991,36.94675259085102
2016-05,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.657092577412357,21.815435835557363,35.49874696194334
2016-06,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.559461075531775,22.418021857785956,36.70090322966195
2016-06,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.655654851830285,15.392650122010812,29.918663781847446
2016-06,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.60009928355696,21.709279617521368,35.49092108069591
2016-06,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,28.392063605301086,21.30611062640828,35.47801917073834
2016-07,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,30.735336855855312,24.292038390228484,37.178631845098
2016-07,CMIP6,MPI-ESM1-2-LR,SSP245,MH,23.574900660363703,17.390991738442676,29.758810781160072
2016-07,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.35110019770222,22.253120430165467,34.449074472520735
2016-07,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,29.13794666002457,22.82473216292886,35.45115782951652
2016-08,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.300859698739647,23.12638226412047,35.47533709215401
2016-08,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.507717043066148,16.66429229380802,28.351136798388435
2016-08,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.897425591501573,21.022838330042486,32.77200801116522
2016-08,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.746519956266447,21.698678265874758,33.79435943389928
2016-09,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,29.276171520204976,23.048980701179804,35.5033646727232
2016-09,CMIP6,MPI-ESM1-2-LR,SSP245,MH,22.378438935012454,16.291525839880823,28.465350847804963
2016-09,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.467029865228692,21.415100882330304,33.51896151423544
2016-09,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.87289819115056,21.7130448755204,34.03275327933207
2016-10,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,28.44165482903286,22.76381968660341,34.119488082547456
2016-10,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.313998088149408,15.451538572102137,27.17645237048578
2016-10,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.921323815534574,21.83016514356685,34.012481627035896
2016-10,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,27.366491075634947,21.54939868154689,33.18358161512113
2016-11,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,27.36708800905196,21.099763276239518,33.634411026443395
2016-11,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.6129974786908,13.968021611306986,27.25797080776617
2016-11,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.138961553469134,21.05892369205542,35.21899463550467
2016-11,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.70206283355748,20.159876207199986,33.244246784808034
2016-12,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.07643527908718,19.98005428953969,32.17281428429809
2016-12,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.53794983455854,14.042181831386758,27.03371529942187
2016-12,CMIP6,MPI-ESM1-2-LR,SSP245,ML,27.816974242539914,20.901451816377747,34.73249793042226
2016-12,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,25.838893290761018,19.463336937547215,32.214448585132594
2017-01,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,24.618758349827996,17.675281781862946,31.562238782369814
2017-01,CMIP6,MPI-ESM1-2-LR,SSP245,MH,19.426472561199876,12.020467239251756,26.832472492343097
2017-01,CMIP6,MPI-ESM1-2-LR,SSP245,ML,26.005910418937503,17.791550491812306,34.220268513670476
2017-01,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,24.327347410754925,16.969760860392352,31.684935130662765
2017-02,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.663155295158948,18.99712263305736,34.32918818280263
2017-02,CMIP6,MPI-ESM1-2-LR,SSP245,MH,21.624733203111806,13.510989170699764,29.738488075010405
2017-02,CMIP6,MPI-ESM1-2-LR,SSP245,ML,29.173138842363286,20.58668079139372,37.75959510998279
2017-02,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.706381378225956,18.727041339711498,34.68572227761951
2017-03,CMIP6,MPI-ESM1-2-LR,SSP245,ArL,26.248971906773694,18.014480722241974,34.4834624472093
2017-03,CMIP6,MPI-ESM1-2-LR,SSP245,MH,20.944081311263385,12.615961768213143,29.272210610678343
2017-03,CMIP6,MPI-ESM1-2-LR,SSP245,ML,28.37069617439312,19.23730556134157,37.50409001084993
2017-03,CMIP6,MPI-ESM1-2-LR,SSP245,OVERALL,26.150235288547748,17.65434918493168,34.64612284953704
